scorer,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,920.5191,667.36523,0.7151412,916.8808,509.41412,0.75227296,920.32745,347.01874,0.8709187,919.76733,135.39366,0.94440925,942.8144,49.085533,0.87010175
1,920.4042,667.291,0.71295136,916.75586,509.23532,0.7450642,920.51013,346.47525,0.859709,920.386,135.07095,0.9468118,943.09076,48.915253,0.859662
2,920.40906,667.0825,0.72161865,916.87775,509.29492,0.7588139,920.1611,346.82986,0.8682886,920.11316,135.16441,0.95143515,943.0289,48.99418,0.86387414
3,920.55457,666.7233,0.6874948,916.8652,509.1832,0.76356417,920.5982,346.57916,0.85479313,920.7777,134.79964,0.9300906,943.8354,49.023678,0.885965
4,920.5517,666.75616,0.69196653,916.8775,509.185,0.76188326,920.6097,346.59494,0.8527909,920.93304,135.06525,0.9196819,943.8026,49.097572,0.8916427
5,920.57367,666.95276,0.7161647,916.8651,509.322,0.7626219,920.6051,346.6296,0.84696585,920.8801,135.0689,0.9167886,943.76404,49.012913,0.87977093
6,920.5521,666.9148,0.70428044,916.8296,509.42258,0.75615627,920.32605,346.9486,0.859446,920.27637,135.22626,0.93370897,943.5614,49.209538,0.8880571
7,920.5626,666.9505,0.712779,916.6201,509.4668,0.7784769,920.3634,346.84235,0.845079,920.75977,135.15991,0.9272281,943.79785,49.190556,0.891175
8,920.49677,667.08545,0.71451575,916.5956,509.42706,0.77965754,920.0819,347.1566,0.85814685,920.81134,135.19275,0.925564,943.77765,49.161682,0.8852707
9,920.6385,667.0656,0.71523243,916.7194,509.4518,0.7715328,920.35034,346.86328,0.85089064,920.8256,135.02238,0.9174234,943.76074,49.256172,0.88603127
10,920.7782,667.0614,0.7121302,916.7677,509.38974,0.7771952,920.2867,346.8787,0.8491661,920.79486,135.04721,0.9245601,943.67883,49.257957,0.86842436
11,920.97943,667.0659,0.6886165,916.774,509.3582,0.78042954,920.30426,346.88455,0.85750633,920.80383,134.79353,0.9194565,943.7509,49.198196,0.8672461
12,921.2483,667.24915,0.6494494,917.1073,509.53323,0.7657751,920.43115,346.9877,0.8465618,920.8217,135.01031,0.9201715,943.6397,49.23262,0.8752708
13,921.1469,667.10114,0.655598,916.88965,509.35394,0.77762413,920.3435,346.93008,0.8515076,920.48145,135.00247,0.9264057,943.5689,49.09687,0.8568394
14,921.0714,667.12805,0.65725666,916.97626,509.33502,0.771781,920.3115,346.9107,0.8508519,920.4529,135.00107,0.92845947,943.58215,49.048462,0.8492588
15,920.99615,667.0697,0.663015,916.9392,509.3409,0.7710416,920.40814,346.7357,0.8513539,920.75073,135.0281,0.9228972,943.7813,49.208797,0.877129
16,920.90076,667.1469,0.6726441,916.8742,509.24136,0.77351904,920.37317,346.575,0.8529016,920.6413,134.70102,0.9154205,944.1197,48.486343,0.877605
17,920.95593,667.0802,0.6746473,916.97205,509.39532,0.7575513,920.3528,346.67624,0.82537884,920.68243,134.77995,0.9259009,944.09344,49.250916,0.8768266
