scorer,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,742.48486,811.8917,0.7316807,749.9294,652.1591,0.8976575,756.44324,487.9683,0.8540929,755.0208,268.40558,0.89493006,762.18677,179.5087,0.92331815
1,742.31696,811.32294,0.7567701,749.5048,651.8588,0.83324397,755.79803,488.04117,0.8293737,754.9946,268.49066,0.90332234,762.1985,179.45966,0.9175941
2,742.0369,811.2319,0.7246779,749.3895,651.563,0.81359136,755.775,487.82935,0.8396759,755.0539,268.07474,0.92843944,762.53485,179.24841,0.8828558
3,742.11035,811.35596,0.726353,749.56726,651.7367,0.8215132,755.4389,487.71515,0.7904672,754.78735,268.25348,0.90167844,761.94836,179.41049,0.89324903
4,742.2242,811.5494,0.72667664,749.6472,651.84753,0.8397529,755.4042,487.75165,0.7911648,754.8124,268.12726,0.91168684,761.94226,179.49236,0.92330074
5,743.1393,811.8314,0.70711917,750.0925,651.9905,0.86389154,755.6171,488.02884,0.7840332,754.69305,268.39145,0.901757,761.53217,179.81404,0.9194261
6,743.3694,811.7294,0.7088437,750.146,652.2006,0.8724586,755.8172,487.9434,0.7881183,754.83545,268.4483,0.91152525,761.48834,179.82481,0.9167461
7,743.35693,811.5963,0.7394221,750.2225,652.1841,0.8852309,755.95605,488.01508,0.7896746,754.90936,268.36432,0.91132814,761.2659,179.60231,0.89758855
8,743.256,811.49457,0.74815035,750.12866,652.02875,0.8848854,755.90265,488.01212,0.7973181,754.9231,268.3589,0.9077566,761.5847,179.64812,0.885198
9,743.1611,811.4012,0.77055746,749.89417,651.85693,0.86169624,755.8685,487.7777,0.76616526,754.7007,268.29446,0.91119385,761.54126,179.64662,0.87865883
10,743.13196,811.43524,0.7397656,749.83734,651.84674,0.85750264,755.5946,487.8202,0.7712705,754.7138,268.38965,0.91605437,761.69946,179.68924,0.89759284
11,743.23303,811.41144,0.735531,749.85046,651.8204,0.85639924,755.3558,487.87183,0.76239574,754.66394,268.41583,0.9117343,761.4908,179.48026,0.87510026
12,743.4362,811.3491,0.7325769,749.86066,651.8273,0.8618361,755.32446,487.87955,0.7672845,754.1212,268.12643,0.91847956,761.27234,179.22255,0.87082857
13,743.42896,811.31506,0.72894514,749.8853,651.92584,0.86374646,755.1697,487.9378,0.7819034,754.1997,268.4078,0.9107294,761.2919,179.35834,0.8684879
14,743.4418,811.34546,0.73613673,749.928,651.9366,0.8603537,754.659,487.89917,0.7745986,753.553,268.5245,0.88743913,760.8651,179.7681,0.900542
15,743.4231,811.3762,0.7327793,749.78107,651.9039,0.8687341,754.6362,487.93338,0.7664991,753.1028,268.46536,0.8864013,760.6328,179.42224,0.88667303
16,743.4495,811.35736,0.73075044,749.89435,651.92175,0.87082404,754.62744,487.9172,0.77046436,753.5127,268.47647,0.89123034,760.8792,179.78096,0.9004575
17,743.05164,811.1408,0.72910607,749.59827,651.62854,0.8342284,754.44604,487.9287,0.77432746,753.4889,268.36624,0.89320844,760.7373,179.42265,0.91665196
