timestamp,quat1,quat2
040016133182,"(0.74273681640625, 0.01055908203125, 0.66943359375, -0.00994873046875)","(0.0, 0.0, 0.0, 0.0)"
040016146398,"(0.74273681640625, 0.0103759765625, 0.66943359375, -0.0098876953125)","(0.0, 0.0, 0.0, 0.0)"
040016156348,"(0.74267578125, 0.0103759765625, 0.66949462890625, -0.0098876953125)","(0.0, 0.0, 0.0, 0.0)"
040016169148,"(0.7425537109375, 0.01055908203125, 0.66961669921875, -0.0096435546875)","(0.0, 0.0, 0.0, 0.0)"
040016180180,"(0.7425537109375, 0.01129150390625, 0.66961669921875, -0.00946044921875)","(0.0, 0.0, 0.0, 0.0)"
040016190385,"(0.7425537109375, 0.0111083984375, 0.66961669921875, -0.009521484375)","(1.0, 0.00054931640625, 0.0003662109375, -0.00115966796875)"
040016200578,"(0.74224853515625, 0.01068115234375, 0.669921875, -0.0093994140625)","(1.0, 0.00079345703125, 0.00048828125, -0.001220703125)"
040016211172,"(0.74285888671875, 0.0103759765625, 0.6693115234375, -0.0091552734375)","(1.0, 0.00079345703125, 0.0006103515625, -0.0015869140625)"
040016221498,"(0.742919921875, 0.010009765625, 0.66925048828125, -0.00927734375)","(1.0, 0.00103759765625, 0.00048828125, -0.0018310546875)"
040016231244,"(0.74267578125, 0.01025390625, 0.66949462890625, -0.0091552734375)","(None, None, None, None)"
040016234065,"(0.74267578125, 0.01025390625, 0.66949462890625, -0.0091552734375)","(None, None, None, None)"
040016236724,"(0.74267578125, 0.01025390625, 0.66949462890625, -0.0091552734375)","(1.0, 0.0009765625, 0.00067138671875, -0.00201416015625)"
040016241779,"(0.74298095703125, 0.01031494140625, 0.669189453125, -0.0096435546875)","(None, None, None, None)"
040016244103,"(0.74298095703125, 0.01031494140625, 0.669189453125, -0.0096435546875)","(None, None, None, None)"
040016246630,"(0.74298095703125, 0.01031494140625, 0.669189453125, -0.0096435546875)","(None, None, None, None)"
040016249666,"(0.74298095703125, 0.01031494140625, 0.669189453125, -0.0096435546875)","(None, None, None, None)"
040016252059,"(0.74285888671875, 0.01031494140625, 0.6693115234375, -0.010009765625)","(0.7462158203125, 0.10711669921875, 0.656982421875, -0.0018310546875)"
040016255397,"(None, None, None, None)","(0.7462158203125, 0.10711669921875, 0.656982421875, -0.0018310546875)"
040016259035,"(0.74285888671875, 0.01031494140625, 0.6693115234375, -0.010009765625)","(None, None, None, None)"
040016263020,"(0.74310302734375, 0.0107421875, 0.66900634765625, -0.0098876953125)","(0.746337890625, 0.10650634765625, 0.656982421875, -0.001953125)"
040016266495,"(0.74310302734375, 0.0107421875, 0.66900634765625, -0.0098876953125)","(None, None, None, None)"
040016270985,"(0.74310302734375, 0.010986328125, 0.66900634765625, -0.00994873046875)","(None, None, None, None)"
040016273778,"(0.74310302734375, 0.010986328125, 0.66900634765625, -0.00994873046875)","(None, None, None, None)"
040016275972,"(0.74310302734375, 0.010986328125, 0.66900634765625, -0.00994873046875)","(None, None, None, None)"
040016279081,"(0.74310302734375, 0.010986328125, 0.66900634765625, -0.00994873046875)","(0.7459716796875, 0.106201171875, 0.657470703125, -0.001953125)"
040016284770,"(0.74310302734375, 0.0108642578125, 0.66900634765625, -0.01031494140625)","(0.7459716796875, 0.106201171875, 0.657470703125, -0.001953125)"
040016290242,"(0.74310302734375, 0.0108642578125, 0.66900634765625, -0.01031494140625)","(None, None, None, None)"
040016292936,"(0.74298095703125, 0.01055908203125, 0.66912841796875, -0.01080322265625)","(0.74554443359375, 0.10601806640625, 0.657958984375, -0.0018310546875)"
040016296352,"(0.74298095703125, 0.01055908203125, 0.66912841796875, -0.01080322265625)","(None, None, None, None)"
040016298956,"(0.74298095703125, 0.01055908203125, 0.66912841796875, -0.01080322265625)","(0.7452392578125, 0.10601806640625, 0.6583251953125, -0.00201416015625)"
040016303118,"(0.74285888671875, 0.01025390625, 0.66925048828125, -0.0113525390625)","(0.7452392578125, 0.10601806640625, 0.6583251953125, -0.00201416015625)"
040016306757,"(None, None, None, None)","(0.7452392578125, 0.10601806640625, 0.6583251953125, -0.00201416015625)"
040016310924,"(0.74261474609375, 0.01019287109375, 0.66949462890625, -0.01171875)","(0.7452392578125, 0.10595703125, 0.6583251953125, -0.00213623046875)"
040016315505,"(0.74261474609375, 0.01019287109375, 0.66949462890625, -0.01171875)","(0.7452392578125, 0.10595703125, 0.6583251953125, -0.00213623046875)"
040016320861,"(0.74261474609375, 0.01019287109375, 0.66949462890625, -0.01171875)","(0.74517822265625, 0.1060791015625, 0.6583251953125, -0.00225830078125)"
040016325437,"(0.74224853515625, 0.0096435546875, 0.669921875, -0.01214599609375)","(0.74517822265625, 0.1060791015625, 0.6583251953125, -0.00225830078125)"
040016328780,"(0.74224853515625, 0.0096435546875, 0.669921875, -0.01214599609375)","(0.74517822265625, 0.106201171875, 0.65838623046875, -0.002685546875)"
040016334451,"(0.742431640625, 0.0096435546875, 0.6697998046875, -0.01202392578125)","(0.74517822265625, 0.106201171875, 0.65838623046875, -0.002685546875)"
040016338598,"(0.742431640625, 0.0096435546875, 0.6697998046875, -0.01202392578125)","(None, None, None, None)"
040016341191,"(0.742431640625, 0.0096435546875, 0.6697998046875, -0.01202392578125)","(0.74517822265625, 0.10601806640625, 0.65838623046875, -0.002685546875)"
040016345269,"(0.742431640625, 0.009521484375, 0.6697998046875, -0.01190185546875)","(None, None, None, None)"
040016347654,"(0.742431640625, 0.009521484375, 0.6697998046875, -0.01190185546875)","(None, None, None, None)"
040016350188,"(0.742431640625, 0.009521484375, 0.6697998046875, -0.01190185546875)","(None, None, None, None)"
040016353166,"(0.74237060546875, 0.010009765625, 0.66986083984375, -0.01171875)","(None, None, None, None)"
040016355416,"(0.74237060546875, 0.010009765625, 0.66986083984375, -0.01171875)","(0.74517822265625, 0.1058349609375, 0.65838623046875, -0.00274658203125)"
040016360082,"(0.74237060546875, 0.010009765625, 0.66986083984375, -0.01171875)","(None, None, None, None)"
040016364123,"(0.742431640625, 0.010009765625, 0.6697998046875, -0.01171875)","(None, None, None, None)"
040016366416,"(0.742431640625, 0.010009765625, 0.6697998046875, -0.01171875)","(0.7451171875, 0.1060791015625, 0.658447265625, -0.00250244140625)"
040016371870,"(0.7423095703125, 0.01055908203125, 0.66986083984375, -0.01177978515625)","(0.745361328125, 0.1058349609375, 0.658203125, -0.00244140625)"
040016376168,"(0.7423095703125, 0.01055908203125, 0.66986083984375, -0.01177978515625)","(0.745361328125, 0.1058349609375, 0.658203125, -0.00244140625)"
040016379800,"(0.7423095703125, 0.01055908203125, 0.66986083984375, -0.01177978515625)","(None, None, None, None)"
040016384214,"(0.742431640625, 0.01123046875, 0.66973876953125, -0.0115966796875)","(None, None, None, None)"
040016386405,"(0.742431640625, 0.01123046875, 0.66973876953125, -0.0115966796875)","(None, None, None, None)"
040016389369,"(0.742431640625, 0.01123046875, 0.66973876953125, -0.0115966796875)","(0.74542236328125, 0.1058349609375, 0.65814208984375, -0.00244140625)"
040016394309,"(0.74261474609375, 0.0113525390625, 0.6695556640625, -0.01141357421875)","(None, None, None, None)"
040016396599,"(0.74261474609375, 0.0113525390625, 0.6695556640625, -0.01141357421875)","(None, None, None, None)"
040016399187,"(0.74261474609375, 0.0113525390625, 0.6695556640625, -0.01141357421875)","(0.7454833984375, 0.105712890625, 0.6580810546875, -0.00238037109375)"
040016403973,"(0.7430419921875, 0.01123046875, 0.66900634765625, -0.01116943359375)","(0.74542236328125, 0.10589599609375, 0.65814208984375, -0.00250244140625)"
040016407558,"(0.7430419921875, 0.01123046875, 0.66900634765625, -0.01116943359375)","(None, None, None, None)"
040016410608,"(0.7430419921875, 0.01123046875, 0.66900634765625, -0.01116943359375)","(0.7452392578125, 0.10626220703125, 0.6583251953125, -0.00262451171875)"
040016416234,"(0.74359130859375, 0.0111083984375, 0.66845703125, -0.0107421875)","(None, None, None, None)"
040016418616,"(0.74359130859375, 0.0111083984375, 0.66845703125, -0.0107421875)","(None, None, None, None)"
040016423371,"(0.7440185546875, 0.01080322265625, 0.66796875, -0.0108642578125)","(0.744873046875, 0.10687255859375, 0.65863037109375, -0.00250244140625)"
040016427180,"(0.7440185546875, 0.00299072265625, 0.66796875, -0.0108642578125)","(0.744873046875, 0.10687255859375, 0.65863037109375, -0.00250244140625)"
040016432523,"(0.74407958984375, 0.01104736328125, 0.66790771484375, -0.0108642578125)","(None, None, None, None)"
040016435844,"(0.74407958984375, 0.01104736328125, 0.66790771484375, -0.0108642578125)","(0.7445068359375, 0.10736083984375, 0.658935546875, -0.0023193359375)"
040016440512,"(0.74407958984375, 0.01104736328125, 0.66790771484375, -0.0108642578125)","(0.7445068359375, 0.10736083984375, 0.658935546875, -0.0023193359375)"
040016445056,"(0.74444580078125, 0.0107421875, 0.66754150390625, -0.010498046875)","(0.7442626953125, 0.10748291015625, 0.6591796875, -0.00225830078125)"
040016448686,"(0.74444580078125, 0.0107421875, 0.66754150390625, -0.010498046875)","(None, None, None, None)"
040016451528,"(0.74444580078125, 0.0107421875, 0.66754150390625, -0.010498046875)","(0.74407958984375, 0.10760498046875, 0.65936279296875, -0.002197265625)"
040016455806,"(0.74481201171875, 0.01068115234375, 0.6671142578125, -0.01043701171875)","(0.74407958984375, 0.10760498046875, 0.65936279296875, -0.002197265625)"
040016459488,"(0.74481201171875, 0.01068115234375, 0.6671142578125, -0.01043701171875)","(0.74407958984375, 0.10760498046875, 0.65936279296875, -0.002197265625)"
040016465179,"(0.7447509765625, 0.0107421875, 0.66717529296875, -0.01055908203125)","(None, None, None, None)"
040016467733,"(0.7447509765625, 0.0107421875, 0.66717529296875, -0.01055908203125)","(None, None, None, None)"
040016471652,"(0.7447509765625, 0.0107421875, 0.66717529296875, -0.01055908203125)","(None, None, None, None)"
040016475372,"(0.74468994140625, 0.0106201171875, 0.667236328125, -0.0103759765625)","(0.74395751953125, 0.10711669921875, 0.65960693359375, -0.00225830078125)"
