scorer,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,879.5098,382.94235,0.5916737,802.1869,253.02809,0.9283577,813.9969,118.488075,0.8617788,56.588303,362.25638,0.028890248,802.90393,253.60326,0.14789467
1,879.22485,382.89996,0.5629858,802.4847,252.71817,0.92526907,814.1014,118.21974,0.87203556,56.66891,362.28397,0.025931165,803.0845,253.3441,0.13929619
2,879.067,383.18396,0.5820165,802.3325,252.5408,0.94804996,813.9758,117.860054,0.8959328,56.636036,362.25403,0.026135754,802.96265,253.30853,0.13577305
3,879.5172,382.65625,0.5924214,802.781,252.80379,0.937634,814.1426,118.33692,0.8600027,56.68506,362.29813,0.025859982,803.46533,253.35408,0.14682008
4,880.70184,383.08206,0.6270955,804.3157,252.78246,0.9093765,815.2914,118.77415,0.8406468,56.69724,362.3185,0.025892936,804.83203,253.6005,0.16160138
5,881.33246,382.90558,0.68393105,805.0272,252.51068,0.86983013,815.3966,118.71981,0.8329099,1045.3151,715.66846,0.026498223,805.2868,253.32863,0.16392602
6,881.2457,383.00766,0.67491704,804.93066,252.14763,0.8931229,815.6397,118.06317,0.8533301,56.694107,362.29382,0.026208786,805.06555,252.82625,0.16366665
7,881.9973,382.79526,0.7025353,805.52966,252.05219,0.89661825,816.14465,117.44173,0.87754995,56.697815,362.28897,0.026389958,805.7045,252.8931,0.15316641
8,882.26965,382.76495,0.74431133,805.8189,251.64566,0.9055521,816.3096,117.18494,0.88297933,56.682446,362.2707,0.026669849,805.937,252.47583,0.15281631
9,882.17004,382.58505,0.754035,806.03406,251.42871,0.9006058,816.1786,117.18434,0.88824546,56.708908,362.26364,0.028017178,806.21783,252.32068,0.15041699
10,882.7196,382.57715,0.7473766,806.2814,251.20235,0.8965526,816.607,117.22447,0.87978303,56.651993,362.20636,0.028841898,806.46423,252.21689,0.15144399
11,882.8624,382.84158,0.7428964,806.24146,251.3065,0.8925005,816.6941,117.20172,0.87718624,56.67088,362.19827,0.029337326,806.44305,252.30717,0.15681341
12,882.753,382.7598,0.7501779,806.3157,251.39964,0.88354075,816.70233,117.206825,0.88289946,56.668114,362.21826,0.031108849,806.48004,252.41447,0.15814228
13,883.1149,382.64075,0.7406024,806.5371,251.62044,0.87407047,816.8686,117.53744,0.87065345,56.714,362.2584,0.028786177,806.7815,252.68059,0.14978307
14,883.1689,382.62457,0.7491245,806.56946,251.69534,0.87005407,817.19806,117.54171,0.8568416,56.750927,362.29593,0.028105203,806.8169,252.70952,0.14988787
15,882.99695,382.7396,0.72194153,806.22943,251.9316,0.86472124,817.1842,117.5534,0.85754246,56.710224,362.24402,0.028798744,806.4488,252.94768,0.16096024
16,883.04803,382.6181,0.714114,806.6382,252.14417,0.8532061,817.2452,117.54501,0.8599442,56.690357,362.23224,0.028227083,806.8721,253.1219,0.1568277
17,883.8722,382.66528,0.70567536,807.1627,251.85095,0.8196086,817.60443,117.51823,0.8641793,56.672913,362.1881,0.027997164,807.3178,252.80305,0.15204906
