scorer,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,889.3557,626.048,0.6474294,888.1683,466.7318,0.77797455,885.4039,307.7226,0.7779458,842.06067,107.37274,0.9212736,848.47,4.5226955,0.80089813
1,889.7502,626.1454,0.6362228,888.6232,466.93475,0.7582955,885.5348,307.85016,0.773214,841.886,107.32254,0.9067636,848.21655,4.4502635,0.78293604
2,889.6567,626.1488,0.6396089,888.50024,466.8775,0.77289057,885.4307,307.8356,0.76809555,841.5709,107.06175,0.89375967,848.1664,4.4812546,0.7868976
3,889.7776,626.14087,0.632912,888.6778,466.8918,0.7651727,885.5346,307.90234,0.7723691,841.74146,107.07735,0.89315706,848.2207,4.4352036,0.78369725
4,889.7008,626.1454,0.6361152,888.72424,466.8846,0.7666061,885.601,307.87137,0.7759342,841.70807,106.97996,0.8928817,848.1909,4.250489,0.76659083
5,889.7477,625.99805,0.63128436,888.4885,466.74655,0.77087677,885.6405,307.81046,0.76925665,842.2317,106.776024,0.89105827,849.02826,3.7781658,0.7134906
6,889.5748,625.9862,0.65651745,888.3245,466.78146,0.7819448,885.65436,307.7739,0.76817536,842.6096,106.70932,0.93132156,849.4463,3.7460241,0.7257793
7,889.3642,625.65356,0.696295,888.1778,466.63892,0.7996014,885.6841,307.6957,0.76527745,842.5244,106.56858,0.923749,849.39276,3.7496386,0.7307881
8,889.35803,625.6734,0.6918673,888.0107,466.48178,0.7988993,885.6648,307.60046,0.7657797,842.6226,106.50588,0.93357897,850.1647,3.836072,0.7150178
9,889.21375,625.5995,0.70026207,887.9538,466.41183,0.7705887,885.63275,307.6365,0.76186144,842.68787,106.74659,0.93819857,850.09674,3.6338272,0.72597295
10,889.13995,625.5088,0.6889152,887.9489,466.45233,0.7682987,885.66205,307.63953,0.78080064,842.7203,106.65707,0.93481314,850.2921,3.6451492,0.72247905
11,889.3051,625.51086,0.6779856,888.0244,466.32202,0.77616036,885.7631,307.58383,0.77162063,842.8165,106.6545,0.9475111,850.27374,3.6284761,0.72168714
12,889.5097,625.54645,0.6592118,888.13684,466.4333,0.78950685,885.8746,307.3639,0.7798406,843.09644,106.67209,0.9323769,850.7762,3.8041277,0.7085267
13,889.63074,625.62744,0.66643214,888.18134,466.5165,0.7654823,885.6442,307.70514,0.77806526,842.9097,106.81252,0.93217266,850.8115,3.868885,0.7102966
14,889.65564,625.63245,0.6379563,888.0466,466.55954,0.78517526,885.6745,307.699,0.7761501,842.9191,106.841385,0.9312926,850.77875,3.8637047,0.7132664
15,889.9196,625.7052,0.6091527,888.2738,466.62088,0.7723909,885.61597,308.0177,0.7869398,843.0651,106.88238,0.93160206,850.9121,3.9625692,0.7173649
16,890.07605,625.7473,0.60546905,888.4557,466.6781,0.76865244,885.656,307.73306,0.78323466,843.1868,106.76896,0.93162644,851.32825,4.116305,0.7108436
17,890.1046,625.8279,0.58083016,888.4643,466.67624,0.765196,885.6752,307.88272,0.78525764,842.92017,106.89571,0.93070924,851.1053,4.1553698,0.70888424
