scorer,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,892.2845,628.1542,0.61373,882.1579,470.72342,0.86020476,873.49677,311.47537,0.71560735,834.7167,111.24096,0.93625975,854.1727,9.793992,1.0
1,892.4362,627.3649,0.6417922,882.26245,470.0414,0.8684202,874.03955,310.61423,0.6954534,835.8883,110.9894,0.94426876,855.7136,9.518108,1.0
2,892.4522,627.0328,0.6449817,882.40643,469.80713,0.8840649,874.5248,310.44473,0.6858529,837.461,110.63671,0.9945976,857.7134,9.150927,0.9786296
3,892.4637,627.3035,0.6386502,882.8847,470.1598,0.89826554,875.0399,310.80347,0.7065072,838.3245,110.88978,0.93597347,858.26746,9.301271,0.9815142
4,892.3723,627.54926,0.634296,883.077,469.9845,0.9042541,875.1528,310.81653,0.7061842,838.31506,110.865585,0.93480414,858.5351,9.233125,0.9929493
5,892.9189,627.7148,0.60248786,883.09705,469.91083,0.9108462,874.7372,310.65585,0.6794884,838.3645,110.60969,0.9264049,858.7751,8.941086,0.99348414
6,893.20984,627.8904,0.58878005,883.1708,470.41388,0.90437573,874.15845,311.26688,0.6994453,838.0247,111.17611,0.9668162,858.4733,9.83205,1.0
7,893.13104,627.78546,0.58609027,882.78455,470.35507,0.90111005,874.10425,311.23996,0.695482,837.7287,111.194855,0.96305174,858.4377,9.813839,1.0
8,893.0493,627.76996,0.5854708,882.6553,470.23053,0.8988401,874.1003,311.25696,0.6934705,838.09515,111.2408,0.95484537,858.9483,9.720085,1.0
9,892.9978,628.6749,0.59446985,882.8374,470.685,0.8863526,874.43835,311.1963,0.684867,838.4553,111.61258,0.9368336,859.5194,10.038216,1.0
10,893.1007,629.6223,0.53518313,882.32355,471.46426,0.8762954,873.97864,312.84213,0.7261477,836.9055,112.789764,0.94526005,858.4612,11.397293,1.0
11,892.865,629.1942,0.58550507,882.0008,471.07346,0.8644444,873.5135,312.61905,0.73455983,836.9295,112.61903,0.9455508,858.6475,11.183315,1.0
12,892.64667,628.8513,0.5796704,881.9544,470.95355,0.86548996,874.21466,312.2539,0.71522516,838.25726,112.36032,0.95564836,860.6755,10.963159,1.0
13,892.6286,628.87256,0.5835068,881.91864,470.94235,0.86492443,874.20917,312.20477,0.73708457,839.267,112.03534,0.947358,862.17584,10.905961,1.0
14,892.66595,628.442,0.5969631,881.94763,470.78162,0.87105757,874.2881,311.2847,0.72377425,839.9199,111.57821,0.9132719,862.538,10.081382,1.0
15,892.72473,628.42847,0.59452766,882.21155,470.5018,0.8613041,874.2557,311.45673,0.7255544,839.9437,111.53362,0.91045696,862.7936,10.300719,1.0
16,892.72345,628.0279,0.6152175,882.00684,470.47644,0.850056,873.7069,311.64774,0.72498953,839.9139,111.584175,0.9107257,862.78467,10.313799,1.0
17,892.5218,627.63165,0.6330936,881.7814,470.26083,0.871317,873.9609,311.36044,0.7382015,840.5321,111.47736,0.9108096,863.24744,10.090163,1.0
18,892.5898,627.85266,0.6323594,881.83636,470.11154,0.8772018,873.8152,311.3408,0.7550677,840.7663,111.38415,0.91811675,863.7952,9.8825865,1.0
