scorer,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,885.8679,625.37,0.80916184,877.71344,465.79437,0.7812497,869.49634,307.94296,0.808221,824.0167,107.88381,0.9625491,837.34845,4.70898,0.74014336
1,885.9929,625.6042,0.8069926,877.7527,466.05502,0.781337,869.4673,308.29752,0.8065573,823.9609,107.835495,0.96373713,837.2922,4.810002,0.75324905
2,885.9811,625.4815,0.7755338,877.7382,465.97565,0.77822053,869.6254,308.12482,0.8062962,824.60803,107.64579,0.9209142,837.7964,4.367046,0.69780076
3,885.97034,625.6204,0.7995201,877.7989,466.068,0.7848521,869.89276,308.32397,0.8095788,825.298,107.71288,0.9045843,838.4441,4.334314,0.7013366
4,885.97675,625.6108,0.8096067,877.78815,466.05643,0.7830631,869.8961,308.13623,0.8215389,825.91364,107.46491,0.9251761,839.3708,4.293138,0.6883948
5,886.2645,625.693,0.7657343,878.0316,465.83218,0.7963061,870.1657,308.0378,0.8149438,826.77496,107.26321,0.9389993,840.02014,3.4127445,0.6435181
6,886.5282,625.7403,0.7469187,878.276,465.8917,0.79501516,870.4771,307.93253,0.813763,827.42377,107.357666,0.949611,841.5607,3.9832897,0.6353006
7,886.7887,625.5855,0.7187851,878.29254,465.95572,0.7979765,870.2752,308.1748,0.8211063,827.232,107.14918,0.93303806,841.43665,3.8622513,0.6355691
8,886.9634,625.70905,0.7142392,878.23596,466.01633,0.7869792,870.20404,308.31396,0.8311835,827.122,107.27844,0.9430505,841.38727,4.182551,0.670017
9,886.59174,625.8648,0.72771037,878.2458,465.97415,0.7776568,870.3139,308.24728,0.81471545,827.2568,107.58748,0.94897354,841.5891,4.68091,0.7023248
10,886.48303,625.7603,0.7293202,878.1967,465.88217,0.7808445,870.4338,308.10828,0.8138307,827.6338,107.40711,0.951565,842.4878,4.114421,0.67835784
11,886.72296,625.82745,0.71854854,878.1709,465.8629,0.7864087,870.4695,308.09958,0.82242405,827.64813,107.33563,0.9577703,842.4872,4.1231236,0.6727371
12,886.6407,625.73724,0.7198691,878.12463,465.91565,0.7684942,870.35785,308.1582,0.8285531,827.8652,107.301636,0.96418875,843.0884,4.026108,0.70319843
13,886.41,625.5403,0.7341736,877.956,465.81696,0.78419185,870.36835,308.14294,0.8325427,827.6773,107.190285,0.9615945,843.02734,4.0603805,0.71740794
14,886.1228,625.4834,0.7739844,877.95294,465.86572,0.78499746,870.4599,307.88806,0.8165879,827.99426,107.08209,0.97544074,843.6094,3.5168228,0.64896643
15,886.4264,625.48334,0.73238987,878.1387,465.79803,0.78085274,870.44714,307.82935,0.8099658,828.0521,106.97849,0.9827516,843.6003,3.462902,0.6512655
16,886.5602,625.44464,0.7334763,878.3002,465.78223,0.78003687,870.4694,307.63858,0.81711775,828.08673,106.935104,0.9888283,843.583,3.2005243,0.6123979
17,886.5354,625.4199,0.73074126,878.34973,465.7486,0.77922714,870.5069,307.69028,0.77736974,827.86926,106.92252,0.96758974,842.228,3.2920551,0.5860839
