timestamp,adc_ch0,adc_ch1,adc_ch2,adc_ch3
121258630213,8415573,8382805,8390485,8395264
121258630213,8379051,8371371,8382635,8400042
121258630213,8364886,8387584,8389461,8399701
121258630213,8391851,8401237,8397312,8399530
121258630213,8382805,8380416,8406698,8370859
121258651318,8403285,8385707,8399530,8381099
121258651318,8391509,8401920,8383488,8392875
121258651318,8388779,8381440,8379392,8414549
121258651318,8392875,8391168,8382293,8372566
121258651318,8372054,8397824,8387925,8389120
121258657883,8404992,8371712,8406528,8362496
121258657883,8400384,8392875,8392021,8387925
121258657883,8388437,8381781,8390997,8385536
121258657883,8384512,8390315,8387755,8396971
121258657883,8371371,8387925,8403456,8394923
121258665491,8399701,8388437,8381611,8392875
121258665491,8365398,8401578,8397824,8406528
121258665491,8389803,8388096,8387584,8385536
121258665491,8394069,8369494,8395264,8388779
121258665491,8386048,8390485,8392875,8382464
121258672744,8387072,8392363,8392533,8386389
121258672744,8387072,8397653,8392704,8381952
121258672744,8371542,8374955,8389632,8382805
121258672744,8405504,8385024,8382123,8378198
121258672744,8385024,8391339,8390827,8388267
121258678995,8381781,8391680,8387243,8382635
121258678995,8384512,8385024,8383317,8383659
121258678995,8395435,8388096,8388779,8394240
121258678995,8378027,8383147,8387413,8388608
121258678995,8392704,8384683,8395264,8401578
121258686258,8396288,8361302,8403285,8381099
121258686258,8395264,8397141,8404821,8393045
121258686258,8386219,8388267,8379221,8390827
121258686258,8393557,8387584,8384853,8375979
121258686258,8392363,8383488,8389461,8390315
121258692523,8382976,8385024,8387925,8383659
121258692523,8388437,8394240,8379392,8380587
121258692523,8394752,8402261,8375296,8406186
121258692523,8385195,8396971,8393045,8406186
121258692523,8386560,8386731,8379221,8407722
121258699998,8409258,8361814,8387925,8382635
121258699998,8386731,8396117,8375467,8386731
121258699998,8382123,8396971,8377686,8388779
121258699998,8385536,8401749,8381611,8395435
121258699998,8376320,8409258,8389973,8394240
121258707812,8384683,8393045,8389291,8391168
121258707812,8381440,8395093,8394069,8379563
121258707812,8378027,8393899,8375638,8380757
121258707812,8390315,8371712,8394240,8366763
121258707812,8397995,8383488,8388267,8374443
121258714168,8392533,8393899,8390315,8396459
121258714168,8386731,8402090,8395776,8398507
121258714168,8391680,8395605,8387243,8388608
121258714168,8386560,8403797,8384853,8394752
121258714168,8394240,8362838,8409429,8375979
121258721123,8401920,8388096,8398165,8401408
121258721123,8390485,8390997,8395264,8383829
121258721123,8378198,8375638,8385877,8382976
121258721123,8374102,8390827,8402261,8393387
121258721123,8394581,8401578,8394411,8389803
121258728686,8385877,8385365,8386560,8376150
121258728686,8379904,8392704,8367616,8403114
121258728686,8387413,8390485,8390144,8391680
