scorer,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,839.25726,415.25378,0.7011783,791.54254,273.32245,0.81198484,822.50507,136.57208,0.845111,1788.5212,104.45305,0.08763559,792.46295,273.85043,0.20608827
1,838.9903,414.7031,0.6739905,792.06946,272.65997,0.7870034,822.5687,135.84012,0.8421663,1788.6167,104.27613,0.09536147,1854.2875,410.70874,0.20847584
2,839.5028,414.29825,0.6394455,792.35846,272.77927,0.78751945,822.54175,136.0922,0.83978933,1788.5449,104.30783,0.091905884,1854.3083,410.75763,0.21577707
3,839.0504,414.68887,0.6960433,791.4267,273.2335,0.8027028,822.15137,136.35182,0.8320622,1788.5641,104.320984,0.09193446,1854.2753,410.7389,0.2105516
4,838.79785,415.7089,0.7087702,790.8,273.6199,0.8248694,821.7403,136.78322,0.848848,1788.3627,104.47595,0.08331952,1854.2322,410.6824,0.21294844
5,838.4856,415.49835,0.7375616,790.432,273.2873,0.83811015,821.6866,136.7161,0.83102906,1788.6138,104.34998,0.09136107,1854.4495,410.73218,0.18721652
6,837.5338,415.46704,0.74852,790.1808,273.33313,0.85209644,821.7787,136.60353,0.82230926,1788.6375,104.34623,0.09500139,1854.4288,410.80106,0.18725589
7,836.94574,415.15265,0.7588736,789.3949,273.1668,0.86679417,821.01196,136.49185,0.81965446,1788.6478,104.398056,0.094242096,1854.5804,410.52234,0.17287582
8,837.5211,415.40128,0.74168366,790.20874,273.2754,0.8428745,821.8956,136.39922,0.8347225,1788.583,104.45395,0.09288173,1854.483,410.58533,0.18374434
9,838.83466,414.8753,0.7325169,791.5763,272.95142,0.78256714,822.5465,135.88057,0.8307383,1788.4475,104.61958,0.08744024,792.4794,273.37668,0.2073394
10,839.0645,414.8491,0.71394664,791.837,272.90872,0.78173256,822.59015,136.13647,0.82564884,1788.4116,104.65096,0.08056243,792.6903,273.36624,0.21065794
11,839.05695,414.64468,0.7160497,791.8822,272.84708,0.7787837,822.6337,136.12662,0.8249655,1788.4491,104.578,0.08245969,792.7203,273.2878,0.20509182
12,839.10284,414.48187,0.71394724,792.17804,272.65598,0.77581626,822.7013,135.9645,0.83407533,1788.5813,104.43709,0.08706374,793.0067,273.16702,0.20686032
13,839.70496,414.00464,0.6650696,793.2856,272.1175,0.73979455,823.18945,135.28664,0.8499841,1788.6112,104.53031,0.084630996,793.91125,272.7725,0.18707888
14,839.4909,413.58408,0.7031024,793.69617,271.28693,0.73097277,823.232,134.60846,0.8753439,1788.6302,104.43663,0.08745947,1854.4712,410.26462,0.17847802
15,839.71277,414.2184,0.6956719,793.6994,271.77432,0.73300153,823.29395,135.26506,0.844507,1788.628,104.428925,0.0899898,1854.6139,410.20718,0.19112378
16,840.0231,414.17746,0.6906032,794.0077,271.83453,0.74816626,823.6321,135.24374,0.8341869,1788.7284,104.39796,0.08579576,1854.474,410.23114,0.19863686
17,840.442,414.28394,0.6991032,794.3292,271.8785,0.74955696,823.9555,135.63272,0.7984054,1788.4454,104.622154,0.082149826,1854.4935,410.21652,0.17603122
