timestamp,quat1,quat2
122444358607,"(0.65911865234375, -0.07574462890625, 0.74822998046875, 0.00360107421875)","(0.0, 0.0, 0.0, 0.0)"
122444370006,"(0.6593017578125, -0.0762939453125, 0.74798583984375, 0.00299072265625)","(0.0, 0.0, 0.0, 0.0)"
122444380887,"(0.659423828125, -0.07586669921875, 0.7479248046875, 0.0028076171875)","(0.0, 0.0, 0.0, 0.0)"
122444393227,"(0.65948486328125, -0.07598876953125, 0.74786376953125, 0.0025634765625)","(0.0, 0.0, 0.0, 0.0)"
122444405433,"(0.65936279296875, -0.07440185546875, 0.74810791015625, 0.0020751953125)","(0.0, 0.0, 0.0, 0.0)"
122444416741,"(0.66748046875, -0.0748291015625, 0.74786376953125, 0.0023193359375)","(1.0078125, -0.00048828125, -0.00128173828125, -0.0013427734375)"
122444425922,"(0.66754150390625, -0.0732421875, 0.7479248046875, 0.00238037109375)","(1.0078125, -0.000244140625, -0.0009765625, -0.00140380859375)"
122444433935,"(0.65972900390625, -0.0732421875, 0.7479248046875, 0.00238037109375)","(1.0078125, -6.103515625e-05, -0.00067138671875, -0.00152587890625)"
122444442111,"(0.66778564453125, -0.073974609375, 0.74761962890625, 0.00244140625)","(1.0078125, -0.00030517578125, -0.00030517578125, -0.0013427734375)"
122444450791,"(0.66815185546875, -0.07421875, 0.747314453125, 0.00323486328125)","(1.0078125, -0.0001220703125, 0.00018310546875, -0.00091552734375)"
122444459321,"(0.6683349609375, -0.07354736328125, 0.7471923828125, 0.0035400390625)","(1.0078125, -0.0001220703125, 0.00018310546875, -0.00091552734375)"
122444468025,"(0.66888427734375, -0.0745849609375, 0.74658203125, 0.00372314453125)","(0.74945068359375, 0.04498291015625, 0.66058349609375, -0.0008544921875)"
122444476147,"(0.6689453125, -0.07373046875, 0.74664306640625, 0.0035400390625)","(0.74908447265625, 0.044921875, 0.66094970703125, -0.00115966796875)"
122444483571,"(0.6611328125, -0.07373046875, 0.74664306640625, 0.0035400390625)","(0.74920654296875, 0.044677734375, 0.66082763671875, -0.00146484375)"
122444492224,"(0.6612548828125, -0.07318115234375, 0.74652099609375, 0.00390625)","(0.7493896484375, 0.04425048828125, 0.66064453125, -0.0013427734375)"
122444500727,"(0.6611328125, -0.0718994140625, 0.74676513671875, 0.0040283203125)","(0.7493896484375, 0.04425048828125, 0.66064453125, -0.0013427734375)"
122444509550,"(0.66937255859375, -0.07318115234375, 0.74627685546875, 0.004150390625)","(0.7493896484375, 0.0445556640625, 0.66064453125, -0.00146484375)"
122444518513,"(0.66986083984375, -0.072998046875, 0.745849609375, 0.00433349609375)","(0.74951171875, 0.04443359375, 0.6605224609375, -0.00189208984375)"
122444526530,"(0.669921875, -0.07098388671875, 0.74603271484375, 0.00494384765625)","(0.7496337890625, 0.0445556640625, 0.660400390625, -0.00225830078125)"
122444537085,"(0.670166015625, -0.07208251953125, 0.74566650390625, 0.0047607421875)","(0.749267578125, 0.04437255859375, 0.6607666015625, -0.0028076171875)"
122444543078,"(0.670166015625, -0.07208251953125, 0.74566650390625, 0.0047607421875)","(0.74932861328125, 0.04425048828125, 0.6607666015625, -0.0030517578125)"
122444551355,"(0.6707763671875, -0.073974609375, 0.7449951171875, 0.004638671875)","(0.74932861328125, 0.04425048828125, 0.6607666015625, -0.0030517578125)"
122444559749,"(0.6712646484375, -0.075927734375, 0.74432373046875, 0.00457763671875)","(0.7493896484375, 0.04425048828125, 0.66064453125, -0.003173828125)"
122444566609,"(0.6707763671875, -0.0745849609375, 0.74493408203125, 0.00445556640625)","(0.7489013671875, 0.04425048828125, 0.66119384765625, -0.003173828125)"
