scorer,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,945.5009,416.05853,0.6739363,871.3167,284.41788,0.90187573,870.547,149.07812,0.89459777,1788.8301,105.16187,0.051457964,1892.5837,470.8145,0.23243463
1,945.75244,416.31244,0.66152865,871.4603,284.1561,0.93035907,870.97015,148.6115,0.8886403,1788.6285,105.401764,0.050471842,1892.7421,470.8052,0.23159103
2,945.8138,416.3755,0.6843713,872.1653,284.42734,0.8876272,871.08185,149.10493,0.9091803,1788.7513,105.32456,0.04991337,1892.6766,470.5708,0.21061377
3,946.1316,416.78397,0.71745247,871.99054,285.1341,0.8686447,871.2158,149.32921,0.90014243,1788.7184,105.39576,0.049797125,1892.5936,470.70325,0.2152368
4,946.3864,416.96548,0.72307146,872.652,285.1959,0.86062914,871.4589,149.51605,0.8945364,1788.6731,105.312836,0.050495364,1892.6537,470.61526,0.22555128
5,946.37726,416.83917,0.69527316,872.9701,285.05655,0.8259848,871.58325,149.31535,0.9006977,1788.8405,105.23423,0.05056403,1892.6476,470.45053,0.21220109
6,946.5262,416.8465,0.696774,872.9915,285.09067,0.82733077,871.7091,149.38693,0.8867936,1788.8416,105.28552,0.051070012,1892.6499,470.429,0.20648244
7,946.8335,416.89648,0.72608685,873.619,285.24527,0.82169354,871.8137,149.22003,0.87553114,1788.8116,105.288765,0.050561193,1892.6252,470.48715,0.20884997
8,946.90704,416.83694,0.7436715,873.5847,285.3013,0.83652306,871.98566,149.1405,0.8602829,1788.9329,105.170395,0.048945192,1892.6223,470.53214,0.2180525
9,946.8251,416.79504,0.7273611,872.9264,285.1914,0.8329264,871.58026,149.3156,0.8737098,1789.0603,105.00952,0.05156776,1892.4038,470.67947,0.20926207
10,946.521,416.7772,0.7219589,872.4348,285.26242,0.8426307,871.317,149.4002,0.8884755,1788.9994,105.08397,0.052321903,1892.3865,470.80957,0.20411661
11,946.4009,416.70856,0.7317559,871.99774,284.9743,0.8540701,870.72565,149.29068,0.92182237,1788.9445,105.16807,0.053503875,1892.3536,470.8331,0.20737201
12,946.1484,416.93362,0.72746384,871.4367,285.45084,0.89776593,870.65594,149.36337,0.90516126,1788.8995,105.23461,0.0528036,1892.6082,470.56696,0.21380201
13,946.1903,416.8324,0.73734206,871.70245,285.49463,0.8881654,870.74554,149.4977,0.8945197,1788.9873,105.204185,0.052424047,1892.5621,470.51767,0.19434802
14,946.49896,416.64468,0.7198689,872.01135,285.45224,0.87898713,870.9511,149.25537,0.9120442,1788.9227,105.09687,0.055972364,1892.7294,470.45547,0.19928196
15,947.1563,416.58035,0.7405636,873.3583,285.3608,0.83628076,871.60376,148.95499,0.879275,1788.9352,105.065704,0.05396139,1892.6631,470.52866,0.1998345
16,947.11,416.87808,0.7611073,873.3386,285.70892,0.8320956,871.63586,149.15976,0.8911613,1788.9185,105.13504,0.053091947,1892.7749,470.55292,0.20008841
17,947.23846,416.76324,0.75676763,873.84406,285.52658,0.82239157,872.2309,149.2499,0.8237309,1788.8827,105.161316,0.05390626,1892.649,470.37125,0.2020031
