scorer,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,872.5039,643.5147,0.7130612,861.10144,485.04034,0.80985475,855.8017,328.69183,0.7809017,800.7803,129.07018,0.90070355,822.7245,23.296682,0.95735383
1,872.4744,643.5174,0.7112709,861.13495,485.20343,0.8129563,855.79346,328.6512,0.78302157,800.89124,129.05058,0.91473955,822.715,23.298914,0.9555575
2,872.39417,643.46155,0.72831404,860.9812,484.98593,0.80215055,855.83185,328.4935,0.76124173,801.2656,128.64203,0.92299837,823.1557,23.096592,0.940859
3,872.254,643.2806,0.74087226,861.047,485.0032,0.7942962,855.8185,328.49036,0.762507,801.4039,128.6707,0.9263186,823.3551,23.10122,0.94555205
4,872.32916,643.28186,0.75200313,861.0925,485.03558,0.8019146,855.84064,328.3868,0.77372444,801.55865,128.6482,0.92622596,823.5217,23.099998,0.93199
5,872.41437,643.3942,0.749326,861.20575,485.06454,0.8180708,855.76404,328.49933,0.75898296,801.4366,128.90297,0.9190366,823.38605,22.973251,0.9498714
6,872.40845,643.4766,0.7569018,861.1318,485.10498,0.8161902,855.7186,328.06735,0.7479356,801.35095,128.69395,0.9257217,823.3909,22.964987,0.9513975
7,872.3871,643.42163,0.7592455,861.07886,485.20636,0.81682754,855.78687,328.63406,0.7426635,800.9621,129.07664,0.9124527,823.1582,22.954967,0.95009553
8,872.5335,643.4691,0.74480677,861.141,485.23398,0.8205023,855.7645,328.64713,0.7440101,801.3603,128.93126,0.9166018,823.3448,22.978823,0.9513379
9,872.3678,643.5206,0.74614906,861.02875,485.21786,0.7990676,855.7442,328.69476,0.7352198,801.4109,128.94296,0.9179357,823.8912,22.971489,0.94117016
10,872.4409,643.62164,0.7259964,861.0508,485.19556,0.81029093,855.75543,328.24808,0.7386592,801.45996,128.93765,0.9182455,823.7732,22.953959,0.9390241
11,872.488,643.63043,0.7159155,861.0173,485.17377,0.7997916,855.7463,328.71127,0.7416036,801.3588,129.04626,0.9177843,823.6861,23.146978,0.9249489
12,872.39764,643.71625,0.7257771,861.00543,485.17117,0.80639565,855.8288,328.70505,0.7378907,801.18445,129.14755,0.9083434,823.18506,22.948233,0.94869673
13,872.41113,643.52405,0.70932585,860.9831,485.19376,0.80119973,855.74066,328.6106,0.7686329,801.52563,129.13116,0.9193174,823.58606,23.133255,0.9338367
14,872.6165,643.57874,0.6818157,861.0591,485.19934,0.8041834,855.68616,328.62875,0.77625114,801.4478,129.17381,0.9193012,823.4604,23.154816,0.95627713
15,872.3619,643.5796,0.7099831,861.00214,485.14548,0.8255258,855.6628,328.7263,0.7735584,801.9236,128.98013,0.92690593,823.8049,23.153502,0.9328835
16,872.35474,643.5596,0.71005225,861.1,484.9833,0.82129014,855.6307,328.6491,0.77165073,801.9762,129.12799,0.91518253,823.8078,23.154285,0.9354264
17,872.3574,643.61774,0.72878176,861.1298,484.9598,0.8168649,855.713,328.6711,0.7633174,802.06134,129.12234,0.9118345,824.118,23.239887,0.9496904
