scorer,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,942.1036,782.88525,0.32186776,925.1372,511.68887,0.2714589,944.11017,787.4203,0.07110196,915.3355,150.63751,0.67097396,923.3468,46.286133,0.2476473
1,942.2,783.01385,0.28493845,925.3901,512.2046,0.26645193,926.1064,515.3296,0.062354855,915.39075,150.56685,0.6552266,925.67065,512.36755,0.20263797
2,932.0899,674.295,0.6780032,926.96857,512.91345,0.5570974,927.15686,352.48755,0.5462491,914.4869,152.91888,0.776705,925.13135,48.110313,0.8788004
3,931.3167,673.9714,0.759641,927.58716,513.32385,0.66358626,926.5612,353.27686,0.66260445,914.61584,151.76146,0.7531077,925.44916,48.694668,1.0
4,931.9158,673.8803,0.9061319,927.5864,513.42035,0.72564185,926.439,353.40155,0.8236973,914.77356,151.76468,0.7772732,925.3917,48.54798,1.0
5,932.0074,673.7636,0.89134294,927.49396,513.5372,0.69397944,926.6409,353.46826,0.77136296,915.179,151.69519,0.7643182,925.60974,48.451553,1.0
6,932.203,673.86914,0.88622093,927.5687,513.5436,0.6826835,926.79614,353.4507,0.8079735,914.833,151.28038,0.8255871,925.6638,48.174828,1.0
7,932.40674,673.67725,0.8885322,927.53546,513.4926,0.7021094,926.8551,353.61575,0.84525186,914.8688,151.14073,0.8238664,925.7975,48.247734,1.0
8,932.5788,673.5749,0.93050224,927.6586,513.3802,0.72031647,926.8085,353.50778,0.8480811,914.91846,151.14258,0.81667197,925.8945,48.123173,1.0
9,932.66534,673.3822,0.90636003,927.49384,513.3156,0.704012,926.73596,353.7329,0.8694561,915.0467,151.08646,0.82657725,925.9929,48.054214,0.9982136
10,932.5011,673.1213,0.87568384,927.5208,513.4446,0.70034724,926.8196,353.7273,0.82936776,915.3061,151.14734,0.84080476,926.0115,48.06256,0.96568877
11,932.418,673.55676,0.89626116,927.4107,513.4335,0.6990531,926.80725,353.8356,0.84602684,915.4946,151.34254,0.8220438,925.9709,48.022396,0.93413264
12,932.1919,673.9552,0.88009065,927.4329,513.3004,0.69691694,926.66736,353.91843,0.8479421,915.2287,151.22066,0.8274558,926.03815,47.95202,0.94185436
13,932.3249,673.8264,0.88933235,927.5188,513.4973,0.702983,926.8893,353.70395,0.84750694,915.5447,151.49666,0.810423,926.10864,47.76189,1.0
14,932.3296,673.7307,0.89848834,927.5124,513.4686,0.6924766,927.04285,353.77008,0.82470167,915.24493,151.3978,0.82156724,926.0254,47.851246,1.0
15,932.2244,673.76105,0.90329146,927.55054,513.4586,0.686318,926.95685,353.7602,0.8315913,915.15393,151.34473,0.82553387,925.97406,47.851707,1.0
16,932.3708,673.7047,0.89669055,927.5509,513.2504,0.6911716,926.85626,353.64615,0.8525428,915.244,151.29152,0.82898736,926.13367,47.89294,1.0
17,932.489,673.84644,0.9473998,927.73474,513.3422,0.7033164,926.67346,353.64035,0.86256236,915.49646,151.41153,0.8002026,926.19006,47.888145,0.9950281
18,932.4466,673.8422,0.96493405,927.71124,513.5817,0.70812964,926.6379,353.63947,0.8592277,915.67267,151.53844,0.8035941,926.2454,47.91835,1.0
