timestamp,adc_ch0,adc_ch1,adc_ch2,adc_ch3
014547276471,8390997,8422399,8369323,8400042
014547276471,8372224,8356353,8406528,8403456
014547276471,8382635,8392363,8381952,8388779
014547276471,8387072,8389632,8397312,8392021
014547276471,8388267,8373590,8408746,8377003
014547300161,8351403,8400042,8429567,8370859
014547300161,8409941,8420351,8364374,8391509
014547300161,8360107,8405333,8390315,8398165
014547300161,8376491,8444415,8380928,8380075
014547300161,8403456,8402602,8388608,8391851
014547305672,8392021,8391509,8395605,8389120
014547305672,8387413,8390827,8389973,8385877
014547305672,8403456,8359254,8408746,8406698
014547305672,8383829,8390315,8402773,8414037
014547305672,8369323,8404309,8378880,8414037
014547314296,8385365,8383659,8391851,8386048
014547314296,8386560,8385877,8384853,8384683
014547314296,8385707,8389461,8384853,8385536
014547314296,8377003,8389973,8374102,8379904
014547314296,8429055,8395264,8428373,8351062
014547320594,8410282,8436053,8341334,8399360
014547320594,8370006,8399018,8407722,8405162
014547320594,8381781,8421375,8394411,8397141
014547320594,8384341,8398677,8387584,8385024
014547320594,8389120,8392704,8384683,8384171
014547326581,8387925,8384171,8387243,8385365
014547326581,8431615,8436906,8345771,8331094
014547326581,8357206,8405845,8403797,8416085
014547326581,8404650,8360619,8357377,8387243
014547326581,8398165,8402432,8390485,8368811
014547333200,8414037,8344235,8412842,8370859
014547333200,8375467,8387584,8369323,8389632
014547333200,8419669,8367104,8416768,8373760
014547333200,8402432,8343211,8404650,8357547
014547333200,8384171,8376662,8384683,8358230
014547340257,8419839,8363179,8400896,8371371
014547340257,8395264,8374443,8378709,8395605
014547340257,8362667,8373590,8368470,8389120
014547340257,8368128,8391509,8366422,8361814
014547340257,8377003,8399018,8385365,8375638
014547348418,8407893,8430762,8392021,8366934
014547348418,8396288,8378368,8425983,8356694
014547348418,8384853,8395605,8396800,8391509
014547348418,8389632,8383317,8391168,8396800
014547348418,8387925,8386731,8389291,8388096
014547354618,8386731,8396459,8389973,8389803
014547354618,8387584,8398507,8388608,8387755
014547354618,8401920,8437589,8368811,8390315
014547354618,8425130,8368299,8358742,8435711
014547354618,8378198,8408064,8410794,8364886
014547362070,8379563,8400042,8401237,8390997
014547362070,8390827,8392533,8386901,8386219
014547362070,8386219,8388096,8393387,8389973
014547362070,8385195,8393557,8386901,8392704
014547362070,8388096,8427690,8352769,8330924
014547368870,8369835,8362155,8338091,8335873
014547368870,8405504,8350038,8370006,8411818
014547368870,8411648,8376320,8365398,8403456
014547368870,8382293,8388779,8392021,8390656
014547368870,8387755,8386560,8387584,8381611
014547375743,8392704,8386048,8386560,8378880
014547375743,8408576,8424789,8405162,8422911
014547375743,8346454,8384341,8340993,8380757
014547375743,8369494,8370006,8395435,8410112
014547375743,8379392,8365568,8356353,8405845
014547384041,8423594,8386048,8386901,8361643
014547384041,8385707,8390997,8416768,8414890
014547384041,8384000,8390144,8406186,8407040
014547384041,8413696,8371542,8426495,8393387
014547384041,8404480,8356353,8398336,8382464
014547389770,8352086,8358230,8408917,8382293
014547389770,8379392,8387243,8434687,8363350
014547389770,8377856,8357206,8396971,8410112
014547389770,8390656,8389120,8391509,8380075
014547389770,8391168,8379221,8376832,8405674
014547396654,8378880,8401408,8345430,8437589
014547396654,8374614,8386389,8366934,8427178
014547396654,8411136,8358400,8346966,8421887
014547396654,8406016,8438783,8353110,8369494
014547396654,8395605,8401237,8386560,8366934
014547403803,8389291,8390144,8398677,8390315
014547403803,8390827,8395605,8393557,8390656
014547403803,8402944,8416768,8347307,8434346
014547403803,8351915,8441514,8375638,8404992
014547403803,8360960,8380075,8393216,8420010
014547411075,8378880,8357718,8383488,8364544
014547411075,8387413,8402432,8381269,8389120
014547411075,8383317,8375467,8389461,8385365
014547411075,8389120,8396288,8389291,8384683
014547411075,8385024,8346283,8397141,8425471
014547417868,8394240,8349355,8403456,8441514
014547417868,8358571,8401237,8419839,8392363
014547417868,8359254,8369323,8421205,8422058
014547417868,8392192,8396117,8389291,8386048
014547417868,8396117,8389291,8392704,8389291
014547425072,8397141,8387072,8406528,8387413
014547425072,8371030,8417792,8392533,8397312
014547425072,8354475,8355329,8343382,8403114
014547425072,8361984,8359254,8421034,8446634
014547425072,8406698,8371371,8415914,8353281
014547432327,8356523,8390144,8385365,8383147
014547432327,8405504,8402090,8407210,8391168
014547432327,8345601,8334508,8408917,8424106
014547432327,8375296,8372907,8356694,8414890
014547432327,8386731,8344577,8413354,8339627
014547439544,8399018,8387925,8403797,8341675
014547439544,8421546,8348843,8399360,8414890
014547439544,8395776,8394240,8371712,8384000
014547439544,8400042,8377344,8375979,8386389
014547439544,8394752,8401408,8387755,8382635
014547446730,8387755,8353110,8408917,8426666
014547446730,8411818,8351233,8399701,8371542
014547446730,8373078,8415061,8371712,8412160
014547446730,8366422,8415232,8385195,8370006
014547446730,8388949,8395093,8391851,8382976
014547453678,8385024,8394752,8387072,8389803
014547453678,8383659,8391851,8392192,8389291
014547453678,8381269,8390656,8392363,8427690
014547453678,8363520,8357035,8431615,8429738
014547453678,8411818,8354817,8398848,8417450
014547461127,8358059,8441514,8426154,8405333
014547461127,8384512,8390827,8388096,8381440
014547461127,8402602,8397995,8386560,8394752
014547461127,8397824,8376150,8404138,8388949
014547461127,8374955,8392021,8410965,8331265
014547468231,8383659,8354305,8348843,8366934
014547468231,8422399,8403114,8422741,8422741
014547468231,8430762,8366251,8360448,8428543
014547468231,8400213,8393045,8386901,8387413
014547468231,8390144,8380245,8383829,8386901
014547475518,8385365,8389632,8384683,8406698
014547475518,8401066,8386731,8374784,8375126
014547475518,8382293,8422229,8385536,8341675
014547475518,8396971,8334678,8344406,8443220
014547475518,8436906,8357547,8370518,8342699
014547482612,8420010,8414890,8437589,8409600
014547482612,8376832,8389973,8398336,8400554
014547482612,8366251,8372736,8356865,8444074
014547482612,8374102,8374272,8369323,8340651
014547482612,8369664,8394752,8371712,8441343
014547491183,8353622,8418645,8360278,8354475
014547491183,8365739,8345771,8378880,8436223
014547491183,8396459,8418133,8431445,8355670
014547491183,8399360,8404138,8380757,8389973
014547491183,8374272,8410794,8416085,8409258
014547497974,8399189,8404309,8398848,8369323
014547497974,8422741,8353451,8406869,8358400
014547497974,8375126,8410453,8373931,8433493
014547497974,8411648,8406186,8363862,8415232
014547497974,8363350,8361814,8364374,8388949
014547504612,8392021,8394411,8390144,8387755
014547504612,8403114,8392021,8394581,8379904
014547504612,8381611,8391851,8385707,8379051
014547504612,8396117,8372566,8379221,8393557
014547504612,8352769,8377003,8418304,8343894
014547511164,8361131,8414037,8400213,8429909
014547511164,8400554,8356011,8384171,8381611
014547511164,8388949,8380928,8386901,8401749
014547511164,8387925,8389803,8399872,8382464
014547511164,8384171,8378027,8397312,8394752
014547518392,8390827,8371883,8418304,8392192
014547518392,8387413,8368299,8371200,8375808
014547518392,8413184,8418986,8384853,8422741
014547518392,8406357,8406528,8417962,8376150
014547518392,8388949,8397312,8409770,8372395
014547525553,8361814,8392363,8396629,8404309
014547525553,8388437,8385365,8390656,8394581
014547525553,8386560,8336897,8362667,8405845
014547525553,8409941,8341675,8363179,8357889
014547525553,8399701,8414037,8352769,8364886
014547532824,8405162,8438101,8424618,8381099
014547532824,8374443,8368299,8376491,8407893
014547532824,8371371,8400384,8392533,8409088
014547532824,8415744,8355329,8416426,8399018
014547532824,8397995,8420522,8357547,8411136
014547540343,8359424,8442708,8362326,8400554
014547540343,8422741,8437077,8387243,8380416
014547540343,8376491,8411818,8352769,8383147
014547540343,8371883,8427861,8376832,8395264
014547540343,8392533,8356353,8360960,8379563
014547547466,8349697,8388608,8389461,8391168
014547547466,8398165,8396288,8409429,8390485
014547547466,8385024,8399189,8369664,8378198
014547547466,8401920,8343553,8423594,8355499
014547547466,8391339,8394581,8387243,8385536
014547554521,8391851,8389291,8389632,8393045
014547554521,8380587,8385707,8387584,8395947
014547554521,8398165,8398507,8375467,8378709
014547554521,8399701,8397141,8378368,8355499
014547554521,8408746,8429226,8397483,8369152
014547561356,8417962,8408234,8402602,8346795
014547561356,8370347,8418474,8377515,8362667
014547561356,8388437,8392363,8385536,8392021
014547561356,8380757,8392533,8400213,8385024
014547561356,8387413,8388437,8405162,8401920
014547568637,8390997,8414208,8395093,8396800
014547568637,8345089,8379563,8403285,8351915
014547568637,8372566,8352939,8398165,8416768
014547568637,8405845,8413013,8377174,8373760
014547568637,8380245,8409429,8377686,8399872
014547575700,8402261,8346625,8396629,8415914
014547575700,8381952,8395093,8390485,8389973
014547575700,8350209,8375467,8417621,8432639
014547575700,8426154,8370347,8362496,8345430
014547575700,8413866,8333996,8368299,8428714
014547582769,8382123,8326145,8393387,8410794
014547582769,8412330,8384512,8380587,8419498
014547582769,8401237,8349697,8379221,8359766
014547582769,8374102,8388267,8381269,8412842
014547582769,8351745,8423594,8385707,8389120
014547590067,8403626,8423594,8339115,8371883
014547590067,8415402,8346795,8413013,8388779
014547590067,8365739,8409258,8405674,8414549
014547590067,8362667,8403456,8370006,8394752
014547590067,8390656,8385536,8389291,8377856
014547597065,8400213,8379904,8370859,8379221
014547597065,8366934,8377856,8378368,8395947
014547597065,8381781,8361643,8431103,8369152
014547597065,8386389,8351233,8395264,8336556
014547597065,8368811,8394411,8384853,8375638
014547604149,8372736,8403456,8372566,8372054
014547604149,8390315,8390144,8386560,8394581
014547604149,8390144,8384683,8396629,8390485
014547604149,8367616,8407552,8399018,8427178
014547604149,8410112,8337921,8405162,8346113
014547611465,8417792,8338774,8402432,8345601
014547611465,8407722,8405845,8382635,8376150
014547611465,8393387,8382635,8385536,8389291
014547611465,8389973,8398507,8395264,8384512
014547611465,8394411,8396117,8390485,8378198
014547618529,8406698,8392533,8392021,8378709
014547618529,8399018,8402432,8375467,8429397
014547618529,8399701,8434175,8365739,8367104
014547618529,8392704,8409088,8378027,8406528
014547618529,8385536,8406186,8376662,8396800
014547625583,8398848,8393216,8376150,8423423
014547625583,8387584,8393728,8384000,8405845
014547625583,8397995,8433151,8341846,8353281
014547625583,8360960,8379904,8418304,8419669
014547625583,8415061,8431274,8343211,8338433
014547632861,8380587,8388096,8373760,8337580
014547632861,8354305,8413013,8407552,8332289
014547632861,8386560,8393216,8380416,8418816
014547632861,8390997,8437759,8409088,8415914
014547632861,8410453,8410794,8357889,8400896
014547640409,8358059,8420522,8434687,8390997
014547640409,8349185,8425301,8369323,8409088
014547640409,8402090,8386048,8381099,8386389
014547640409,8352939,8374955,8375296,8388437
014547640409,8385365,8392363,8375638,8398165
014547647278,8376320,8382464,8378539,8409600
014547647278,8392533,8398848,8415914,8413866
014547647278,8349185,8362838,8409770,8364203
014547647278,8392021,8372054,8374955,8430079
014547647278,8394411,8351745,8412842,8393557
014547654462,8341505,8379733,8421887,8385195
014547654462,8384171,8384000,8388267,8381781
014547654462,8395435,8391339,8382976,8395776
014547654462,8387243,8400725,8368982,8373419
014547654462,8382293,8392875,8408746,8373760
014547661737,8368128,8420351,8400554,8367275
014547661737,8369664,8337580,8426666,8385536
014547661737,8384853,8392704,8392704,8384000
014547661737,8382635,8391509,8390827,8383829
014547661737,8399872,8404821,8387072,8402261
014547668738,8385536,8365739,8392875,8403285
014547668738,8397483,8345430,8365398,8420863
014547668738,8398677,8429738,8397141,8343723
014547668738,8374614,8357206,8361472,8409941
014547668738,8397312,8400213,8411989,8389973
014547675618,8366763,8418645,8373419,8399530
014547675618,8390485,8384853,8380245,8384171
014547675618,8384512,8439807,8399018,8440319
014547675618,8415061,8439125,8413525,8357377
014547675618,8372907,8356694,8392192,8395435
014547684552,8434687,8422399,8394581,8417450
014547684552,8388949,8418986,8435199,8351745
014547684552,8353963,8433322,8372566,8426666
014547684552,8394581,8373419,8420863,8434175
014547684552,8419498,8366080,8407381,8402944
014547690538,8410453,8383488,8409088,8349185
