timestamp,euler1,euler2
014547277530,"(0.671875, 0.01983642578125, 0.74041748046875, 0.00140380859375)","(0.0, 0.0, 0.0, 0.0)"
014547290416,"(0.67230224609375, 0.01995849609375, 0.74005126953125, 0.00164794921875)","(0.0, 0.0, 0.0, 0.0)"
014547300554,"(0.67236328125, 0.02020263671875, 0.73992919921875, 0.00152587890625)","(0.0, 0.0, 0.0, 0.0)"
014547313547,"(0.672119140625, 0.0201416015625, 0.74017333984375, 0.00115966796875)","(0.0, 0.0, 0.0, 0.0)"
014547325694,"(0.67230224609375, 0.0201416015625, 0.739990234375, 0.00103759765625)","(0.0, 0.0, 0.0, 0.0)"
014547335895,"(0.67236328125, 0.0201416015625, 0.73992919921875, 0.0009765625)","(1.0, 0.00067138671875, 0.00048828125, -0.00030517578125)"
014547346359,"(0.67236328125, 0.020263671875, 0.73992919921875, 0.00103759765625)","(1.0, 0.00054931640625, 0.000732421875, -0.00048828125)"
014547356641,"(0.67254638671875, 0.0201416015625, 0.73974609375, 0.00103759765625)","(1.0, 0.00030517578125, 0.00054931640625, -0.00048828125)"
014547366595,"(0.67236328125, 0.02001953125, 0.73992919921875, 0.0009765625)","(1.0, 0.00018310546875, 0.00054931640625, -0.0003662109375)"
014547376770,"(0.6719970703125, 0.0201416015625, 0.740234375, 0.001220703125)","(1.0, 0.000244140625, 0.000244140625, -0.000244140625)"
014547386100,"(0.6717529296875, 0.0205078125, 0.740478515625, 0.0013427734375)","(0.73602294921875, 0.195068359375, 0.64825439453125, -0.0006103515625)"
014547392109,"(0.6717529296875, 0.0205078125, 0.740478515625, 0.0013427734375)","(0.73577880859375, 0.19525146484375, 0.64849853515625, -0.00079345703125)"
014547398268,"(0.67236328125, 0.02044677734375, 0.73992919921875, 0.00177001953125)","(0.73577880859375, 0.19525146484375, 0.64849853515625, -0.00079345703125)"
014547404577,"(0.67266845703125, 0.0206298828125, 0.7396240234375, 0.002197265625)","(0.7357177734375, 0.19549560546875, 0.64849853515625, -0.00103759765625)"
014547410613,"(0.67266845703125, 0.0206298828125, 0.7396240234375, 0.002197265625)","(0.7357177734375, 0.19549560546875, 0.64849853515625, -0.00103759765625)"
014547418051,"(0.67236328125, 0.0211181640625, 0.73992919921875, 0.00189208984375)","(0.73577880859375, 0.195556640625, 0.64837646484375, -0.00091552734375)"
014547423867,"(0.67236328125, 0.0211181640625, 0.73992919921875, 0.00189208984375)","(0.73583984375, 0.1954345703125, 0.6483154296875, -0.00103759765625)"
014547430015,"(0.6717529296875, 0.021728515625, 0.740478515625, 0.00201416015625)","(0.73583984375, 0.1954345703125, 0.6483154296875, -0.00103759765625)"
014547437180,"(0.67169189453125, 0.0213623046875, 0.74053955078125, 0.0023193359375)","(0.73583984375, 0.1951904296875, 0.6484375, -0.00152587890625)"
014547443418,"(0.67169189453125, 0.0213623046875, 0.74053955078125, 0.0023193359375)","(0.7357177734375, 0.1953125, 0.64849853515625, -0.0015869140625)"
014547448964,"(0.67156982421875, 0.021240234375, 0.7406005859375, 0.00244140625)","(0.7357177734375, 0.1953125, 0.64849853515625, -0.0015869140625)"
