scorer,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010,DLC_Resnet50_SOR0_2Oct25shuffle1_snapshot_010
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,915.33453,643.94116,0.7874365,921.82367,485.04968,0.7246911,928.6352,325.0605,0.8557083,915.87866,110.81511,0.9162421,931.77673,23.275736,1.0
1,915.49207,643.8459,0.79632515,921.91754,485.26923,0.7218144,928.7328,325.03333,0.8397885,915.8242,111.029816,0.92276406,931.2875,23.309553,1.0
2,915.64264,643.76416,0.7846177,921.98193,485.22745,0.7211051,928.70435,324.94467,0.84683275,916.0512,110.95807,0.8981187,931.7495,23.329374,1.0
3,915.81647,643.70483,0.80043536,922.15063,485.10956,0.7220542,928.78674,324.85626,0.8476694,916.31744,110.637375,0.89376414,932.4405,23.103975,1.0
4,916.0863,643.49976,0.8015144,922.22864,484.8591,0.724633,929.03754,324.73276,0.8637086,916.6304,110.47647,0.8786463,932.8847,23.181282,1.0
5,916.13416,643.63055,0.7950433,922.3891,484.99612,0.7116426,928.99817,324.56778,0.86414117,916.91205,110.23991,0.8915902,932.8893,23.223125,1.0
6,916.0507,643.59125,0.80348366,922.42163,484.8227,0.71578175,928.99896,324.5315,0.8701454,916.86945,110.34558,0.8798726,932.65076,23.306765,1.0
7,915.89386,643.80914,0.78859496,922.0891,485.22305,0.70091283,929.0297,324.49612,0.85622823,916.9205,110.29492,0.8835814,932.65405,23.308325,1.0
8,916.5631,643.6885,0.7850862,922.50836,485.05917,0.7106558,929.06226,324.46765,0.8694938,916.8743,110.29025,0.88189787,932.5965,23.320177,1.0
9,916.53125,643.6447,0.80657864,922.46643,485.03763,0.69944894,929.2798,324.35403,0.885432,916.8185,109.96498,0.8814557,932.6446,23.33792,1.0
10,916.4824,643.6123,0.8084953,922.4266,485.0954,0.70517147,929.2274,324.3978,0.8722599,916.936,110.22572,0.88611966,932.6422,23.298105,1.0
11,916.4506,643.48145,0.8183634,922.35095,485.00806,0.70763046,929.3286,324.285,0.8843736,916.8926,109.77558,0.9059583,932.77856,23.061447,1.0
12,916.61865,643.4166,0.82248545,922.587,484.9014,0.7131603,929.4899,324.36795,0.91553926,917.22064,109.42682,0.9120094,932.9357,22.764524,1.0
13,916.6925,643.42206,0.8256762,922.57336,484.88745,0.7079132,929.57086,324.31747,0.91171026,917.34705,109.37008,0.91062254,932.9198,22.749655,1.0
14,916.59235,643.2468,0.82572734,922.56946,484.89038,0.70454794,929.52985,324.29398,0.91120803,917.6165,109.384834,0.9349624,933.20636,22.89837,1.0
15,916.6875,643.2235,0.8326787,922.5799,484.91104,0.7049516,929.6667,324.28592,0.9130554,917.79755,109.1566,0.92886806,933.52075,22.907156,1.0
16,916.60175,643.194,0.8225749,922.5719,484.64404,0.7100735,929.45764,324.28397,0.9061641,917.27844,109.19221,0.91454256,933.23346,22.945839,1.0
17,915.7395,643.321,0.80893356,922.4442,484.77628,0.7005231,929.3859,324.1291,0.89461213,917.39465,108.85977,0.9120912,933.6123,22.785164,1.0
18,915.13776,643.293,0.75628424,922.3685,484.67023,0.708072,929.2581,324.07364,0.88648885,917.2452,108.87387,0.8981464,933.3268,22.961899,1.0
