Theoretical Angle (deg),IMU Angle (deg),ADC Value,Rotary Encoder
70.0,-2.25,968526.0,521.0
70.0,-2.25,968669.0,521.0
70.0,-2.25,970462.0,521.0
70.0,-2.25,970683.0,521.0
70.0,-2.25,971670.0,521.0
70.0,-2.25,971783.0,100.0
100.0,100.0,100.0,100.0
70.0,-4.88,2884367.0,516.0
70.0,-4.81,2903650.0,516.0
70.0,-4.81,2913505.0,516.0
70.0,-4.75,2920894.0,515.0
70.0,-4.75,2922543.0,516.0
70.0,-4.69,2928386.0,515.0
70.0,-4.69,2929521.0,515.0
70.0,-4.69,2929962.0,516.0
70.0,-4.69,2931935.0,515.0
70.0,-4.69,2939068.0,515.0
70.0,-4.69,2940461.0,516.0
70.0,-4.69,2940892.0,515.0
70.0,-4.69,2942993.0,516.0
70.0,-4.69,2945122.0,515.0
70.0,-4.69,2944099.0,516.0
70.0,-4.69,2943996.0,516.0
70.0,-4.69,2946043.0,516.0
70.0,-4.69,2946586.0,523.0
70.0,-2.5,2960203.0,521.0
70.0,-3.31,3018104.0,521.0
70.0,-3.31,3049181.0,521.0
70.0,-3.31,3051070.0,521.0
70.0,-3.31,3056329.0,521.0
70.0,-3.31,3056756.0,521.0
70.0,-3.31,3058085.0,521.0
70.0,-3.31,3058542.0,521.0
70.0,-3.31,3059359.0,521.0
70.0,-3.31,3062614.0,521.0
70.0,-3.31,3062923.0,521.0
70.0,-3.31,3064018.0,521.0
70.0,-3.31,3064479.0,521.0
70.0,-3.31,3060268.0,521.0
70.0,-3.31,3059755.0,521.0
70.0,-3.31,3060450.0,521.0
70.0,-3.31,3061183.0,521.0
70.0,-3.31,3062294.0,521.0
70.0,-3.31,3062023.0,521.0
60.0,-16.94,2892464.0,479.0
60.0,-16.94,2889035.0,478.0
60.0,-16.94,2884778.0,479.0
60.0,-16.94,2881475.0,479.0
60.0,-16.94,2879434.0,479.0
60.0,-16.94,2879017.0,478.0
60.0,-16.94,2877652.0,478.0
60.0,-16.94,2876451.0,479.0
60.0,-16.94,2875018.0,479.0
60.0,-16.94,2873803.0,479.0
60.0,-16.94,2872416.0,478.0
60.0,-16.94,2872233.0,478.0
60.0,-16.94,2874922.0,479.0
60.0,-16.94,2877729.0,478.0
60.0,-16.94,2878344.0,479.0
60.0,-16.94,2876871.0,479.0
60.0,-16.94,2873694.0,479.0
60.0,-16.94,2871689.0,479.0
60.0,-16.94,2873474.0,479.0
60.0,-16.94,2872383.0,479.0
60.0,-16.94,2872186.0,478.0
60.0,-16.94,2872179.0,478.0
60.0,-16.94,2872600.0,479.0
60.0,-16.94,2872675.0,479.0
60.0,-16.94,2872074.0,479.0
60.0,-16.94,2872385.0,478.0
60.0,-16.94,2873878.0,478.0
60.0,-16.94,2875265.0,479.0
60.0,-16.94,2874152.0,478.0
60.0,-16.94,2874553.0,479.0
60.0,-16.94,2872682.0,478.0
60.0,-16.94,2872597.0,479.0
60.0,-16.94,2874094.0,479.0
60.0,-16.94,2871907.0,478.0
60.0,-16.94,2871352.0,478.0
60.0,-16.94,2873845.0,478.0
60.0,-16.94,2873446.0,478.0
60.0,-16.94,2877461.0,478.0
60.0,-16.94,2878272.0,478.0
60.0,-16.94,2874501.0,479.0
60.0,-16.94,2873872.0,479.0
60.0,-16.94,2873989.0,478.0
60.0,-16.94,2873168.0,479.0
60.0,-16.94,2873505.0,479.0
60.0,-16.94,2880050.0,478.0
60.0,-16.94,2910755.0,479.0
60.0,-16.94,2912032.0,478.0
60.0,-16.94,2912491.0,478.0
60.0,-16.94,2915374.0,478.0
60.0,-16.94,2914241.0,478.0
50.0,-31.0,2670618.0,433.0
50.0,-30.94,2670129.0,433.0
50.0,-30.87,2666646.0,433.0
50.0,-30.87,2664777.0,433.0
50.0,-30.87,2664150.0,433.0
50.0,-30.87,2664157.0,434.0
50.0,-30.87,2662570.0,433.0
50.0,-30.87,2663089.0,433.0
50.0,-30.87,2663958.0,433.0
50.0,-30.87,2663835.0,433.0
50.0,-30.87,2664592.0,433.0
50.0,-30.87,2663125.0,434.0
50.0,-30.87,2662926.0,433.0
50.0,-30.87,2663233.0,433.0
50.0,-30.87,2662794.0,433.0
50.0,-30.87,2662971.0,433.0
50.0,-30.87,2663820.0,433.0
50.0,-30.87,2665223.0,433.0
50.0,-30.87,2664678.0,433.0
50.0,-30.87,2668143.0,433.0
50.0,-30.87,2667652.0,433.0
50.0,-30.87,2666607.0,433.0
50.0,-30.87,2666068.0,433.0
50.0,-30.87,2668191.0,433.0
50.0,-30.87,2669710.0,433.0
50.0,-30.87,2669207.0,433.0
50.0,-30.87,2667934.0,433.0
50.0,-30.87,2667953.0,433.0
50.0,-30.87,2669022.0,433.0
50.0,-30.87,2668495.0,433.0
50.0,-30.87,2668850.0,433.0
50.0,-30.87,2668833.0,433.0
50.0,-30.87,2669576.0,433.0
50.0,-30.87,2669559.0,433.0
50.0,-30.87,2670122.0,433.0
50.0,-30.87,2671037.0,433.0
50.0,-30.87,2669700.0,433.0
50.0,-30.87,2669707.0,433.0
50.0,-30.87,2668562.0,433.0
50.0,-30.87,2667483.0,433.0
50.0,-30.87,2668622.0,433.0
50.0,-30.87,2669771.0,433.0
50.0,-30.87,2669926.0,433.0
50.0,-30.87,2670753.0,433.0
50.0,-30.87,2673546.0,433.0
50.0,-30.87,2673163.0,433.0
50.0,-30.87,2671522.0,433.0
50.0,-30.87,2672153.0,433.0
50.0,-30.87,2673078.0,433.0
50.0,-30.87,2675491.0,433.0
40.0,-45.06,2349620.0,386.0
40.0,-45.0,2347847.0,386.0
40.0,-45.0,2347380.0,386.0
40.0,-44.94,2348255.0,386.0
40.0,-44.88,2350956.0,386.0
40.0,-44.88,2352917.0,386.0
40.0,-44.88,2353064.0,386.0
40.0,-44.88,2353541.0,386.0
40.0,-44.88,2353152.0,386.0
40.0,-44.88,2353187.0,387.0
40.0,-44.88,2353112.0,386.0
40.0,-44.88,2354257.0,386.0
40.0,-44.88,2354346.0,387.0
40.0,-44.88,2354931.0,386.0
40.0,-44.88,2355124.0,386.0
40.0,-44.88,2356871.0,386.0
40.0,-44.88,2357874.0,386.0
40.0,-44.88,2357099.0,386.0
40.0,-44.88,2357902.0,386.0
40.0,-44.88,2355577.0,386.0
40.0,-44.88,2356042.0,387.0
40.0,-44.88,2354533.0,386.0
40.0,-44.88,2354958.0,387.0
40.0,-44.88,2356603.0,386.0
40.0,-44.88,2355946.0,387.0
40.0,-44.88,2356737.0,387.0
40.0,-44.88,2357752.0,387.0
40.0,-44.88,2358447.0,387.0
40.0,-44.88,2358308.0,386.0
40.0,-44.88,2357583.0,386.0
40.0,-44.88,2358750.0,387.0
40.0,-44.88,2360775.0,386.0
40.0,-44.88,2359852.0,386.0
40.0,-44.88,2360389.0,386.0
40.0,-44.88,2361238.0,386.0
40.0,-44.88,2361055.0,386.0
40.0,-44.88,2359586.0,386.0
40.0,-44.88,2359117.0,386.0
40.0,-44.88,2357394.0,386.0
40.0,-44.88,2357685.0,387.0
40.0,-44.88,2359168.0,386.0
40.0,-44.88,2361067.0,386.0
40.0,-44.88,2364606.0,386.0
40.0,-44.88,2364257.0,387.0
40.0,-44.88,2362230.0,386.0
40.0,-44.88,2361453.0,386.0
40.0,-44.88,2362468.0,386.0
40.0,-44.88,2362805.0,386.0
