timestamp,euler1,euler2
152004702003,"(0.99359130859375, 0.05224609375, 0.10040283203125, 0.0025634765625)","(0.0, 0.0, 0.0, 0.0)"
152004714365,"(0.99346923828125, 0.052734375, 0.1011962890625, 0.00213623046875)","(0.0, 0.0, 0.0, 0.0)"
152004726426,"(0.993408203125, 0.05303955078125, 0.1015625, 0.001953125)","(0.0, 0.0, 0.0, 0.0)"
152004737301,"(0.99346923828125, 0.052978515625, 0.1011962890625, 0.00177001953125)","(0.0078125, 0.0, 0.0, 0.0)"
152004749134,"(0.99346923828125, 0.05316162109375, 0.1011962890625, 0.0020751953125)","(1.0, 0.0008544921875, 0.001220703125, -0.0015869140625)"
152004758191,"(0.993408203125, 0.053466796875, 0.101318359375, 0.002197265625)","(1.0, 0.0010986328125, 0.0010986328125, -0.001708984375)"
152004767799,"(0.993408203125, 0.05340576171875, 0.1011962890625, 0.002197265625)","(1.0, 0.0013427734375, 0.00128173828125, -0.0023193359375)"
152004778939,"(0.993408203125, 0.0537109375, 0.10125732421875, 0.00225830078125)","(1.0, 0.0015869140625, 0.0009765625, -0.002685546875)"
152004785923,"(0.99334716796875, 0.05413818359375, 0.10137939453125, 0.00250244140625)","(1.0, 0.00140380859375, 0.00067138671875, -0.00274658203125)"
152004794914,"(0.99334716796875, 0.05413818359375, 0.10137939453125, 0.00250244140625)","(1.0, 0.00140380859375, 0.0009765625, -0.00274658203125)"
152004800993,"(0.99334716796875, 0.05438232421875, 0.1015625, 0.001953125)","(1.0, 0.00140380859375, 0.0009765625, -0.00274658203125)"
152004808434,"(0.99334716796875, 0.05419921875, 0.1016845703125, 0.00201416015625)","(0.993408203125, -0.10943603515625, -0.03399658203125, -0.0028076171875)"
152004813060,"(0.99334716796875, 0.05419921875, 0.1016845703125, 0.00201416015625)","(0.99334716796875, -0.109619140625, -0.03436279296875, -0.0029296875)"
152004819516,"(0.99334716796875, 0.0540771484375, 0.10162353515625, 0.0018310546875)","(0.99334716796875, -0.109619140625, -0.03436279296875, -0.0029296875)"
152004823667,"(0.99334716796875, 0.0540771484375, 0.10162353515625, 0.0018310546875)","(0.99334716796875, -0.10968017578125, -0.0347900390625, -0.003173828125)"
152004830756,"(0.99334716796875, 0.0543212890625, 0.101318359375, 0.00213623046875)","(0.99334716796875, -0.10968017578125, -0.0347900390625, -0.003173828125)"
152004838951,"(0.99334716796875, 0.0545654296875, 0.10137939453125, 0.0025634765625)","(0.99334716796875, -0.10980224609375, -0.0347900390625, -0.003173828125)"
152004844059,"(0.99334716796875, 0.0545654296875, 0.10137939453125, 0.0025634765625)","(0.99334716796875, -0.10980224609375, -0.0345458984375, -0.00299072265625)"
152004850036,"(0.99334716796875, 0.05450439453125, 0.10137939453125, 0.00238037109375)","(0.99334716796875, -0.10980224609375, -0.0345458984375, -0.00299072265625)"
152004856916,"(0.99334716796875, 0.05487060546875, 0.1014404296875, 0.002197265625)","(0.993408203125, -0.10968017578125, -0.03387451171875, -0.0032958984375)"
152004862570,"(0.99334716796875, 0.05487060546875, 0.1014404296875, 0.002197265625)","(0.993408203125, -0.10968017578125, -0.03387451171875, -0.0032958984375)"
152004869975,"(0.9932861328125, 0.0550537109375, 0.1015625, 0.002197265625)","(0.993408203125, -0.10968017578125, -0.03350830078125, -0.00347900390625)"
152004876711,"(0.9932861328125, 0.0552978515625, 0.1016845703125, 0.002685546875)","(0.993408203125, -0.10968017578125, -0.03350830078125, -0.00360107421875)"
152004883792,"(0.9932861328125, 0.0552978515625, 0.1016845703125, 0.002685546875)","(0.99334716796875, -0.10992431640625, -0.0338134765625, -0.0035400390625)"
152004891896,"(0.9932861328125, 0.055419921875, 0.1014404296875, 0.0025634765625)","(0.99334716796875, -0.10992431640625, -0.0338134765625, -0.0035400390625)"
152004899873,"(0.9932861328125, 0.05535888671875, 0.10150146484375, 0.00250244140625)","(0.99334716796875, -0.10986328125, -0.033447265625, -0.003662109375)"
152004909425,"(0.9932861328125, 0.05517578125, 0.1015625, 0.00262451171875)","(0.99334716796875, -0.1099853515625, -0.0333251953125, -0.0035400390625)"
152004918755,"(0.9932861328125, 0.055419921875, 0.1015625, 0.0025634765625)","(0.993408203125, -0.109619140625, -0.03326416015625, -0.00372314453125)"
152004926696,"(0.9931640625, 0.05584716796875, 0.10235595703125, 0.0023193359375)","(0.993408203125, -0.1094970703125, -0.0333251953125, -0.00360107421875)"
152004933534,"(0.9931640625, 0.05584716796875, 0.10235595703125, 0.0023193359375)","(0.993408203125, -0.10968017578125, -0.03326416015625, -0.00311279296875)"
152004942597,"(0.9931640625, 0.05584716796875, 0.1026611328125, 0.00213623046875)","(0.993408203125, -0.10968017578125, -0.03326416015625, -0.00311279296875)"
