timestamp,quat1,quat2
161120297339,"(0.96124267578125, -0.26715087890625, 0.06805419921875, -0.0025634765625)","(0.0, 0.0, 0.0, 0.0)"
161120307315,"(0.96160888671875, -0.26568603515625, 0.06890869140625, -0.00115966796875)","(0.0, 0.0, 0.0, 0.0)"
161120317306,"(0.96160888671875, -0.26568603515625, 0.06854248046875, -0.0008544921875)","(0.0, 0.0, 0.0, 0.0)"
161120326499,"(0.96124267578125, -0.2674560546875, 0.06707763671875, -0.0018310546875)","(0.0, 0.0, 0.0, 0.0)"
161120336042,"(0.96112060546875, -0.2681884765625, 0.06622314453125, -0.002197265625)","(0.0, 0.0, 0.0, 0.0)"
161120345893,"(0.96124267578125, -0.26751708984375, 0.06658935546875, -0.001708984375)","(0.0, 0.0, 0.0, 0.0)"
161120355618,"(0.96142578125, -0.2669677734375, 0.06640625, -0.0013427734375)","(1.0, 0.0008544921875, 0.0009765625, -0.001220703125)"
161120364951,"(0.9613037109375, -0.26739501953125, 0.0660400390625, -0.0013427734375)","(1.0, 0.0008544921875, 0.00115966796875, -0.0015869140625)"
161120374806,"(0.9615478515625, -0.266357421875, 0.06683349609375, -0.00018310546875)","(1.0, 0.0009765625, 0.00140380859375, -0.00177001953125)"
161120385719,"(0.9615478515625, -0.2664794921875, 0.06695556640625, -0.000244140625)","(1.0078125, 0.0009765625, 0.0015869140625, -0.0018310546875)"
161120394993,"(0.961181640625, -0.2679443359375, 0.06585693359375, -0.00128173828125)","(1.0, 0.00103759765625, 0.00164794921875, -0.0020751953125)"
161120404382,"(0.961181640625, -0.2679443359375, 0.06561279296875, -0.001220703125)","(0.943115234375, -0.3240966796875, 0.07403564453125, -0.002685546875)"
161120414054,"(None, None, None, None)","(None, None, None, None)"
161120415669,"(0.96136474609375, -0.26727294921875, 0.06622314453125, -0.00048828125)","(0.943115234375, -0.32403564453125, 0.07415771484375, -0.0029296875)"
161120419139,"(0.96136474609375, -0.26727294921875, 0.06622314453125, -0.00048828125)","(0.943115234375, -0.32403564453125, 0.07415771484375, -0.0029296875)"
161120424746,"(0.9613037109375, -0.2674560546875, 0.0660400390625, -0.001220703125)","(0.94317626953125, -0.323974609375, 0.073974609375, -0.00274658203125)"
161120428797,"(0.9613037109375, -0.2674560546875, 0.0660400390625, -0.001220703125)","(0.94317626953125, -0.323974609375, 0.073974609375, -0.00274658203125)"
