timestamp,euler1,euler2
162312185522,"(0.66400146484375, -0.0023193359375, 0.74774169921875, -0.001953125)","(0.0, 0.0, 0.0, 0.0)"
162312196833,"(0.66412353515625, -0.00244140625, 0.74761962890625, -0.0015869140625)","(0.0, 0.0, 0.0, 0.0)"
162312207790,"(0.6639404296875, -0.00213623046875, 0.74774169921875, -0.0013427734375)","(0.0, 0.0, 0.0, 0.0)"
162312222595,"(0.66412353515625, -0.00201416015625, 0.74761962890625, -0.00103759765625)","(0.0, 0.0, 0.0, 0.0)"
162312233370,"(0.66400146484375, -0.00213623046875, 0.74774169921875, -0.00128173828125)","(0.0, 0.0, 0.0, 0.0)"
162312243918,"(0.66387939453125, -0.00238037109375, 0.747802734375, -0.0013427734375)","(1.0, 0.0009765625, 0.001220703125, -6.103515625e-05)"
162312254126,"(0.66424560546875, -0.00262451171875, 0.74749755859375, -0.0015869140625)","(1.0, 0.0008544921875, 0.0009765625, 6.103515625e-05)"
162312264968,"(0.66436767578125, -0.00323486328125, 0.7474365234375, -0.001708984375)","(1.0, 0.0008544921875, 0.00018310546875, 0.00042724609375)"
162312275696,"(0.66461181640625, -0.0035400390625, 0.7471923828125, -0.00152587890625)","(1.0, 0.00067138671875, 6.103515625e-05, 0.00030517578125)"
162312279720,"(0.66461181640625, -0.0035400390625, 0.7471923828125, -0.00152587890625)","(1.0, 0.0008544921875, 6.103515625e-05, -0.0001220703125)"
162312285275,"(0.664794921875, -0.00372314453125, 0.74700927734375, -0.0015869140625)","(None, None, None, None)"
162312287908,"(None, None, None, None)","(1.0, 0.0008544921875, 6.103515625e-05, -0.0001220703125)"
162312292005,"(0.664794921875, -0.00372314453125, 0.74700927734375, -0.0015869140625)","(None, None, None, None)"
162312294451,"(0.66510009765625, -0.00384521484375, 0.74676513671875, -0.00177001953125)","(0.80328369140625, 0.08392333984375, 0.58966064453125, -0.00128173828125)"
162312298389,"(0.66510009765625, -0.00384521484375, 0.74676513671875, -0.00177001953125)","(None, None, None, None)"
162312300951,"(None, None, None, None)","(None, None, None, None)"
162312302359,"(0.66510009765625, -0.00384521484375, 0.74676513671875, -0.00177001953125)","(0.8031005859375, 0.0841064453125, 0.58990478515625, -0.00177001953125)"
162312305945,"(0.66534423828125, -0.00408935546875, 0.74652099609375, -0.00152587890625)","(None, None, None, None)"
162312308530,"(None, None, None, None)","(0.8031005859375, 0.0841064453125, 0.58990478515625, -0.00177001953125)"
162312312701,"(0.6654052734375, -0.004638671875, 0.7464599609375, -0.00164794921875)","(None, None, None, None)"
162312315571,"(0.6654052734375, -0.004638671875, 0.7464599609375, -0.00164794921875)","(None, None, None, None)"
162312318241,"(0.6654052734375, -0.004638671875, 0.7464599609375, -0.00164794921875)","(0.8031005859375, 0.08428955078125, 0.58990478515625, -0.001953125)"
162312324584,"(0.66522216796875, -0.005126953125, 0.74658203125, -0.001953125)","(0.80303955078125, 0.08453369140625, 0.58990478515625, -0.00213623046875)"
162312327980,"(None, None, None, None)","(0.80303955078125, 0.08453369140625, 0.58990478515625, -0.00213623046875)"
162312330604,"(0.66522216796875, -0.005126953125, 0.74658203125, -0.001953125)","(None, None, None, None)"
162312334777,"(0.66522216796875, -0.00537109375, 0.74664306640625, -0.00201416015625)","(None, None, None, None)"
162312336958,"(0.66522216796875, -0.00537109375, 0.74664306640625, -0.00201416015625)","(None, None, None, None)"
162312340026,"(0.66522216796875, -0.00537109375, 0.74664306640625, -0.00201416015625)","(0.802978515625, 0.08477783203125, 0.5899658203125, -0.00201416015625)"
162312345172,"(0.66534423828125, -0.00555419921875, 0.74652099609375, -0.00177001953125)","(None, None, None, None)"
162312347452,"(0.66534423828125, -0.00555419921875, 0.74652099609375, -0.00177001953125)","(None, None, None, None)"
162312350327,"(0.66534423828125, -0.00555419921875, 0.74652099609375, -0.00177001953125)","(0.80291748046875, 0.0848388671875, 0.59002685546875, -0.00189208984375)"
162312355180,"(0.66522216796875, -0.005615234375, 0.74658203125, -0.00201416015625)","(0.802734375, 0.0848388671875, 0.5902099609375, -0.00201416015625)"
162312358693,"(0.66522216796875, -0.005615234375, 0.74658203125, -0.00201416015625)","(None, None, None, None)"
162312362931,"(0.6654052734375, -0.0057373046875, -1.2535400390625, -0.00213623046875)","(None, None, None, None)"
162312365793,"(0.6654052734375, -0.0057373046875, 0.7464599609375, -0.00213623046875)","(None, None, None, None)"
162312368208,"(None, None, None, None)","(None, None, None, None)"
162312369231,"(0.6654052734375, -0.0057373046875, 0.7464599609375, -0.00213623046875)","(0.80242919921875, 0.084716796875, 0.5906982421875, -0.001953125)"
162312375949,"(0.665771484375, -0.00543212890625, 0.74615478515625, -0.00152587890625)","(None, None, None, None)"
162312378161,"(None, None, None, None)","(0.802001953125, 0.0845947265625, 0.59124755859375, -0.0018310546875)"
162312380927,"(0.665771484375, -0.00543212890625, 0.74615478515625, -0.00152587890625)","(0.80224609375, 0.0845947265625, 0.5909423828125, -0.0018310546875)"
162312386583,"(0.66558837890625, -0.00518798828125, 0.74627685546875, -0.0013427734375)","(0.80224609375, 0.0845947265625, 0.5909423828125, -0.0018310546875)"
162312390037,"(None, None, None, None)","(None, None, None, None)"
162312391723,"(0.66558837890625, -0.00518798828125, 0.74627685546875, -0.0013427734375)","(None, None, None, None)"
162312394253,"(None, None, None, None)","(None, None, None, None)"
162312395634,"(0.665771484375, -0.00518798828125, 0.74615478515625, -0.00115966796875)","(0.8023681640625, 0.08453369140625, 0.5908203125, -0.00146484375)"
162312399026,"(0.665771484375, -0.00518798828125, 0.74615478515625, -0.00115966796875)","(None, None, None, None)"
162312401959,"(None, None, None, None)","(0.8023681640625, 0.08453369140625, 0.5908203125, -0.00146484375)"
162312405823,"(0.66583251953125, -0.00445556640625, 0.74609375, -0.00115966796875)","(0.80224609375, 0.0845947265625, 0.5909423828125, -0.00128173828125)"
162312409418,"(0.66583251953125, -0.00445556640625, 0.74609375, -0.00115966796875)","(None, None, None, None)"
162312412387,"(0.66583251953125, -0.00445556640625, 0.74609375, -0.00115966796875)","(0.80242919921875, 0.08453369140625, 0.59075927734375, -0.001220703125)"
162312417017,"(0.66558837890625, -0.00439453125, 0.74627685546875, -0.00128173828125)","(0.80242919921875, 0.08453369140625, 0.59075927734375, -0.001220703125)"
162312421742,"(0.66558837890625, -0.00439453125, 0.74627685546875, -0.00128173828125)","(0.80230712890625, 0.08447265625, 0.59088134765625, -0.00115966796875)"
162312427202,"(0.66534423828125, -0.003662109375, 0.74652099609375, -0.00115966796875)","(0.80230712890625, 0.08447265625, 0.59088134765625, -0.00115966796875)"
162312430614,"(0.66534423828125, -0.003662109375, 0.74652099609375, -0.00115966796875)","(None, None, None, None)"
162312435241,"(0.6651611328125, -0.00408935546875, 0.7467041015625, -0.0018310546875)","(None, None, None, None)"
162312437415,"(0.6651611328125, -0.00408935546875, 0.7467041015625, -0.0018310546875)","(None, None, None, None)"
162312440099,"(0.6651611328125, -0.00408935546875, 0.7467041015625, -0.0018310546875)","(0.80230712890625, 0.0845947265625, 0.59088134765625, -0.0009765625)"
162312445345,"(0.66552734375, -0.00439453125, 0.746337890625, -0.00177001953125)","(0.80224609375, 0.08465576171875, 0.59100341796875, -0.0009765625)"
162312448777,"(0.66552734375, -0.00439453125, 0.746337890625, -0.00177001953125)","(0.80224609375, 0.08465576171875, 0.59100341796875, -0.0009765625)"
162312454294,"(0.66552734375, -0.00439453125, 0.746337890625, -0.00177001953125)","(0.80206298828125, 0.084716796875, 0.5911865234375, -0.0013427734375)"
162312457883,"(0.6658935546875, -0.00469970703125, 0.74603271484375, -0.001708984375)","(None, None, None, None)"
162312460533,"(0.6658935546875, -0.00469970703125, 0.74603271484375, -0.001708984375)","(None, None, None, None)"
162312464058,"(0.665771484375, -0.00445556640625, 0.74615478515625, -0.00164794921875)","(0.8021240234375, 0.08453369140625, 0.59112548828125, -0.001220703125)"
162312468187,"(None, None, None, None)","(0.8021240234375, 0.08453369140625, 0.59112548828125, -0.001220703125)"
162312470397,"(0.665771484375, -0.00445556640625, 0.74615478515625, -0.00164794921875)","(None, None, None, None)"
