scorer,DLC_Resnet50_SOR1_10_26Oct27shuffle1_snapshot_010,DLC_Resnet50_SOR1_10_26Oct27shuffle1_snapshot_010,DLC_Resnet50_SOR1_10_26Oct27shuffle1_snapshot_010,DLC_Resnet50_SOR1_10_26Oct27shuffle1_snapshot_010,DLC_Resnet50_SOR1_10_26Oct27shuffle1_snapshot_010,DLC_Resnet50_SOR1_10_26Oct27shuffle1_snapshot_010,DLC_Resnet50_SOR1_10_26Oct27shuffle1_snapshot_010,DLC_Resnet50_SOR1_10_26Oct27shuffle1_snapshot_010,DLC_Resnet50_SOR1_10_26Oct27shuffle1_snapshot_010,DLC_Resnet50_SOR1_10_26Oct27shuffle1_snapshot_010,DLC_Resnet50_SOR1_10_26Oct27shuffle1_snapshot_010,DLC_Resnet50_SOR1_10_26Oct27shuffle1_snapshot_010,DLC_Resnet50_SOR1_10_26Oct27shuffle1_snapshot_010,DLC_Resnet50_SOR1_10_26Oct27shuffle1_snapshot_010,DLC_Resnet50_SOR1_10_26Oct27shuffle1_snapshot_010
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,974.8601,748.4457,0.80188346,929.9299,590.6703,0.7116043,930.18823,394.17892,0.7458168,952.77686,136.87256,0.6906929,917.55255,64.80426,0.8381176
1,974.8763,748.4457,0.8314047,929.8496,590.7584,0.7308053,930.0015,394.38538,0.7113497,953.38007,136.5767,0.73713,917.4555,64.65019,0.82846206
2,974.95544,748.40704,0.82914376,929.81714,590.68713,0.72977257,929.84796,394.35968,0.69556797,952.595,136.72212,0.7435549,917.41547,64.6704,0.8311708
3,975.08246,748.4696,0.8218484,929.6724,590.5994,0.7307482,929.968,394.38055,0.7004645,952.70013,137.15742,0.738581,917.2769,64.76359,0.8352939
4,975.10236,748.43066,0.807373,929.7318,590.53986,0.7315725,929.88904,394.3791,0.7028761,952.71625,137.17493,0.7348352,917.387,64.81655,0.8392216
5,975.2016,748.6635,0.798235,929.7498,590.3985,0.7439279,929.933,394.3223,0.68334067,952.5012,137.06091,0.7244566,917.32526,64.83564,0.8378915
6,975.2174,748.60565,0.80181724,929.683,590.4964,0.74570894,930.1373,393.67807,0.6779727,952.4867,137.01949,0.72697455,917.11694,64.963005,0.83664596
7,975.2714,748.6132,0.8029789,929.67664,590.4884,0.7516098,930.0922,393.7304,0.68238276,952.2934,136.95161,0.7252485,917.0191,64.99857,0.83874506
8,975.17725,748.61456,0.79292166,929.58826,590.5236,0.7484988,930.0156,393.56207,0.663199,952.2409,136.8634,0.71537465,917.07263,65.01914,0.8260499
9,975.24097,748.63354,0.791698,929.6706,590.3834,0.7582241,930.0503,393.74963,0.6590495,952.3518,137.13326,0.72955227,916.9985,65.08586,0.8359342
10,975.20264,748.61993,0.7930683,929.66394,590.3449,0.75507694,930.1467,393.74362,0.6580004,952.3929,137.21997,0.73416954,917.14105,65.11309,0.8405518
11,975.06946,748.65625,0.7981578,929.66113,590.46967,0.7412929,930.28674,393.66318,0.6489506,953.0892,136.80759,0.76287967,917.1249,65.19621,0.849456
12,975.1357,748.6023,0.80569136,929.7046,590.60297,0.73670113,930.30176,393.76947,0.648336,953.08466,136.87631,0.7620947,917.1269,65.180725,0.8428419
13,975.1016,748.70197,0.82576585,929.87604,590.6258,0.7462754,930.0649,394.38995,0.66077745,953.1256,136.78954,0.76095587,917.29126,65.19556,0.84437835
14,975.0909,748.6631,0.8318132,930.00946,590.6195,0.7441764,930.04974,394.3671,0.6583648,953.18665,136.81577,0.7663707,917.1816,65.24522,0.8455492
15,974.904,748.4593,0.85233575,929.95105,590.659,0.73084795,930.1541,393.68823,0.66333604,953.2356,136.8037,0.76690394,917.1731,65.22711,0.84072787
16,975.0309,748.6261,0.86776936,929.9992,590.66693,0.73910683,930.0862,394.42795,0.65863174,953.3039,136.76659,0.7587321,917.20325,65.26163,0.8367357
17,975.1051,748.64343,0.8610326,929.82825,590.5237,0.75386715,929.9124,394.42462,0.668131,953.28296,136.68973,0.7478979,917.14856,65.22162,0.8358725
