scorer,DLC_Resnet50_SOR1_10_26Oct27shuffle1_snapshot_010,DLC_Resnet50_SOR1_10_26Oct27shuffle1_snapshot_010,DLC_Resnet50_SOR1_10_26Oct27shuffle1_snapshot_010,DLC_Resnet50_SOR1_10_26Oct27shuffle1_snapshot_010,DLC_Resnet50_SOR1_10_26Oct27shuffle1_snapshot_010,DLC_Resnet50_SOR1_10_26Oct27shuffle1_snapshot_010,DLC_Resnet50_SOR1_10_26Oct27shuffle1_snapshot_010,DLC_Resnet50_SOR1_10_26Oct27shuffle1_snapshot_010,DLC_Resnet50_SOR1_10_26Oct27shuffle1_snapshot_010,DLC_Resnet50_SOR1_10_26Oct27shuffle1_snapshot_010,DLC_Resnet50_SOR1_10_26Oct27shuffle1_snapshot_010,DLC_Resnet50_SOR1_10_26Oct27shuffle1_snapshot_010,DLC_Resnet50_SOR1_10_26Oct27shuffle1_snapshot_010,DLC_Resnet50_SOR1_10_26Oct27shuffle1_snapshot_010,DLC_Resnet50_SOR1_10_26Oct27shuffle1_snapshot_010
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1010.71375,755.4048,0.8180724,960.1244,598.9285,0.822405,954.09204,401.90372,0.7292079,971.6103,148.37444,0.7852703,931.9753,76.47558,0.75344205
1,1010.51733,755.0517,0.8285353,960.0055,599.0683,0.8277774,954.1285,401.8908,0.7330305,971.81,148.31364,0.7735885,932.0768,76.60127,0.7548816
2,1010.595,754.9665,0.8175946,960.0699,599.1306,0.8247373,954.0287,401.70303,0.7146975,971.87427,148.37842,0.77282596,932.07007,76.6107,0.75953186
3,1010.45197,755.06903,0.82184994,960.43567,599.1584,0.80500996,954.2122,401.57153,0.732932,972.042,148.36761,0.77635163,932.1253,76.588974,0.7559101
4,1010.38165,755.147,0.8014729,960.15027,599.0867,0.82141674,954.00543,401.853,0.7533145,972.1999,148.40944,0.7766879,932.1219,76.467476,0.7550056
5,1010.47345,755.1474,0.7989654,960.13354,598.98004,0.8169639,953.94025,402.0422,0.76675147,971.99695,148.21086,0.7775361,932.1406,76.5398,0.7757028
6,1010.50397,755.0845,0.8133198,960.1159,599.11584,0.8140843,953.84186,401.94217,0.76140654,972.1329,148.1742,0.77932316,932.1466,76.54537,0.76317835
7,1010.5202,755.0704,0.8201611,960.0031,599.0912,0.8172271,953.80133,401.71442,0.77204883,971.9564,147.90001,0.7704182,932.1221,76.5297,0.76050514
8,1010.4652,755.13153,0.80938244,960.02155,599.0819,0.8054093,953.88885,402.01376,0.7654026,971.9292,148.10236,0.77572733,931.96155,76.42487,0.7587638
9,1010.5538,755.08844,0.81692445,960.0115,598.8367,0.80936563,954.01434,401.80536,0.7754672,972.1001,148.19208,0.7522771,932.04095,76.57487,0.7894139
10,1010.54565,755.0947,0.8155476,960.0514,598.85925,0.8157871,954.1938,401.7538,0.75024223,972.1085,148.13864,0.7611229,932.11475,76.556206,0.79431325
11,1010.5535,755.09064,0.81667054,960.0841,599.0548,0.81190246,954.0857,401.7158,0.76200604,972.2443,148.25302,0.754178,931.953,76.49523,0.788472
12,1010.7869,754.992,0.80664957,960.09515,598.85913,0.81658304,953.988,401.74643,0.768494,972.2756,148.22392,0.745349,932.22864,76.35694,0.779673
13,1010.5035,754.8384,0.79708415,959.9837,598.72314,0.8238101,953.9879,401.68094,0.76042473,972.35004,148.2481,0.74658877,932.0525,76.397446,0.7848246
14,1010.86346,754.7783,0.797379,959.9931,598.7027,0.8221419,954.0012,401.75467,0.76183456,972.3927,148.25449,0.7576731,932.12115,76.435844,0.7855464
15,1010.786,754.7022,0.78471583,959.97565,598.64417,0.82363826,953.98016,401.7037,0.761068,972.3539,148.2763,0.74925095,932.23926,76.339676,0.7920003
16,1010.36804,754.98694,0.8109299,960.0367,598.6661,0.82124126,954.0247,401.64307,0.7607006,972.29504,148.35213,0.73761344,932.10205,76.45725,0.78042597
17,1010.4547,754.91504,0.8145469,960.22546,598.7049,0.81590754,954.078,401.73593,0.7551976,972.31415,148.36691,0.74797887,932.1432,76.44125,0.7805279
