timestamp,quat1,quat2
164912498283,"(0.908203125, -0.21417236328125, 0.35955810546875, 0.00048828125)","(0.0, 0.0, 0.0, 0.0)"
164912511211,"(0.90814208984375, -0.21417236328125, 0.35968017578125, 0.0003662109375)","(0.0, 0.0, 0.0, 0.0)"
164912525874,"(0.908203125, -0.21417236328125, 0.35955810546875, 0.0003662109375)","(0.0, 0.0, 0.0, 0.0)"
164912536865,"(0.90826416015625, -0.21429443359375, 0.359375, 0.00054931640625)","(0.0, 0.0, 0.0, 0.0)"
164912552212,"(0.9161376953125, -0.21435546875, 0.3592529296875, 0.00048828125)","(1.0078125, 0.00030517578125, 0.00067138671875, -0.00140380859375)"
164912558977,"(0.91619873046875, -0.21405029296875, 0.3592529296875, 0.00030517578125)","(1.0, 0.00030517578125, 0.00067138671875, -0.00140380859375)"
164912567380,"(0.91619873046875, -0.2138671875, 0.35931396484375, 0.0006103515625)","(1.0078125, 0.00054931640625, 0.00079345703125, -0.0018310546875)"
164912576210,"(0.9161376953125, -0.21429443359375, 0.359130859375, 0.00067138671875)","(1.0, 0.00042724609375, 0.00091552734375, -0.00213623046875)"
164912585803,"(0.91607666015625, -0.214599609375, 0.359130859375, 0.000732421875)","(1.0078125, 0.00067138671875, 0.00103759765625, -0.0023193359375)"
164912592811,"(0.90826416015625, -0.214599609375, 0.359130859375, 0.000732421875)","(1.0078125, 0.00067138671875, 0.0013427734375, -0.00238037109375)"
164912601024,"(0.9161376953125, -0.21429443359375, 0.359130859375, 0.0009765625)","(0.99786376953125, 0.12725830078125, 0.06011962890625, -0.00244140625)"
164912608925,"(0.916259765625, -0.2139892578125, 0.359130859375, 0.001220703125)","(0.99786376953125, 0.12725830078125, 0.06011962890625, -0.00244140625)"
164912617669,"(0.9161376953125, -0.2139892578125, 0.359375, 0.00115966796875)","(0.997802734375, 0.12725830078125, 0.06060791015625, -0.00274658203125)"
164912627063,"(0.916015625, -0.21441650390625, 0.3594970703125, 0.0003662109375)","(0.997802734375, 0.12725830078125, 0.06085205078125, -0.0028076171875)"
164912638609,"(0.908203125, -0.214599609375, 0.3592529296875, 0.0003662109375)","(None, None, None, None)"
164912642084,"(None, None, None, None)","(None, None, None, None)"
164912644012,"(0.908203125, -0.214599609375, 0.3592529296875, 0.0003662109375)","(0.989990234375, 0.12713623046875, 0.06085205078125, -0.00286865234375)"
164912650496,"(0.9083251953125, -0.21453857421875, 0.35906982421875, 0.00091552734375)","(None, None, None, None)"
164912653908,"(0.9083251953125, -0.21453857421875, 0.35906982421875, 0.00091552734375)","(0.989990234375, 0.12744140625, 0.06072998046875, -0.00311279296875)"
164912659051,"(0.9083251953125, -0.21441650390625, 0.35906982421875, 0.0010986328125)","(None, None, None, None)"
164912661962,"(0.9083251953125, -0.21441650390625, 0.35906982421875, 0.0010986328125)","(None, None, None, None)"
164912665461,"(None, None, None, None)","(None, None, None, None)"
164912667105,"(0.9083251953125, -0.21417236328125, 0.3592529296875, 0.00128173828125)","(None, None, None, None)"
164912669668,"(0.9083251953125, -0.21417236328125, 0.3592529296875, 0.00128173828125)","(None, None, None, None)"
164912671948,"(0.9083251953125, -0.21417236328125, 0.3592529296875, 0.00128173828125)","(None, None, None, None)"
164912674572,"(0.9083251953125, -0.21417236328125, 0.3592529296875, 0.00128173828125)","(0.98980712890625, 0.12823486328125, 0.06182861328125, -0.002685546875)"
164912679715,"(0.90838623046875, -0.214599609375, 0.35888671875, 0.00128173828125)","(None, None, None, None)"
164912682205,"(0.90838623046875, -0.214599609375, 0.35888671875, 0.00128173828125)","(None, None, None, None)"
164912686955,"(0.90838623046875, -0.21502685546875, 0.358642578125, 0.00091552734375)","(0.98974609375, 0.12835693359375, 0.06231689453125, -0.00262451171875)"
164912691030,"(0.90838623046875, -0.21502685546875, 0.358642578125, 0.00091552734375)","(None, None, None, None)"
164912693229,"(0.90838623046875, -0.21502685546875, 0.358642578125, 0.00091552734375)","(0.98974609375, 0.12860107421875, 0.0625, -0.00274658203125)"
164912699289,"(0.9083251953125, -0.21527099609375, 0.358642578125, 0.0003662109375)","(None, None, None, None)"
164912701469,"(0.9083251953125, -0.21527099609375, 0.358642578125, 0.0003662109375)","(None, None, None, None)"
164912704169,"(0.9083251953125, -0.21527099609375, 0.358642578125, 0.0003662109375)","(0.98974609375, 0.12860107421875, 0.0625, -0.00274658203125)"
164912709068,"(0.908203125, -0.215576171875, 0.35870361328125, 0.0)","(None, None, None, None)"
164912711309,"(0.908203125, -0.215576171875, 0.35870361328125, 0.0)","(0.98968505859375, 0.12872314453125, 0.0625, -0.0028076171875)"
164912716781,"(0.90814208984375, -0.21588134765625, 0.358642578125, -0.0003662109375)","(0.98968505859375, 0.12872314453125, 0.0628662109375, -0.00323486328125)"
164912720866,"(0.90814208984375, -0.21588134765625, 0.358642578125, -0.0003662109375)","(None, None, None, None)"
164912723077,"(0.90814208984375, -0.21588134765625, 0.358642578125, -0.0003662109375)","(0.98968505859375, 0.12872314453125, 0.0628662109375, -0.00323486328125)"
164912728706,"(0.908203125, -0.21600341796875, 0.35845947265625, -0.00018310546875)","(None, None, None, None)"
164912730928,"(0.908203125, -0.21600341796875, 0.35845947265625, -0.00018310546875)","(None, None, None, None)"
164912733244,"(0.908203125, -0.21600341796875, 0.35845947265625, -0.00018310546875)","(-1.5103759765625, -6.103515625e-05, -6.103515625e-05, -6.103515625e-05)"
164912739817,"(0.908203125, -0.21630859375, 0.35833740234375, 0.0)","(None, None, None, None)"
164912742070,"(0.908203125, -0.21630859375, 0.35833740234375, 0.0)","(0.98956298828125, 0.1292724609375, 0.06365966796875, -0.003662109375)"
164912748390,"(0.9083251953125, -0.21649169921875, 0.35791015625, 0.00042724609375)","(0.989501953125, 0.1295166015625, 0.0640869140625, -0.00372314453125)"
164912751788,"(0.9083251953125, -0.21649169921875, 0.35791015625, 0.00042724609375)","(0.989501953125, 0.1295166015625, 0.0640869140625, -0.00372314453125)"
164912757331,"(0.9083251953125, -0.21649169921875, 0.35797119140625, 0.0003662109375)","(None, None, None, None)"
164912760217,"(None, None, None, None)","(None, None, None, None)"
164912761394,"(0.9083251953125, -0.21649169921875, 0.35797119140625, 0.0003662109375)","(0.989501953125, 0.12957763671875, 0.064208984375, -0.00360107421875)"
164912766579,"(0.908203125, -0.216552734375, 0.35809326171875, 0.00042724609375)","(None, None, None, None)"
