scorer,DLC_Resnet50_SOR1_10_26Oct27shuffle1_snapshot_010,DLC_Resnet50_SOR1_10_26Oct27shuffle1_snapshot_010,DLC_Resnet50_SOR1_10_26Oct27shuffle1_snapshot_010,DLC_Resnet50_SOR1_10_26Oct27shuffle1_snapshot_010,DLC_Resnet50_SOR1_10_26Oct27shuffle1_snapshot_010,DLC_Resnet50_SOR1_10_26Oct27shuffle1_snapshot_010,DLC_Resnet50_SOR1_10_26Oct27shuffle1_snapshot_010,DLC_Resnet50_SOR1_10_26Oct27shuffle1_snapshot_010,DLC_Resnet50_SOR1_10_26Oct27shuffle1_snapshot_010,DLC_Resnet50_SOR1_10_26Oct27shuffle1_snapshot_010,DLC_Resnet50_SOR1_10_26Oct27shuffle1_snapshot_010,DLC_Resnet50_SOR1_10_26Oct27shuffle1_snapshot_010,DLC_Resnet50_SOR1_10_26Oct27shuffle1_snapshot_010,DLC_Resnet50_SOR1_10_26Oct27shuffle1_snapshot_010,DLC_Resnet50_SOR1_10_26Oct27shuffle1_snapshot_010
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1645.3827,1068.9349,0.052974276,1650.4854,1069.3197,0.11036426,1644.6644,1069.3351,0.07378889,25.402887,248.57516,0.15165748,1643.751,1079.22,0.06331119
1,1645.4445,1068.8759,0.0593183,1650.6237,1069.2445,0.09552308,1644.8093,1069.2172,0.079667084,209.55598,770.7038,0.15197836,1643.7,1079.3873,0.061345667
2,1645.4327,1068.892,0.062395517,1650.5785,1069.2708,0.0967344,1644.796,1069.2272,0.0819094,25.308475,248.49113,0.14951047,1643.7179,1079.3405,0.06328649
3,1645.5758,1068.9531,0.06266425,1650.5846,1069.3041,0.09954581,1644.894,1069.3203,0.07908776,25.223343,248.45389,0.1518397,1643.7382,1079.3429,0.06204456
4,1645.6321,1069.0518,0.07395173,1650.5995,1069.3605,0.102865145,1644.9393,1069.3649,0.08280275,209.6887,770.6504,0.15189242,1643.8158,1079.1398,0.06688091
5,1645.4421,1068.8988,0.0627326,1650.539,1069.2515,0.095215976,1644.804,1069.2496,0.08160809,209.68088,770.54987,0.16820306,1643.6736,1079.3877,0.06161866
6,1645.4867,1068.9863,0.07036958,1650.4615,1069.2684,0.102639526,1644.7888,1069.2847,0.07886586,209.61934,770.4987,0.1686911,1643.6549,1079.3071,0.06263444
7,1645.4961,1069.1158,0.07811999,1650.368,1069.4524,0.10687287,1644.7562,1069.435,0.07682536,209.58775,770.57465,0.16046575,1643.6913,1079.3298,0.06553845
8,1645.586,1069.1859,0.0816988,1650.4736,1069.5302,0.11294484,1644.7925,1069.4714,0.07456794,209.4716,770.63745,0.17085864,1643.747,1079.2296,0.07011652
9,1645.3403,1069.0438,0.062868014,1650.4417,1069.4181,0.09632808,1644.6354,1069.3014,0.07217034,209.72357,770.5954,0.16311148,1643.6431,1079.4635,0.064186074
10,1645.4296,1068.985,0.0829378,1650.4021,1069.3088,0.10554452,1644.7172,1069.3232,0.08279867,209.59544,770.5637,0.15918061,1643.666,1079.3375,0.061891776
11,1645.5243,1069.2129,0.09734613,1650.273,1069.5853,0.11875965,1644.7904,1069.5212,0.086608,209.61522,770.5296,0.1610176,1643.7479,1078.9696,0.07578402
12,1645.4318,1069.1992,0.078226075,1650.4175,1069.4806,0.11152339,1644.6643,1069.3855,0.07453632,209.58772,770.53937,0.16040756,1643.7196,1079.1152,0.06438195
13,1645.4694,1069.0814,0.0737028,1650.337,1069.4199,0.10395418,1644.6973,1069.3967,0.07883839,209.66362,770.58,0.16298804,1643.7201,1079.3314,0.06573077
14,1645.3871,1068.6051,0.037415933,1690.618,1101.2532,0.0843638,1644.6813,1069.0238,0.07199811,209.7008,770.5296,0.16452685,1656.4183,1068.2673,0.061063793
15,1645.4542,1068.7616,0.048289485,1690.5101,1101.3047,0.10427436,1644.7465,1069.2057,0.071771905,209.69205,770.5596,0.16912925,1656.3397,1068.402,0.05832777
