timestamp,euler1,euler2
165655408022,"(0.9432373046875, -0.23931884765625, 0.23016357421875, 0.004638671875)","(0.0, 0.0, 0.0, 0.0)"
165655418690,"(0.943359375, -0.23883056640625, 0.230224609375, 0.00482177734375)","(0.0, 0.0, 0.0, 0.0)"
165655430020,"(0.943359375, -0.23858642578125, 0.23052978515625, 0.0052490234375)","(0.0, 0.0, 0.0, 0.0)"
165655442132,"(0.94329833984375, -0.23846435546875, 0.23077392578125, 0.005615234375)","(0.0, 0.0, 0.0, 0.0)"
165655454021,"(0.94342041015625, -0.23828125, 0.23046875, 0.00604248046875)","(0.0, 0.0, 0.0, 0.0)"
165655466309,"(0.94342041015625, -0.2381591796875, 0.2305908203125, 0.0062255859375)","(1.0, 0.0013427734375, 0.000732421875, 0.0)"
165655477974,"(0.94342041015625, -0.23834228515625, 0.2305908203125, 0.0062255859375)","(1.0078125, 0.00238037109375, 0.0013427734375, -0.0003662109375)"
165655488004,"(0.95111083984375, -0.23895263671875, 0.2303466796875, 0.0062255859375)","(1.0, 0.00238037109375, 0.0013427734375, -0.0003662109375)"
165655496019,"(0.95098876953125, -0.23919677734375, 0.23052978515625, 0.006103515625)","(1.0078125, 0.00213623046875, 0.00115966796875, -6.103515625e-05)"
165655502508,"(0.95098876953125, -0.23919677734375, 0.23052978515625, 0.006103515625)","(1.0078125, 0.0023193359375, 0.00140380859375, -0.00042724609375)"
165655510248,"(0.95098876953125, -0.2388916015625, 0.2308349609375, 0.00640869140625)","(1.0, 0.0023193359375, 0.00140380859375, -0.00042724609375)"
165655517233,"(0.9510498046875, -0.2386474609375, 0.23089599609375, 0.0064697265625)","(1.0, 0.00262451171875, 0.00152587890625, -0.00091552734375)"
165655525156,"(0.95098876953125, -0.23883056640625, 0.2308349609375, 0.00634765625)","(0.99346923828125, -0.11383056640625, 0.01025390625, -0.00146484375)"
165655532173,"(0.94317626953125, -0.23883056640625, 0.2308349609375, 0.00634765625)","(0.99346923828125, -0.11346435546875, 0.01043701171875, -0.001708984375)"
165655540309,"(0.950927734375, -0.23931884765625, 0.230712890625, 0.00592041015625)","(0.99346923828125, -0.11346435546875, 0.01043701171875, -0.001708984375)"
165655549815,"(0.94293212890625, -0.239501953125, 0.23126220703125, 0.00543212890625)","(0.9935302734375, -0.11285400390625, 0.01031494140625, -0.00177001953125)"
165655558510,"(0.95074462890625, -0.23931884765625, 0.2314453125, 0.005126953125)","(0.99359130859375, -0.11236572265625, 0.01007080078125, -0.0020751953125)"
165655567495,"(0.95068359375, -0.23944091796875, 0.23150634765625, 0.0050048828125)","(0.99365234375, -0.11212158203125, 0.010009765625, -0.00238037109375)"
165655575297,"(0.95074462890625, -0.23931884765625, 0.2314453125, 0.00494384765625)","(0.99359130859375, -0.1124267578125, 0.01019287109375, -0.00262451171875)"
165655582745,"(0.95074462890625, -0.23931884765625, 0.2314453125, 0.00494384765625)","(0.99359130859375, -0.11260986328125, 0.0101318359375, -0.002685546875)"
165655590190,"(0.95074462890625, -0.2393798828125, 0.2314453125, 0.0047607421875)","(0.99359130859375, -0.11260986328125, 0.0101318359375, -0.002685546875)"
165655599129,"(0.95068359375, -0.23931884765625, 0.23175048828125, 0.00445556640625)","(0.99359130859375, -0.11273193359375, 0.009765625, -0.002685546875)"
165655608189,"(0.94293212890625, -0.23907470703125, 0.2318115234375, 0.00445556640625)","(0.99359130859375, -0.1124267578125, 0.00958251953125, -0.00286865234375)"
165655616766,"(0.9508056640625, -0.23895263671875, 0.23175048828125, 0.00439453125)","(0.99359130859375, -0.11248779296875, 0.0096435546875, -0.002685546875)"
