scorer,DLC_Resnet50_SOR1_10_26Oct27shuffle1_snapshot_010,DLC_Resnet50_SOR1_10_26Oct27shuffle1_snapshot_010,DLC_Resnet50_SOR1_10_26Oct27shuffle1_snapshot_010,DLC_Resnet50_SOR1_10_26Oct27shuffle1_snapshot_010,DLC_Resnet50_SOR1_10_26Oct27shuffle1_snapshot_010,DLC_Resnet50_SOR1_10_26Oct27shuffle1_snapshot_010,DLC_Resnet50_SOR1_10_26Oct27shuffle1_snapshot_010,DLC_Resnet50_SOR1_10_26Oct27shuffle1_snapshot_010,DLC_Resnet50_SOR1_10_26Oct27shuffle1_snapshot_010,DLC_Resnet50_SOR1_10_26Oct27shuffle1_snapshot_010,DLC_Resnet50_SOR1_10_26Oct27shuffle1_snapshot_010,DLC_Resnet50_SOR1_10_26Oct27shuffle1_snapshot_010,DLC_Resnet50_SOR1_10_26Oct27shuffle1_snapshot_010,DLC_Resnet50_SOR1_10_26Oct27shuffle1_snapshot_010,DLC_Resnet50_SOR1_10_26Oct27shuffle1_snapshot_010
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,769.1459,522.976,0.35495818,1029.3595,451.93985,0.8109052,990.75287,263.07492,0.4002009,990.1919,59.278458,0.35798156,800.61,390.7681,0.2391501
1,860.5199,678.1515,0.33708367,1029.2743,452.08606,0.8135254,990.3151,263.63113,0.404375,990.0644,59.200607,0.36458203,800.7632,391.06845,0.25076547
2,769.2493,522.67194,0.3731977,1029.2936,452.10727,0.803934,990.26917,263.57693,0.40514255,990.1209,59.182247,0.37843138,800.75867,391.09717,0.25271156
3,860.50696,678.15955,0.34356275,1029.3365,452.0788,0.8047191,990.38153,263.5821,0.39988482,990.2005,59.14738,0.365112,800.7675,391.09845,0.2486768
4,769.38153,522.84283,0.33824757,1029.3094,452.1046,0.7970123,990.391,263.61368,0.40272042,990.2076,59.240494,0.3599184,800.8294,391.20264,0.24524337
5,769.06555,523.2485,0.36651322,1029.3066,452.08237,0.81194556,990.4078,263.56784,0.4025548,993.9311,59.38195,0.3265925,800.79083,391.02078,0.24237749
6,768.8325,522.91455,0.4110529,1029.2742,452.05457,0.8135083,990.40704,263.57236,0.40482587,994.1022,59.498135,0.30366975,800.8757,391.06186,0.24812317
7,768.79535,523.1323,0.4167617,1029.0288,452.02432,0.8037177,990.4174,263.59528,0.4057213,994.026,59.569458,0.31440353,800.77466,391.1256,0.2399784
8,768.8248,523.621,0.3777617,1029.011,451.8996,0.800326,990.4301,263.60312,0.40640992,993.89056,59.508816,0.331266,800.9286,391.07928,0.23335068
9,769.0279,523.1708,0.35187384,1028.9913,451.9335,0.78974193,990.4738,263.6133,0.4040677,993.9474,59.552563,0.33143222,800.85767,391.09784,0.23331743
10,860.30865,678.3406,0.31821457,1029.0708,451.8293,0.7999637,990.474,263.60587,0.40782592,993.84314,59.61683,0.34513977,800.8889,391.15958,0.23288245
11,769.20734,522.64703,0.3457322,1028.9465,451.85748,0.7999267,990.4563,263.60236,0.4057818,993.74646,59.621902,0.34863538,800.91095,391.23245,0.2326667
12,769.2384,522.9413,0.31226864,1028.9078,451.8878,0.7819946,990.4885,263.64774,0.40950772,993.733,59.531685,0.34961134,800.87537,391.20895,0.23510703
13,987.1992,685.1431,0.32449132,1029.0305,451.76315,0.7906174,990.4171,263.60666,0.4015146,990.14233,59.629745,0.35669267,800.8519,391.3175,0.2361723
14,769.2403,522.8298,0.3103513,1029.0447,451.80832,0.78772676,990.3907,263.59814,0.40237665,990.1223,59.581287,0.3671326,800.90375,391.26797,0.23435625
15,769.27264,522.8391,0.30451012,1029.0227,451.84424,0.7856149,990.4497,263.66553,0.4052377,990.0696,59.33859,0.35393122,800.90497,391.33405,0.23966473
16,860.5785,678.75574,0.3429769,1028.9158,451.96384,0.7718948,990.4529,263.58713,0.4108807,990.1422,59.192963,0.36865407,800.9378,391.2803,0.24341089
17,768.8937,522.1301,0.43437603,1029.0548,451.98325,0.7874068,990.4011,263.654,0.40852106,990.1217,59.4793,0.35287023,800.9776,391.37402,0.23853056
