scorer,DLC_Resnet50_SOR1_10_26Oct27shuffle1_snapshot_010,DLC_Resnet50_SOR1_10_26Oct27shuffle1_snapshot_010,DLC_Resnet50_SOR1_10_26Oct27shuffle1_snapshot_010,DLC_Resnet50_SOR1_10_26Oct27shuffle1_snapshot_010,DLC_Resnet50_SOR1_10_26Oct27shuffle1_snapshot_010,DLC_Resnet50_SOR1_10_26Oct27shuffle1_snapshot_010,DLC_Resnet50_SOR1_10_26Oct27shuffle1_snapshot_010,DLC_Resnet50_SOR1_10_26Oct27shuffle1_snapshot_010,DLC_Resnet50_SOR1_10_26Oct27shuffle1_snapshot_010,DLC_Resnet50_SOR1_10_26Oct27shuffle1_snapshot_010,DLC_Resnet50_SOR1_10_26Oct27shuffle1_snapshot_010,DLC_Resnet50_SOR1_10_26Oct27shuffle1_snapshot_010,DLC_Resnet50_SOR1_10_26Oct27shuffle1_snapshot_010,DLC_Resnet50_SOR1_10_26Oct27shuffle1_snapshot_010,DLC_Resnet50_SOR1_10_26Oct27shuffle1_snapshot_010
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,936.5851,729.02844,0.6014064,941.5721,559.8781,0.86787957,930.20605,367.29697,0.74946547,971.4476,197.19078,0.8358457,936.0766,729.2732,0.20814674
1,936.5944,729.0042,0.6002859,941.6675,559.76575,0.8597879,930.2409,367.26678,0.7527008,971.45337,197.219,0.83290213,936.08325,729.24304,0.21277408
2,936.61957,729.1651,0.5950167,941.7359,559.7414,0.857208,930.12506,367.37097,0.753646,971.4807,197.20808,0.8334565,936.06604,729.31396,0.21055019
3,936.5328,728.98944,0.58757627,941.90356,559.6986,0.8500228,930.1119,367.3098,0.7519083,971.5049,197.14465,0.8314191,935.9192,729.1923,0.21450596
4,936.60846,729.10046,0.58989245,941.77216,559.61255,0.86595273,930.23584,367.51505,0.74582374,971.5457,197.18669,0.8290619,935.97943,729.2406,0.21761677
5,936.83234,729.1262,0.5672751,941.77606,559.83405,0.8492612,930.2502,367.44543,0.74492705,971.5418,197.17462,0.82897377,936.1008,729.2029,0.23692021
6,936.8021,729.13983,0.56472385,941.933,559.76404,0.8435361,930.30316,367.5259,0.7441447,971.55804,197.10185,0.82722414,936.0914,729.25165,0.24564387
7,936.81903,729.109,0.565139,941.8801,559.8351,0.85535955,930.29626,367.5201,0.74172395,971.4916,197.13832,0.8301864,936.15234,729.2041,0.24409044
8,936.8183,729.3018,0.56530416,941.7981,559.88043,0.85844505,930.21185,367.4788,0.7374307,971.59467,197.12128,0.831924,936.2762,729.4605,0.23685494
9,936.8692,729.25867,0.5715348,942.05115,559.91974,0.8535035,930.05255,367.28415,0.732558,971.6137,197.12686,0.8330362,936.31,729.3077,0.2222216
10,936.8654,729.2462,0.57763624,941.8308,559.81964,0.8543711,930.0379,367.24588,0.73831016,971.46436,196.99742,0.8265142,936.2585,729.3489,0.21596831
11,936.94794,729.22656,0.5694944,941.9153,559.8902,0.84925145,930.0889,367.28223,0.7367091,971.46545,197.07944,0.8298641,936.2281,729.28345,0.2278349
12,936.79596,729.22235,0.5853143,941.98206,559.9451,0.8355912,930.1421,367.31708,0.73329127,971.43445,197.05154,0.82993346,936.0532,729.29724,0.21091954
13,936.91046,729.3001,0.58485657,941.9239,559.97095,0.85699695,930.0359,367.3182,0.73165685,971.41986,197.03436,0.824761,936.1703,729.29565,0.2120256
14,936.8667,729.25323,0.58052367,941.91406,559.9362,0.8570912,930.08875,367.33795,0.7311224,971.50336,197.19432,0.8317632,936.11224,729.2719,0.21223706
15,936.88513,729.2939,0.5808304,941.7828,560.08527,0.8587841,930.12164,367.32715,0.733722,971.54645,197.3646,0.83345777,936.1321,729.28674,0.21297911
16,936.88965,729.2134,0.586298,941.8117,559.86786,0.85248184,930.1015,367.33218,0.7319734,971.5694,197.21721,0.82914114,936.15753,729.27423,0.21224351
17,936.9131,728.6874,0.57960045,941.8539,560.2365,0.8511121,930.1757,367.275,0.7272749,971.5175,197.14085,0.8450162,936.1805,728.792,0.21953648
