timestamp,euler1,euler2
152034404862,"(0.99359130859375, 0.05291748046875, 0.0999755859375, -0.0020751953125)","(0.0078125, 0.0, 0.0, 0.0)"
152034415905,"(0.99359130859375, 0.05316162109375, 0.10003662109375, -0.00238037109375)","(0.0078125, 0.0, 0.0, 0.0)"
152034426014,"(0.99359130859375, 0.0531005859375, 0.09991455078125, -0.0023193359375)","(0.0078125, 0.0, 0.0, 0.0)"
152034436177,"(0.99359130859375, 0.05279541015625, 0.10003662109375, -0.002685546875)","(0.0, 0.0, 0.0, 0.0)"
152034447775,"(0.9935302734375, 0.0526123046875, 0.10064697265625, -0.00286865234375)","(0.0078125, 0.0, 0.0, 0.0)"
152034458762,"(0.9935302734375, 0.052734375, 0.10064697265625, -0.00262451171875)","(1.0078125, 0.00079345703125, 0.00048828125, -0.000244140625)"
152034465903,"(0.9935302734375, 0.0526123046875, 0.100830078125, -0.00274658203125)","(1.0078125, 0.00103759765625, 0.00048828125, -0.00048828125)"
152034474954,"(0.99346923828125, 0.05291748046875, 0.10125732421875, -0.0025634765625)","(1.0, 0.00103759765625, 0.00048828125, -0.00048828125)"
152034484651,"(0.993408203125, 0.0533447265625, 0.1014404296875, -0.00225830078125)","(1.0078125, 0.00067138671875, 0.0006103515625, -0.00030517578125)"
152034494394,"(0.99334716796875, 0.0535888671875, 0.10174560546875, -0.0025634765625)","(1.0, 0.00042724609375, 0.00018310546875, -0.0001220703125)"
152034504345,"(0.99334716796875, 0.05352783203125, 0.10205078125, -0.00286865234375)","(1.0, 0.00067138671875, 0.00018310546875, -0.000244140625)"
152034513883,"(0.99334716796875, 0.05303955078125, 0.1021728515625, -0.00335693359375)","(1.0, 0.000732421875, 0.0, -0.00030517578125)"
152034519987,"(0.99334716796875, 0.05303955078125, 0.1021728515625, -0.00335693359375)","(0.99334716796875, -0.1094970703125, -0.03515625, -0.00030517578125)"
152034526097,"(0.99334716796875, 0.052734375, 0.1021728515625, -0.00390625)","(0.99334716796875, -0.1094970703125, -0.03515625, -0.00030517578125)"
152034533250,"(0.993408203125, 0.052490234375, 0.10205078125, -0.004150390625)","(0.99334716796875, -0.10986328125, -0.0352783203125, -6.103515625e-05)"
152034539873,"(0.993408203125, 0.052490234375, 0.10205078125, -0.004150390625)","(0.9932861328125, -0.11004638671875, -0.0350341796875, -0.00018310546875)"
152034547141,"(0.99334716796875, 0.05224609375, 0.1024169921875, -0.00457763671875)","(0.9932861328125, -0.11004638671875, -0.0350341796875, -0.00018310546875)"
152034554976,"(0.99334716796875, 0.05218505859375, 0.10260009765625, -0.004638671875)","(0.9932861328125, -0.11016845703125, -0.0347900390625, -0.00048828125)"
152034562210,"(0.99334716796875, 0.05279541015625, 0.102294921875, -0.00445556640625)","(0.99334716796875, -0.10992431640625, -0.03460693359375, -0.0008544921875)"
152034569560,"(0.99334716796875, 0.05279541015625, 0.102294921875, -0.00445556640625)","(0.99334716796875, -0.10992431640625, -0.03460693359375, -0.0008544921875)"
152034575804,"(0.993408203125, 0.0526123046875, 0.10198974609375, -0.00433349609375)","(0.993408203125, -0.1094970703125, -0.034423828125, -0.0010986328125)"
152034583954,"(0.993408203125, 0.05242919921875, 0.101806640625, -0.00433349609375)","(0.993408203125, -0.10943603515625, -0.03485107421875, -0.0008544921875)"
152034590879,"(0.993408203125, 0.05242919921875, 0.101806640625, -0.00433349609375)","(0.99334716796875, -0.1094970703125, -0.03485107421875, -0.0008544921875)"
152034598860,"(0.993408203125, 0.05230712890625, 0.10205078125, -0.0040283203125)","(0.99334716796875, -0.1094970703125, -0.034912109375, -0.0009765625)"
152034607043,"(0.993408203125, 0.05206298828125, 0.10186767578125, -0.00433349609375)","(0.99334716796875, -0.1094970703125, -0.034912109375, -0.0009765625)"
152034615400,"(0.993408203125, 0.05255126953125, 0.10186767578125, -0.00445556640625)","(0.993408203125, -0.10931396484375, -0.03466796875, -0.0009765625)"
152034622813,"(0.99334716796875, 0.0528564453125, 0.1019287109375, -0.00408935546875)","(0.99346923828125, -0.10906982421875, -0.03424072265625, -0.0013427734375)"
152034629696,"(0.99334716796875, 0.0528564453125, 0.1019287109375, -0.00408935546875)","(0.993408203125, -0.1092529296875, -0.03411865234375, -0.00115966796875)"
152034638235,"(0.9932861328125, 0.05328369140625, 0.1024169921875, -0.003662109375)","(0.993408203125, -0.10943603515625, -0.03411865234375, -0.00128173828125)"
152034647659,"(0.9932861328125, 0.05322265625, 0.1025390625, -0.0042724609375)","(0.993408203125, -0.10943603515625, -0.03411865234375, -0.00128173828125)"
152034657023,"(0.9932861328125, 0.05322265625, 0.1024169921875, -0.00421142578125)","(0.993408203125, -0.10931396484375, -0.033935546875, -0.00140380859375)"
152034666511,"(0.99322509765625, 0.0538330078125, 0.102783203125, -0.00408935546875)","(0.993408203125, -0.109375, -0.03424072265625, -0.00128173828125)"
152034675529,"(0.99322509765625, 0.0537109375, 0.10296630859375, -0.004150390625)","(None, None, None, None)"
152034678351,"(0.99322509765625, 0.0537109375, 0.10296630859375, -0.004150390625)","(None, None, None, None)"
152034683385,"(0.99322509765625, 0.0537109375, 0.10308837890625, -0.00396728515625)","(0.993408203125, -0.109375, -0.033935546875, -0.001220703125)"
152034689265,"(0.99322509765625, 0.0537109375, 0.10308837890625, -0.00396728515625)","(0.993408203125, -0.109375, -0.0338134765625, -0.00164794921875)"
152034698102,"(0.9931640625, 0.0535888671875, 0.10357666015625, -0.0042724609375)","(0.993408203125, -0.109375, -0.0338134765625, -0.00164794921875)"
152034707888,"(0.99322509765625, 0.0528564453125, 0.10333251953125, -0.00457763671875)","(0.99346923828125, -0.109130859375, -0.03369140625, -0.00164794921875)"
