timestamp,euler1,euler2
161547359216,"(0.6649169921875, 0.009033203125, 0.746826171875, 0.000244140625)","(0.0, 0.0, 0.0, 0.0)"
161547369616,"(0.664794921875, 0.0087890625, 0.7469482421875, 0.0001220703125)","(0.0, 0.0, 0.0, 0.0)"
161547380746,"(0.66485595703125, 0.00848388671875, 0.74688720703125, 0.0)","(0.0, 0.0, 0.0, 0.0)"
161547393747,"(0.66473388671875, 0.008544921875, 0.74700927734375, -6.103515625e-05)","(0.0, 0.0, 0.0, 0.0)"
161547405850,"(0.66473388671875, 0.007568359375, 0.7470703125, 0.0001220703125)","(0.0, 0.0, 0.0, 0.0)"
161547417180,"(0.66455078125, 0.00811767578125, 0.7471923828125, 0.00030517578125)","(1.0, -0.00067138671875, -0.00103759765625, 0.00030517578125)"
161547427701,"(0.66448974609375, 0.0089111328125, 0.74725341796875, 0.00042724609375)","(1.0, -0.0006103515625, -0.00054931640625, 6.103515625e-05)"
161547438818,"(0.664306640625, 0.0089111328125, 0.74737548828125, 0.00067138671875)","(1.0, -0.00042724609375, -6.103515625e-05, -0.00018310546875)"
161547450274,"(0.6644287109375, 0.009033203125, 0.74725341796875, 0.0008544921875)","(1.0, -0.00048828125, 0.0, -0.000244140625)"
161547460921,"(0.66400146484375, 0.009765625, 0.74761962890625, 0.00115966796875)","(0.81390380859375, 0.083984375, 0.57489013671875, -6.103515625e-05)"
161547471147,"(0.66375732421875, 0.01031494140625, 0.74786376953125, 0.00140380859375)","(0.81390380859375, 0.083984375, 0.57489013671875, -6.103515625e-05)"
161547478523,"(0.66363525390625, 0.01043701171875, 0.74798583984375, 0.00140380859375)","(0.81378173828125, 0.08404541015625, 0.57501220703125, -0.0001220703125)"
161547485924,"(0.66351318359375, 0.01031494140625, 0.748046875, 0.0009765625)","(0.813720703125, 0.08404541015625, 0.57513427734375, -0.0001220703125)"
161547492643,"(0.66351318359375, 0.01031494140625, 0.748046875, 0.0009765625)","(0.8135986328125, 0.0843505859375, 0.57525634765625, -0.00018310546875)"
161547500181,"(0.66302490234375, 0.011474609375, 0.74853515625, 0.00091552734375)","(0.8135986328125, 0.0843505859375, 0.57525634765625, -0.00018310546875)"
161547508081,"(0.66290283203125, 0.0118408203125, 0.74859619140625, 0.00103759765625)","(0.81365966796875, 0.0843505859375, 0.5751953125, -0.000244140625)"
161547514998,"(0.66290283203125, 0.0118408203125, 0.74859619140625, 0.00103759765625)","(0.8135986328125, 0.08453369140625, 0.57525634765625, -0.00042724609375)"
161547520584,"(0.662841796875, 0.01220703125, 0.7486572265625, 0.00140380859375)","(0.8135986328125, 0.08453369140625, 0.57525634765625, -0.00042724609375)"
