timestamp,euler1,euler2
161746061367,"(0.6617431640625, 0.01763916015625, 0.74951171875, 0.000732421875)","(0.0, 0.0, 0.0, 0.0)"
161746077205,"(0.66180419921875, 0.01776123046875, 0.74951171875, 0.00054931640625)","(0.0, 0.0, 0.0, 0.0)"
161746090598,"(0.6622314453125, 0.017578125, 0.74908447265625, 0.000732421875)","(0.0, 0.0, 0.0, 0.0)"
161746101345,"(0.6700439453125, 0.01739501953125, 0.74908447265625, 0.00079345703125)","(0.0078125, 0.0, 0.0, 0.0)"
161746110187,"(0.670166015625, 0.01739501953125, 0.74896240234375, 0.00091552734375)","(0.0078125, 0.0, 0.0, 0.0)"
161746118582,"(0.670166015625, 0.01763916015625, 0.74896240234375, 0.0006103515625)","(1.0078125, 0.0010986328125, 0.0003662109375, -0.00067138671875)"
161746127122,"(0.670166015625, 0.01763916015625, 0.74896240234375, 0.0006103515625)","(1.0078125, 0.0013427734375, 0.0003662109375, -0.00067138671875)"
161746134665,"(0.661865234375, 0.01788330078125, 0.7493896484375, 0.00042724609375)","(1.0078125, 0.00128173828125, 6.103515625e-05, -0.00042724609375)"
161746142502,"(0.669921875, 0.0177001953125, 0.74920654296875, 0.00054931640625)","(1.0078125, 0.00128173828125, 6.103515625e-05, -0.00042724609375)"
161746151236,"(0.66973876953125, 0.018310546875, 0.7493896484375, 0.00054931640625)","(1.0078125, 0.00103759765625, 0.0, -0.00030517578125)"
161746160247,"(0.66961669921875, 0.01812744140625, 0.74945068359375, -0.0001220703125)","(1.0078125, 0.00103759765625, 0.0001220703125, -0.0003662109375)"
161746167539,"(0.66961669921875, 0.01812744140625, 0.74945068359375, -0.0001220703125)","(0.82415771484375, 0.07501220703125, 0.5726318359375, -0.00103759765625)"
161746174206,"(0.6697998046875, 0.01788330078125, 0.74932861328125, -0.00030517578125)","(0.82415771484375, 0.07501220703125, 0.5726318359375, -0.00103759765625)"
161746182052,"(0.6697998046875, 0.0177001953125, 0.74932861328125, -0.00030517578125)","(0.82415771484375, 0.07489013671875, 0.57269287109375, -0.00103759765625)"
161746190258,"(0.66961669921875, 0.01806640625, 0.74945068359375, -0.00042724609375)","(0.823974609375, 0.07452392578125, 0.57305908203125, -0.0008544921875)"
161746197264,"(0.66180419921875, 0.01806640625, 0.74945068359375, -0.00042724609375)","(0.81640625, 0.074462890625, 0.5726318359375, -0.0003662109375)"
161746203854,"(0.66168212890625, 0.017822265625, 0.74957275390625, -0.00054931640625)","(None, None, None, None)"
161746206516,"(0.66168212890625, 0.017822265625, 0.74957275390625, -0.00054931640625)","(0.816650390625, 0.07452392578125, 0.572265625, -0.0003662109375)"
161746212129,"(0.66168212890625, 0.01727294921875, 0.74957275390625, -0.00067138671875)","(0.816650390625, 0.07452392578125, 0.572265625, -0.0003662109375)"
161746216617,"(0.66168212890625, 0.01727294921875, 0.74957275390625, -0.00067138671875)","(0.816650390625, 0.07452392578125, 0.572265625, -0.0003662109375)"
161746221481,"(0.6612548828125, 0.01702880859375, 0.74993896484375, -0.00067138671875)","(0.8167724609375, 0.07464599609375, 0.5721435546875, -0.0003662109375)"
161746225433,"(0.6612548828125, 0.01702880859375, 0.74993896484375, -0.00067138671875)","(0.8167724609375, 0.07464599609375, 0.5721435546875, -0.0003662109375)"
161746230562,"(0.6612548828125, 0.01654052734375, 0.74993896484375, -0.00091552734375)","(None, None, None, None)"
161746233214,"(0.6612548828125, 0.01654052734375, 0.74993896484375, -0.00091552734375)","(None, None, None, None)"
161746235480,"(0.6612548828125, 0.01654052734375, 0.74993896484375, -0.00091552734375)","(None, None, None, None)"
161746238313,"(0.6612548828125, 0.01654052734375, 0.74993896484375, -0.00091552734375)","(None, None, None, None)"
161746242157,"(0.6612548828125, 0.0172119140625, 0.74993896484375, -0.00128173828125)","(None, None, None, None)"
161746244365,"(0.6612548828125, 0.0172119140625, 0.74993896484375, -0.00128173828125)","(None, None, None, None)"
