timestamp,euler1,euler2
112408024369,"(0.9979248046875, -0.00323486328125, 0.06414794921875, -0.0001220703125)","(0.0, 0.0, 0.0, 0.0)"
112408035896,"(0.9979248046875, -0.00372314453125, 0.0640869140625, -0.00030517578125)","(0.0078125, 0.0, 0.0, 0.0)"
112408046152,"(0.9979248046875, -0.00347900390625, 0.06396484375, -6.103515625e-05)","(0.0, 0.0, 0.0, 0.0)"
112408056286,"(0.9979248046875, -0.00311279296875, 0.06451416015625, -0.0001220703125)","(0.0, 0.0, 0.0, 0.0)"
112408067988,"(0.9979248046875, -0.003173828125, 0.0643310546875, 6.103515625e-05)","(0.0, 0.0, 0.0, 0.0)"
112408077895,"(0.9979248046875, -0.00335693359375, 0.064208984375, 0.00030517578125)","(1.0, 0.0009765625, 0.000732421875, -0.0008544921875)"
112408088386,"(0.9979248046875, -0.00286865234375, 0.06396484375, 0.00048828125)","(1.0, 0.0009765625, 0.000732421875, -0.0008544921875)"
112408094746,"(0.9979248046875, -0.00238037109375, 0.06427001953125, 0.000244140625)","(None, None, None, None)"
112408099899,"(0.9979248046875, -0.00238037109375, 0.06427001953125, 0.000244140625)","(1.0, 0.00103759765625, 0.00079345703125, -0.001708984375)"
112408110526,"(0.9979248046875, -0.0018310546875, 0.064697265625, 0.0003662109375)","(1.0, 0.000732421875, 0.00079345703125, -0.00152587890625)"
112408120793,"(0.99786376953125, -0.00177001953125, 0.065185546875, 6.103515625e-05)","(None, None, None, None)"
112408123464,"(0.99786376953125, -0.00177001953125, 0.065185546875, 6.103515625e-05)","(None, None, None, None)"
112408125804,"(0.99786376953125, -0.00140380859375, 0.06549072265625, 6.103515625e-05)","(None, None, None, None)"
112408128055,"(0.99786376953125, -0.00140380859375, 0.06549072265625, 6.103515625e-05)","(1.0, 0.000732421875, 0.0006103515625, -0.001220703125)"
112408133539,"(0.99786376953125, -0.00140380859375, 0.06549072265625, 6.103515625e-05)","(None, None, None, None)"
112408135789,"(0.99786376953125, -0.001220703125, 0.065673828125, 0.0001220703125)","(0.99957275390625, -0.01336669921875, -0.02593994140625, -0.00146484375)"
112408139672,"(0.99786376953125, -0.001220703125, 0.065673828125, 0.0001220703125)","(None, None, None, None)"
112408142275,"(0.99786376953125, -0.001220703125, 0.065673828125, 0.0001220703125)","(0.99957275390625, -0.013427734375, -0.02581787109375, -0.001220703125)"
112408147406,"(0.99786376953125, -0.0013427734375, 0.065673828125, -0.000244140625)","(None, None, None, None)"
112408149972,"(0.99786376953125, -0.0013427734375, 0.065673828125, -0.000244140625)","(None, None, None, None)"
112408153838,"(0.99786376953125, -0.0013427734375, 0.065673828125, -0.000244140625)","(None, None, None, None)"
112408157142,"(0.997802734375, -0.0008544921875, 0.06597900390625, -0.00054931640625)","(0.99957275390625, -0.0130615234375, -0.02593994140625, -0.0006103515625)"
112408161176,"(0.997802734375, -0.0008544921875, 0.06597900390625, -0.00054931640625)","(0.99957275390625, -0.012939453125, -0.02581787109375, -0.00030517578125)"
112408167240,"(0.997802734375, -0.000732421875, 0.06658935546875, -0.00042724609375)","(None, None, None, None)"
112408169846,"(0.997802734375, -0.000732421875, 0.06658935546875, -0.00042724609375)","(0.99957275390625, -0.012939453125, -0.02581787109375, -0.00030517578125)"
112408175002,"(0.99774169921875, -0.0003662109375, 0.06683349609375, -0.0006103515625)","(0.99957275390625, -0.0126953125, -0.02581787109375, 0.00018310546875)"
112408179091,"(0.99774169921875, -0.0003662109375, 0.06683349609375, -0.0006103515625)","(0.99957275390625, -0.0126953125, -0.02581787109375, 0.00018310546875)"
112408184443,"(0.99774169921875, -0.0003662109375, 0.06683349609375, -0.0006103515625)","(None, None, None, None)"
112408186901,"(0.997802734375, -0.0001220703125, 0.06658935546875, -0.0006103515625)","(None, None, None, None)"
112408189494,"(0.997802734375, -0.0001220703125, 0.06658935546875, -0.0006103515625)","(0.99957275390625, -0.0128173828125, -0.02593994140625, 0.00018310546875)"
112408194735,"(0.997802734375, 0.00018310546875, 0.06640625, -0.000244140625)","(None, None, None, None)"
112408197580,"(0.997802734375, 0.00018310546875, 0.06640625, -0.000244140625)","(0.99957275390625, -0.0126953125, -0.02557373046875, 0.00018310546875)"
112408201570,"(0.997802734375, 0.00018310546875, 0.06640625, -0.000244140625)","(0.99957275390625, -0.01300048828125, -0.025146484375, -0.0001220703125)"
