scorer,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,895.39075,701.4482,0.6698361,895.1966,527.2068,0.90270543,897.6482,342.0298,0.9263162,899.2397,215.33733,0.8330226,914.1992,43.752014,0.9096503
1,895.25806,701.05206,0.64912105,895.1088,527.19904,0.96178526,897.426,342.1329,0.94735307,899.2102,215.63284,0.8784761,913.9974,43.693768,0.9195587
2,895.3012,701.0692,0.67432964,895.08734,527.2285,0.95128125,897.5077,341.9246,0.9071715,899.44464,215.59714,0.888218,914.0693,43.77694,0.91668093
3,895.4486,701.1107,0.7078632,895.0713,527.26166,0.9441135,897.45294,341.9736,0.91099817,899.4833,215.58372,0.88017195,914.07825,43.788525,0.9164351
4,895.5381,701.0711,0.70253503,895.0447,527.2982,0.95481044,897.5224,341.94897,0.90264577,899.49646,215.5863,0.8858705,914.1531,43.804047,0.91655946
5,895.48456,701.0178,0.7138286,895.22644,527.2921,0.9442228,897.7035,342.18387,0.9312162,899.554,215.50774,0.9126964,914.27155,43.818375,0.91039205
6,895.3831,700.9639,0.6889945,895.1798,527.3309,0.95856524,897.4863,342.04276,0.9161996,899.49,215.49072,0.9004303,914.2354,43.782635,0.91399276
7,895.44464,700.994,0.70196897,895.13007,527.3741,0.9547529,897.4241,341.9977,0.918056,899.4882,215.51599,0.91446877,914.26996,43.7521,0.93327653
8,895.589,701.05023,0.7054428,895.3473,527.32404,0.92769176,897.4327,342.00412,0.8988204,899.505,215.62372,0.9196503,914.27844,43.769596,0.92843366
9,895.5465,701.12756,0.6893149,895.0743,527.30743,0.9529497,897.35364,341.85962,0.84062046,899.168,215.57394,0.9004416,914.22003,43.766006,0.91926706
10,895.56335,701.06934,0.70098484,895.123,527.2629,0.957728,897.56854,341.9273,0.8968103,899.4047,215.50508,0.90344965,914.2708,43.72481,0.9253537
11,895.57654,701.1277,0.680787,895.1596,527.2384,0.95687085,897.5999,341.9753,0.88060004,899.37476,215.49512,0.88066375,914.2637,43.724266,0.9201968
12,895.59326,701.0879,0.68653965,895.07513,527.23773,0.94983345,897.6197,341.87906,0.8587997,899.24426,215.4539,0.8976748,914.2751,43.70211,0.9379354
13,895.57764,701.0467,0.69191074,895.0909,527.23364,0.96105313,897.49396,341.8903,0.8582428,898.86743,215.58382,0.9118913,914.1558,43.710297,0.92309374
14,895.5604,701.073,0.682888,895.0361,527.24023,0.96722245,897.4796,341.9224,0.8746364,899.14996,215.47134,0.90326625,914.12494,43.67551,0.94072807
15,895.50134,701.0223,0.689894,895.0333,527.2056,0.957768,897.5571,341.97122,0.8770705,898.7516,215.52673,0.91101956,914.0245,43.64907,0.92894864
16,895.5828,701.0573,0.7010287,894.9372,527.2133,0.95501834,897.65076,341.9412,0.9020921,898.7404,215.52995,0.90997237,913.88617,43.667797,0.9358386
17,895.5767,701.06085,0.70467156,895.033,527.1776,0.9543167,897.45135,341.9393,0.9046749,898.736,215.48708,0.928088,913.89465,43.760635,0.8942519
