scorer,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,942.9667,678.1252,0.79599494,870.75085,527.52783,1.0,858.96564,338.5217,0.8063647,846.50494,193.04303,0.74908775,835.20264,11.731192,0.886124
1,942.9673,678.1203,0.79901785,870.72174,527.5751,1.0,859.0051,338.5508,0.7799326,846.5412,193.08052,0.74601364,835.28937,12.086205,0.9073915
2,942.9077,678.0559,0.7999113,870.64294,527.55676,1.0,858.8984,338.56314,0.7325491,846.5492,193.13193,0.74677247,835.3238,12.198287,0.9203717
3,942.61383,677.97955,0.8132841,870.5788,527.5193,1.0,858.9701,338.80624,0.7960404,846.457,193.14746,0.7422131,835.09094,11.845966,0.9212393
4,942.82056,678.02985,0.76901585,870.5826,527.5196,1.0,858.9923,338.72748,0.78539497,846.4788,193.15694,0.72534406,835.19666,11.705677,0.93895745
5,942.769,677.9966,0.7878616,870.5651,527.53357,1.0,858.9673,338.6911,0.80962193,846.4979,193.1185,0.74965566,835.2382,11.667499,0.9145852
6,942.78937,677.9879,0.7931659,870.5748,527.45013,1.0,858.9397,338.66278,0.7882868,846.52716,193.15195,0.7484092,835.1721,11.799442,0.92323047
7,942.77936,678.015,0.79845136,870.5541,527.5365,1.0,858.92035,338.71115,0.7736526,846.4466,193.12744,0.7453393,835.24316,11.759235,0.9316535
8,942.8128,677.9843,0.7966684,870.43616,527.67694,1.0,858.9316,338.9134,0.7901806,846.4303,193.1273,0.75252366,834.87103,12.053218,0.9399026
9,942.80084,677.93915,0.8001292,870.4957,527.56726,1.0,858.9393,338.93073,0.8059158,846.42554,193.12587,0.7612552,835.03156,11.795263,0.9426427
10,942.8367,677.9185,0.7936105,870.5267,527.46783,1.0,858.9668,338.7917,0.78194815,846.4317,193.0868,0.74818015,834.87994,11.783176,0.9339376
11,942.791,677.8827,0.80423915,870.596,527.5167,1.0,858.9796,338.80026,0.7530284,846.4464,193.15306,0.7758448,835.0579,11.765033,0.8836173
12,942.8211,677.91376,0.8056237,870.60205,527.51575,1.0,859.01263,338.7499,0.7221253,846.44086,193.15817,0.7777228,834.9824,11.79887,0.9371522
13,942.61914,677.9454,0.81020695,870.6284,527.5625,1.0,858.6572,338.39743,0.6771655,846.4132,193.0766,0.76035696,834.86774,11.839548,0.9454397
14,942.6501,677.9157,0.8135947,870.6346,527.5158,1.0,859.05365,338.53336,0.73855436,846.40076,193.06093,0.76815736,834.968,11.995027,0.9546133
15,942.60223,677.9205,0.8134105,870.638,527.4868,1.0,859.0172,338.53656,0.71348727,846.3622,193.11719,0.79166234,835.04736,12.065865,0.9509042
16,942.6167,677.9866,0.7989757,870.62897,527.4018,1.0,859.08124,338.5049,0.71659255,846.3406,193.11415,0.8145217,834.9803,11.98077,0.9181813
17,942.6728,677.9361,0.79844594,870.6187,527.46704,1.0,858.66473,338.50998,0.71033424,846.33734,193.09695,0.82608205,835.03503,11.9773655,0.91342086
