scorer,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,897.14453,740.9979,0.8158476,905.4201,569.316,0.98084795,912.49835,373.0608,0.801151,908.6373,227.77106,0.85501784,905.99615,44.12327,0.6456573
1,897.2036,741.42017,0.7752312,905.4202,569.34235,1.0,911.98987,373.576,0.82760036,908.55554,228.02107,0.8296576,906.0067,44.384747,0.6767803
2,897.13293,741.1952,0.8176815,905.4004,569.36365,1.0,912.25006,373.8321,0.8339605,908.54254,228.01286,0.8232102,906.0325,44.371895,0.6656908
3,897.1103,741.3165,0.8169984,905.31934,569.2026,0.99568224,912.13464,373.9504,0.86993885,908.4867,228.1141,0.82073313,906.0132,44.304565,0.6684952
4,897.159,741.4805,0.7920424,905.3003,569.4354,1.0,912.1738,373.95602,0.8514572,908.4589,228.10887,0.82521516,905.9382,44.395195,0.6726935
5,897.0435,741.3898,0.7879039,905.3246,569.28345,1.0,912.2491,374.0592,0.8355222,908.39746,228.07486,0.82086927,905.9706,44.479946,0.65857476
6,897.062,741.3605,0.80303484,905.3507,569.33936,0.9910653,912.2798,374.055,0.81226295,908.35547,228.04832,0.8472612,905.9101,44.425632,0.67525905
7,896.9262,741.3277,0.78950936,905.3425,569.2701,0.99457854,912.2006,374.1727,0.83111423,908.4002,228.01959,0.8442416,905.9299,44.425934,0.6737356
8,896.99756,741.30133,0.77637106,905.42633,569.2229,0.9913905,912.2558,373.87805,0.7938507,908.3168,227.82706,0.83555603,905.9088,44.37771,0.65162444
9,897.02216,741.25836,0.771404,905.25244,569.38586,1.0,912.3337,373.87323,0.8129287,908.26746,228.00224,0.8360617,905.7715,44.238445,0.6617151
10,897.01263,741.2659,0.7730446,905.1624,569.4541,0.99986917,912.22974,373.78415,0.8021485,908.25574,227.9916,0.8415752,905.47723,44.285534,0.6685226
11,897.0364,741.2685,0.77282536,905.0554,569.55255,1.0,912.1084,373.8211,0.8513235,908.285,228.22177,0.8451762,905.4969,44.42572,0.67568403
12,897.04236,741.2686,0.7823694,904.9894,569.6174,1.0,912.31354,373.73697,0.8233354,908.2673,227.92213,0.84441847,905.48785,44.340572,0.6928668
13,896.6203,741.16437,0.7694959,905.07715,569.41547,0.999232,912.1149,373.95374,0.8474046,908.32764,228.00981,0.83352757,905.61334,44.324078,0.6651808
14,896.53973,741.2011,0.7626854,905.1656,569.42944,0.9905866,912.1185,373.9111,0.8571792,908.29065,227.9501,0.82779413,905.5868,44.318886,0.670806
15,896.45337,741.1983,0.7507268,905.1476,569.43713,0.9937672,912.1361,373.8967,0.85113513,908.2434,227.9469,0.8284306,905.6826,44.326088,0.65641475
16,896.45074,741.1787,0.7541568,905.1444,569.3944,0.993291,912.2321,373.77194,0.86728144,908.2483,227.95203,0.83272994,905.6379,44.14389,0.66225874
17,896.4545,741.181,0.7538808,905.1884,569.39636,0.98888844,912.2414,373.75394,0.8733383,908.31506,228.02898,0.8288617,905.50543,44.735104,0.69249547
