scorer,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,100.289375,1187.1577,0.107382566,103.563446,1189.895,0.11168234,607.9226,1141.9338,0.06792662,607.8353,1142.2615,0.04147124,610.2326,1139.6389,0.032415066
1,101.236755,1187.4028,0.104241,104.304886,1189.9652,0.11868613,606.8943,1139.2606,0.08799545,96.43488,1185.1102,0.034799248,242.1334,1186.4315,0.031635046
2,100.277,1187.3108,0.10754933,103.679695,1189.9305,0.116415024,606.6881,1139.3015,0.06134941,96.233475,1185.346,0.030944718,242.26152,1186.5105,0.030401688
3,100.80422,1187.4424,0.10483865,103.7764,1189.7777,0.114050776,606.28125,1141.3702,0.061864592,96.60801,1185.3367,0.036924977,328.56622,255.14613,0.030354934
4,100.89471,1187.3171,0.10668425,103.66709,1189.7002,0.11220411,427.3451,1079.8966,0.06564844,96.787964,1185.3923,0.037115052,1881.6698,741.05646,0.030997707
5,100.937546,1187.2279,0.10960906,103.61957,1189.618,0.10429568,427.1359,1079.4082,0.06654021,96.861374,1185.386,0.041516047,328.58218,255.1945,0.034034327
6,100.90519,1187.2379,0.10898214,103.57988,1189.6205,0.10597148,1878.4469,747.6225,0.062805526,96.82081,1185.3624,0.040233735,241.87164,1186.3824,0.03432546
7,100.67602,1187.2458,0.10424216,103.48089,1189.6199,0.106345765,426.65158,1079.2264,0.058737222,96.68702,1185.385,0.038476653,241.87267,1186.3787,0.03413317
8,100.10304,1187.106,0.11108681,99.80158,1189.7096,0.11276049,427.28912,1079.3607,0.064681634,120.62573,1183.8223,0.03871824,242.04213,1186.4393,0.03263262
9,100.78333,1187.2305,0.09407051,111.42904,1190.2307,0.10051258,519.4674,1131.3859,0.055104543,96.374794,1185.0165,0.040769752,519.99963,1131.5208,0.03930666
10,100.77373,1187.2441,0.09350255,111.35031,1190.1523,0.10002351,1877.6174,747.70355,0.2453848,96.356575,1185.0138,0.04108394,518.3367,1128.1013,0.03785099
11,100.84773,1187.2396,0.09420303,104.030106,1189.4492,0.100322366,518.8318,1130.3173,0.03339341,96.38848,1185.0107,0.04168494,518.517,1128.0928,0.034640554
12,100.30711,1187.0314,0.08781718,111.55446,1190.4392,0.0873815,1877.7625,747.9169,0.1279546,96.03903,1184.872,0.03160314,518.9825,1128.8226,0.04378917
13,100.75138,1187.2009,0.097307704,103.82035,1189.632,0.09972681,1876.5192,747.78894,0.13936655,96.45705,1185.1442,0.035528637,519.9383,1130.7318,0.03951202
14,100.60421,1187.1403,0.09635421,103.67342,1189.5779,0.09812291,1876.8506,748.67975,0.22798017,96.47974,1185.188,0.03593487,519.27936,1128.8506,0.046314485
15,100.555916,1187.1343,0.0971288,103.63166,1189.6058,0.09834283,1877.0774,747.9752,0.2512213,96.43839,1185.1989,0.035887253,241.83266,1186.2299,0.034925967
16,100.50684,1187.0569,0.10122805,103.47919,1189.5499,0.09960593,1876.948,747.7294,0.18633755,96.65509,1185.368,0.034756847,520.2009,1130.7878,0.03765419
