timestamp,adc_ch0,adc_ch1,adc_ch2,adc_ch3
092039671269,0,0,0,1872490
092039671269,0,0,0,3438502
092039671269,0,0,0,3849119
092039671269,0,0,0,3978653
092039671269,0,0,0,4004594
092039696670,0,0,0,4033266
092039696670,0,0,0,4015005
092039696670,0,0,0,4005960
092039696670,0,0,0,4017906
092039696670,0,0,0,4019442
092039703208,0,0,0,4003741
092039703208,0,0,0,4001864
092039703208,0,0,0,4047260
092039703208,0,0,0,3984285
092039703208,0,0,0,4002717
092039710114,0,0,0,4019101
092039710114,0,0,0,4030023
092039710114,0,0,0,4026098
092039710114,0,0,0,4004082
092039710114,0,0,0,4025757
092039718975,0,0,0,4065863
092039718975,0,0,0,4009544
092039718975,0,0,0,4018589
092039718975,0,0,0,4014663
092039718975,0,0,0,4011079
092039724007,0,0,0,4027975
092039724007,0,0,0,4011250
092039724007,0,0,0,4006813
092039724007,0,0,0,3995037
092039724007,0,0,0,3984797
092039734100,0,0,0,4001181
092039734100,0,0,0,4008349
092039734100,0,0,0,4004765
092039734100,0,0,0,4030194
092039734100,0,0,0,4028146
092039737636,0,0,0,4002376
092039737636,0,0,0,4020466
092039737636,0,0,0,4003058
092039737636,0,0,0,4019442
092039737636,0,0,0,4044188
092039745308,0,0,0,4022514
092039745308,0,0,0,3993842
092039745308,0,0,0,4003400
092039745308,0,0,0,3992306
092039745308,0,0,0,4002717
092039751868,0,0,0,4006472
092039751868,0,0,0,4067057
092039751868,0,0,0,4048967
092039751868,0,0,0,4050503
092039751868,0,0,0,4023367
092039761246,0,0,0,3999816
092039761246,0,0,0,4013469
092039761246,0,0,0,4033607
092039761246,0,0,0,3994866
092039761246,0,0,0,4016199
092039769917,0,0,0,4035826
092039769917,0,0,0,3980019
092039769917,0,0,0,4022855
092039769917,0,0,0,4024221
092039769917,0,0,0,3995378
092039778123,0,0,0,4008349
092039778123,0,0,0,3997256
092039778123,0,0,0,4023367
092039778123,0,0,0,4004936
092039778123,0,0,0,4019613
092039786172,0,0,0,4028487
092039786172,0,0,0,4041458
092039786172,0,0,0,4059036
092039786172,0,0,0,4009373
092039786172,0,0,0,4029511
092039791613,0,0,0,4020637
092039791613,0,0,0,4031900
092039791613,0,0,0,4013981
092039791613,0,0,0,4003570
092039791613,0,0,0,3999645
092039798742,0,0,0,4014151
092039798742,0,0,0,3979507
092039798742,0,0,0,4013127
092039798742,0,0,0,3994354
092039798742,0,0,0,3992989
092039806121,0,0,0,4010056
092039806121,0,0,0,4047602
092039806121,0,0,0,4002376
092039806121,0,0,0,4041970
092039806121,0,0,0,4026610
092039813122,0,0,0,4015687
092039813122,0,0,0,3997768
092039813122,0,0,0,4015175
092039813122,0,0,0,4012445
092039813122,0,0,0,4011421
092039820271,0,0,0,3979507
092039820271,0,0,0,4008008
092039820271,0,0,0,4048455
092039820271,0,0,0,4019442
092039820271,0,0,0,4042311
092039827460,0,0,0,4035996
092039827460,0,0,0,4032754
092039827460,0,0,0,4038727
092039827460,0,0,0,4007154
092039827460,0,0,0,4022343
092039834049,0,0,0,4020637
092039834049,0,0,0,3995890
092039834049,0,0,0,4023879
092039834049,0,0,0,3991965
092039834049,0,0,0,3989747
092039841406,0,0,0,3970291
092039841406,0,0,0,4011591
092039841406,0,0,0,4007837
092039841406,0,0,0,3999133
092039841406,0,0,0,4077297
092039848404,0,0,0,4046748
092039848404,0,0,0,4016711
092039848404,0,0,0,4015346
092039848404,0,0,0,4009373
092039848404,0,0,0,4000669
092039855399,0,0,0,4015005
092039855399,0,0,0,4023879
092039855399,0,0,0,4044530
092039855399,0,0,0,4019271
092039855399,0,0,0,4020295
092039862816,0,0,0,4007666
092039862816,0,0,0,4030535
092039862816,0,0,0,4041628
092039862816,0,0,0,4008008
092039862816,0,0,0,3996061
092039869824,0,0,0,4022514
092039869824,0,0,0,4008349
092039869824,0,0,0,4006301
092039869824,0,0,0,4015005
092039869824,0,0,0,3997938
092039876999,0,0,0,3992989
092039876999,0,0,0,3993501
092039876999,0,0,0,4017394
092039876999,0,0,0,4018589
