scorer,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,865.3131,920.80536,0.69164747,860.701,753.5548,0.8162968,865.72504,552.9164,0.8065186,867.30475,403.25842,0.66815066,858.91406,218.89062,0.587743
1,865.4331,920.7271,0.6782329,860.7947,753.3808,0.8646993,865.7584,553.02014,0.81882936,867.2618,403.28314,0.6688352,858.9823,218.91695,0.6077527
2,865.62317,920.7563,0.6924273,860.79095,753.4195,0.86064756,865.93146,552.9317,0.8453316,867.1135,403.2631,0.6577011,858.9839,218.9453,0.62436724
3,865.673,920.7992,0.67858464,860.8083,753.4509,0.8638294,865.57275,552.9731,0.83942497,867.3346,403.2899,0.669649,858.9164,218.90854,0.6228779
4,865.66223,920.82104,0.66848797,860.7918,753.3056,0.8475693,865.9789,552.9121,0.8386485,867.415,403.35754,0.6734736,858.9934,218.91016,0.6396201
5,866.2632,921.3305,0.6700921,860.79,753.31836,0.84284824,865.7186,552.9176,0.84468746,867.5426,403.29065,0.6708982,859.27325,218.81807,0.62075084
6,865.66156,920.8095,0.66560256,860.7986,753.4077,0.83868396,865.76935,552.9019,0.83265066,867.5155,403.19907,0.6539487,859.2575,218.81148,0.6389418
7,866.299,921.3492,0.6660758,860.83636,753.5478,0.84945637,865.8574,552.8659,0.8272711,867.5723,403.22125,0.66313523,859.24457,218.81746,0.6409492
8,866.22894,921.3214,0.67320275,860.8727,753.6427,0.8350549,865.94214,552.896,0.80472964,867.61414,403.0148,0.65150213,859.24805,218.74382,0.6397268
9,866.18286,921.3447,0.67170113,860.77716,753.56366,0.8328978,865.8607,552.8668,0.81954294,867.6967,403.07248,0.66319364,859.1773,218.7978,0.62971044
10,866.1351,921.3878,0.6646333,860.8033,753.5419,0.8368688,865.85425,552.8101,0.8147817,867.7224,403.11453,0.654853,859.2415,218.80066,0.63510245
11,866.156,921.35675,0.66093457,860.78326,753.598,0.8280795,865.8537,552.8184,0.8228256,867.627,403.1635,0.6478122,859.2383,218.78708,0.643947
12,866.1927,921.3183,0.67028195,860.7566,753.5765,0.8334981,865.73193,552.80756,0.8235261,867.63007,403.19208,0.64986956,859.2086,218.82661,0.6324495
13,866.2263,921.3856,0.67256826,860.7569,753.4667,0.84513247,865.87244,552.9606,0.832217,867.5401,403.11243,0.6920239,859.213,218.76935,0.6499697
14,865.56256,920.7935,0.6749547,860.76764,753.5117,0.84968334,865.7927,552.9988,0.8219983,867.41504,403.11465,0.6686309,858.9651,218.78375,0.6358302
15,866.1601,921.3444,0.6759134,860.7999,753.47577,0.84517574,865.7789,552.9769,0.82469356,867.2799,403.09085,0.67997867,858.9567,218.80147,0.64224863
16,866.1898,921.36365,0.67457074,860.7315,753.42957,0.8487709,865.7379,553.00195,0.8281952,867.21295,403.09113,0.66831,858.9932,218.8428,0.63115674
17,865.64856,920.77594,0.67335635,860.7224,753.50104,0.8546599,865.8846,553.00525,0.79976165,867.28094,403.067,0.67491215,859.0271,218.81406,0.6531314
