timestamp,adc_ch0,adc_ch1,adc_ch2,adc_ch3
092451368447,0,0,0,1882048
092451368447,0,0,0,3443963
092451368447,0,0,0,3884618
092451368447,0,0,0,3975240
092451368447,0,0,0,4020295
092451394156,0,0,0,4006642
092451394156,0,0,0,4017053
092451394156,0,0,0,4014834
092451394156,0,0,0,4022685
092451394156,0,0,0,4001010
092451399504,0,0,0,3983944
092451399504,0,0,0,3988211
092451399504,0,0,0,3978312
092451399504,0,0,0,4017735
092451399504,0,0,0,4012957
092451406214,0,0,0,4026610
092451406214,0,0,0,4021831
092451406214,0,0,0,3988552
092451406214,0,0,0,3995890
092451406214,0,0,0,4006642
092451413545,0,0,0,4017394
092451413545,0,0,0,4017053
092451413545,0,0,0,4006984
092451413545,0,0,0,3962099
092451413545,0,0,0,3957832
092451421227,0,0,0,3995890
092451421227,0,0,0,3964830
092451421227,0,0,0,4010226
092451421227,0,0,0,3980701
092451421227,0,0,0,4016882
092451428445,0,0,0,4027122
092451428445,0,0,0,4031559
092451428445,0,0,0,4037532
092451428445,0,0,0,3996061
092451428445,0,0,0,4021319
092451435611,0,0,0,4007154
092451435611,0,0,0,4021831
092451435611,0,0,0,4021490
092451435611,0,0,0,3997597
092451435611,0,0,0,4027805
092451442643,0,0,0,4047090
092451442643,0,0,0,4028658
092451442643,0,0,0,4009544
092451442643,0,0,0,4032583
092451442643,0,0,0,4032754
092451450269,0,0,0,4039239
092451450269,0,0,0,3989405
092451450269,0,0,0,4017223
092451450269,0,0,0,4010056
092451450269,0,0,0,4037532
092451455849,0,0,0,4027463
092451455849,0,0,0,4011762
092451455849,0,0,0,4052380
092451455849,0,0,0,4051015
092451455849,0,0,0,4032242
092451462398,0,0,0,4031047
092451462398,0,0,0,4009373
092451462398,0,0,0,3977117
092451462398,0,0,0,4001864
092451462398,0,0,0,3994866
092451469792,0,0,0,4015346
092451469792,0,0,0,4015687
092451469792,0,0,0,4066375
092451469792,0,0,0,4044530
092451469792,0,0,0,4042311
092451477250,0,0,0,4022685
092451477250,0,0,0,4004253
092451477250,0,0,0,4008690
092451477250,0,0,0,4016882
092451477250,0,0,0,4058524
092451484080,0,0,0,4015346
092451484080,0,0,0,4011421
092451484080,0,0,0,3999474
092451484080,0,0,0,4009032
092451484080,0,0,0,4033266
092451490845,0,0,0,3983261
092451490845,0,0,0,3981043
092451490845,0,0,0,4020125
092451490845,0,0,0,4018247
092451490845,0,0,0,4021831
092451498085,0,0,0,4024733
092451498085,0,0,0,4021661
092451498085,0,0,0,4013469
092451498085,0,0,0,4020295
092451498085,0,0,0,4038044
092451505193,0,0,0,3999645
092451505193,0,0,0,3983261
092451505193,0,0,0,3980189
092451505193,0,0,0,3965171
092451505193,0,0,0,4014834
092451512365,0,0,0,4024733
092451512365,0,0,0,4015858
092451512365,0,0,0,4019613
092451512365,0,0,0,4030706
092451512365,0,0,0,4065351
092451519704,0,0,0,4009544
092451519704,0,0,0,3995549
092451519704,0,0,0,4010909
092451519704,0,0,0,4020295
092451519704,0,0,0,4012274
092451527085,0,0,0,3989576
092451527085,0,0,0,3994866
092451527085,0,0,0,4014834
092451527085,0,0,0,4001522
092451527085,0,0,0,4007496
092451533968,0,0,0,4005448
092451533968,0,0,0,4012445
092451533968,0,0,0,4040946
092451533968,0,0,0,4041970
092451533968,0,0,0,4023879
092451541283,0,0,0,3986675
092451541283,0,0,0,3979336
092451541283,0,0,0,4013810
092451541283,0,0,0,4009885
092451541283,0,0,0,4016711
092451548494,0,0,0,4047431
092451548494,0,0,0,4041458
092451548494,0,0,0,4021831
092451548494,0,0,0,4030023
092451548494,0,0,0,4017735
092451555842,0,0,0,4014493
092451555842,0,0,0,4051356
092451555842,0,0,0,4026439
092451555842,0,0,0,4015175
092451555842,0,0,0,4010056
092451562693,0,0,0,4017735
092451562693,0,0,0,4042140
092451562693,0,0,0,4032924
092451562693,0,0,0,3994525
092451562693,0,0,0,3998792
092451570282,0,0,0,4004936
092451570282,0,0,0,4012274
092451570282,0,0,0,4008861
092451570282,0,0,0,3979336
092451570282,0,0,0,3994184
092451577323,0,0,0,4005789
092451577323,0,0,0,4014493
092451577323,0,0,0,4027975
092451577323,0,0,0,3998280
092451577323,0,0,0,4036167
092451585683,0,0,0,4005277
092451585683,0,0,0,4012615
092451585683,0,0,0,4012615
092451585683,0,0,0,3989576
