timestamp,euler1,euler2
092451369871,"(0.87542724609375, 0.08636474609375, 0.47552490234375, -0.00494384765625)","(0.0, 0.0, 0.0, 0.0)"
092451384193,"(0.87548828125, 0.08660888671875, 0.47540283203125, -0.00494384765625)","(0.0, 0.0, 0.0, 0.0)"
092451396268,"(0.87554931640625, 0.08685302734375, 0.4752197265625, -0.00482177734375)","(0.0, 0.0, 0.0, 0.0)"
092451407945,"(0.87554931640625, 0.08734130859375, 0.4752197265625, -0.00469970703125)","(0.0, 0.0, 0.0, 0.0)"
092451419391,"(0.875244140625, 0.08758544921875, 0.47564697265625, -0.00494384765625)","(1.0, 0.0, 0.00030517578125, -0.00067138671875)"
092451429724,"(0.875244140625, 0.08721923828125, 0.47576904296875, -0.0050048828125)","(1.0, -0.000244140625, 6.103515625e-05, -0.000732421875)"
092451440466,"(0.875, 0.08721923828125, 0.47613525390625, -0.00518798828125)","(1.0, -0.000244140625, -0.000244140625, -0.00091552734375)"
092451451362,"(0.874755859375, 0.08734130859375, 0.4765625, -0.0054931640625)","(1.0, -0.00042724609375, -0.0003662109375, -0.00079345703125)"
092451459742,"(0.87469482421875, 0.0880126953125, 0.4765625, -0.005126953125)","(1.0, -0.00042724609375, -0.0003662109375, -0.00079345703125)"
092451468390,"(0.875, 0.0880126953125, 0.47601318359375, -0.0054931640625)","(1.0, -0.00042724609375, -0.00054931640625, -0.0006103515625)"
092451476028,"(0.87518310546875, 0.08795166015625, 0.47564697265625, -0.005615234375)","(1.0, -0.00054931640625, -0.000732421875, -0.0006103515625)"
092451481396,"(0.87518310546875, 0.08795166015625, 0.47564697265625, -0.005615234375)","(1.0, -0.00054931640625, -0.000732421875, -0.0006103515625)"
092451488392,"(0.875244140625, 0.087890625, 0.47564697265625, -0.00555419921875)","(0.804443359375, -0.1016845703125, 0.585205078125, -6.103515625e-05)"
092451494916,"(0.8753662109375, 0.088134765625, 0.47528076171875, -0.00531005859375)","(0.80462646484375, -0.10174560546875, 0.58502197265625, 0.00018310546875)"
092451501005,"(0.8753662109375, 0.088134765625, 0.47528076171875, -0.00531005859375)","(0.8045654296875, -0.10198974609375, 0.5850830078125, 0.0)"
092451509415,"(0.8753662109375, 0.08819580078125, 0.475341796875, -0.00543212890625)","(0.8045654296875, -0.10198974609375, 0.5850830078125, 0.0)"
092451517148,"(0.87530517578125, 0.08856201171875, 0.475341796875, -0.005126953125)","(0.80438232421875, -0.1019287109375, 0.5853271484375, -0.0001220703125)"
092451523584,"(0.87530517578125, 0.08856201171875, 0.475341796875, -0.005126953125)","(0.8043212890625, -0.10205078125, 0.58538818359375, -6.103515625e-05)"
092451530123,"(0.87548828125, 0.08837890625, 0.47503662109375, -0.00518798828125)","(0.8043212890625, -0.10205078125, 0.58538818359375, -6.103515625e-05)"
092451537170,"(0.87567138671875, 0.08819580078125, 0.47479248046875, -0.0052490234375)","(0.80438232421875, -0.102294921875, 0.585205078125, 0.0001220703125)"
092451543718,"(0.87567138671875, 0.08819580078125, 0.47479248046875, -0.0052490234375)","(0.80426025390625, -0.10260009765625, 0.58538818359375, -0.0001220703125)"
092451550574,"(0.8758544921875, 0.08831787109375, 0.47442626953125, -0.005126953125)","(0.80426025390625, -0.10260009765625, 0.58538818359375, -0.0001220703125)"
092451559447,"(0.8756103515625, 0.0889892578125, 0.4747314453125, -0.0048828125)","(0.80401611328125, -0.10272216796875, 0.585693359375, -0.0003662109375)"
092451568336,"(0.8834228515625, 0.0889892578125, 0.47467041015625, -0.005126953125)","(0.80401611328125, -0.10308837890625, 0.58563232421875, -0.0006103515625)"
092451576726,"(0.88348388671875, 0.08868408203125, 0.474609375, -0.0054931640625)","(0.81182861328125, -0.10333251953125, 0.5855712890625, -0.000732421875)"
092451583856,"(0.88348388671875, 0.08868408203125, 0.474609375, -0.0054931640625)","(0.81201171875, -0.10357666015625, 0.58526611328125, -0.00048828125)"
092451591689,"(0.8758544921875, 0.08795166015625, 0.47442626953125, -0.0057373046875)","(0.80419921875, -0.10357666015625, 0.58526611328125, -0.00048828125)"
092451599657,"(0.8756103515625, 0.087890625, 0.4749755859375, -0.005859375)","(0.81207275390625, -0.10369873046875, 0.585205078125, -0.00048828125)"
092451609421,"(0.87548828125, 0.08782958984375, 0.47515869140625, -0.00592041015625)","(0.80401611328125, -0.10382080078125, 0.58544921875, -0.00067138671875)"
092451619271,"(0.88348388671875, 0.0875244140625, 0.47491455078125, -0.0059814453125)","(0.8038330078125, -0.10400390625, 0.58563232421875, -0.00115966796875)"
092451628102,"(0.88360595703125, 0.08770751953125, 0.474609375, -0.0059814453125)","(0.8038330078125, -0.10382080078125, 0.585693359375, -0.00140380859375)"
092451636271,"(0.88372802734375, 0.08807373046875, 0.47430419921875, -0.00604248046875)","(0.8116455078125, -0.1036376953125, 0.585693359375, -0.00152587890625)"
092451642343,"(0.87591552734375, 0.08807373046875, 0.47430419921875, -0.00604248046875)","(0.8115234375, -0.10296630859375, 0.58599853515625, -0.001708984375)"
092451651316,"(0.87603759765625, 0.088134765625, 0.47412109375, -0.00628662109375)","(0.8115234375, -0.10296630859375, 0.58599853515625, -0.001708984375)"
092451660793,"(0.8760986328125, 0.088134765625, 0.47393798828125, -0.00592041015625)","(0.8114013671875, -0.1029052734375, 0.586181640625, -0.0020751953125)"
092451670380,"(0.8839111328125, 0.087890625, 0.47406005859375, -0.0059814453125)","(0.80364990234375, -0.10296630859375, 0.58612060546875, -0.0020751953125)"
092451678681,"(0.8839111328125, 0.087890625, 0.4739990234375, -0.0059814453125)","(0.81121826171875, -0.10302734375, 0.58648681640625, -0.00238037109375)"
092451687372,"(0.8839111328125, 0.08831787109375, 0.473876953125, -0.005859375)","(0.81109619140625, -0.102783203125, 0.58660888671875, -0.002685546875)"
092451694235,"(0.8760986328125, 0.08831787109375, 0.473876953125, -0.005859375)","(0.81097412109375, -0.10260009765625, 0.58685302734375, -0.00311279296875)"
092451701921,"(0.884033203125, 0.0882568359375, 0.4737548828125, -0.0059814453125)","(0.81085205078125, -0.10272216796875, 0.5870361328125, -0.00341796875)"
092451711377,"(0.87646484375, 0.08782958984375, 0.47332763671875, -0.00604248046875)","(0.81085205078125, -0.10272216796875, 0.5870361328125, -0.00341796875)"
