scorer,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,892.41534,922.4314,0.7347779,880.78723,755.1379,0.8664893,877.3852,555.2135,0.7214462,872.12305,405.14548,0.64972705,859.3263,220.99103,0.6175793
1,892.57184,922.39233,0.757243,880.5846,755.1055,0.86249024,877.64636,555.16547,0.7463697,872.09467,405.09357,0.64208204,859.5278,220.85196,0.66041607
2,892.5124,922.36694,0.743574,880.62524,755.0804,0.8552647,877.8013,555.10114,0.80003864,872.21643,405.07874,0.6369912,859.49115,220.85553,0.67590255
3,892.67993,922.39075,0.74772424,880.6059,755.0663,0.85150707,877.85944,555.04535,0.76985645,872.08295,405.0571,0.6425336,859.56946,220.84203,0.68446434
4,892.639,922.3821,0.74134874,880.72406,754.9831,0.8325859,877.5121,555.01587,0.75607276,872.14124,405.0273,0.6523372,859.61017,220.79417,0.68228984
5,892.8405,922.3045,0.7481552,880.97784,754.9194,0.84622395,877.74023,555.0456,0.7699163,872.27277,404.94473,0.6482532,859.5701,220.77232,0.6917674
6,892.7713,922.4361,0.7489373,880.8477,754.9691,0.8574742,877.78296,555.0784,0.75775397,872.19073,405.1303,0.6782277,859.61285,220.77808,0.69004244
7,892.7782,922.4257,0.75852203,880.77905,755.2195,0.8650661,877.8107,555.1234,0.75712836,872.17145,405.1491,0.690921,859.5574,220.79208,0.698885
8,892.72516,922.4716,0.7464104,880.9086,754.9423,0.8783731,877.7461,555.1246,0.72519517,872.2671,405.088,0.6798453,859.6314,220.94498,0.67532957
9,892.667,922.4506,0.74661356,880.9966,754.95074,0.8889872,877.7249,555.0926,0.7564831,872.2553,405.02924,0.7072279,859.7582,220.90195,0.6809541
10,892.6769,922.35834,0.8026113,880.97253,754.99786,0.88218373,877.9077,555.0888,0.72967845,872.3683,404.9937,0.698238,859.6968,220.81595,0.6908653
11,892.6673,922.3842,0.78207964,881.152,754.97424,0.86978626,877.8284,555.11487,0.77290785,872.35986,404.99203,0.7107261,859.574,220.7776,0.68812466
12,892.5982,922.40594,0.7804106,881.0995,754.9645,0.862224,877.7292,555.1709,0.7699866,872.60333,404.85056,0.6938322,859.8234,220.82895,0.68035614
13,892.7026,922.3489,0.77009726,880.9248,755.0328,0.8832001,877.8988,555.05994,0.76307565,872.4053,404.84772,0.7026938,859.79315,220.81187,0.6964457
14,892.7141,922.35095,0.7711842,881.14514,755.04517,0.88317335,877.7318,555.04755,0.7572416,872.28925,405.04184,0.695893,859.7599,220.85785,0.70838344
15,892.74207,922.3455,0.77902293,881.09534,755.02374,0.88335866,878.02747,555.13226,0.7502527,872.2877,404.91473,0.6936186,859.7728,220.88002,0.7029112
16,892.7482,922.34393,0.7418306,881.0131,754.89606,0.86433333,878.124,555.1339,0.7644659,872.3735,404.9067,0.71998745,859.7958,220.97934,0.6971526
17,892.6979,922.2871,0.75159335,881.00745,754.88574,0.8741163,878.01294,554.7702,0.7817194,872.23004,404.94345,0.6911265,859.71045,220.87074,0.6787588
