scorer,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,862.8907,893.4813,0.6701077,850.6719,726.78394,0.8319526,851.3555,526.53125,0.6867528,849.4529,380.2511,0.7386047,841.72845,200.93155,0.6971856
1,862.9896,893.29956,0.7303649,850.36475,726.77606,0.85948795,822.02094,458.3041,0.6632351,849.5015,380.28085,0.74517953,841.70776,200.93195,0.6846646
2,862.80066,893.21106,0.7548017,850.437,726.71967,0.86106306,821.4439,458.36777,0.6954469,849.5409,380.32947,0.73419154,841.7992,200.97052,0.67586625
3,862.9471,893.26373,0.75907004,850.3627,726.72003,0.8686578,821.53314,458.43857,0.6807762,849.5416,380.32492,0.7505732,841.77435,200.9544,0.6927923
4,863.01337,893.2702,0.77790916,850.4452,726.88226,0.84691674,851.6503,526.6473,0.6612419,849.58777,380.36716,0.7662772,841.7876,200.9438,0.6765721
5,863.0528,893.26355,0.77665854,850.56,726.79913,0.8701538,819.8554,458.70062,0.7039221,849.5008,380.29,0.7578545,841.90894,200.87018,0.692553
6,863.05774,893.2118,0.77808064,850.5578,726.78955,0.8643468,820.7356,458.25024,0.6915218,849.54803,380.20837,0.77381957,841.9864,200.87596,0.71340966
7,863.04834,893.2423,0.77645653,850.577,726.7845,0.86880946,851.70435,526.6587,0.6615209,849.68744,380.35443,0.7597306,842.06116,200.88458,0.72156745
8,863.1581,893.1942,0.77622485,850.74365,726.8783,0.85357004,851.5856,526.7156,0.6585287,849.6253,380.38318,0.7429238,842.11835,200.93034,0.6991283
9,862.9478,893.02936,0.79298455,850.6854,726.82477,0.8543759,821.1307,458.28726,0.64956754,849.9102,380.2378,0.7549246,842.20624,200.57042,0.7184131
10,862.86035,893.12695,0.78534496,850.7791,726.8583,0.85291153,851.6273,526.5416,0.66070604,849.5507,380.3853,0.75391054,842.1162,200.84601,0.699784
11,862.8786,893.05817,0.7945537,850.7384,726.8177,0.8389773,851.56116,526.43976,0.671957,849.6008,380.3812,0.74640596,842.2121,200.78076,0.7084472
12,862.8413,893.0158,0.8077036,850.7568,726.8296,0.84002024,820.58405,458.42194,0.6705588,849.7673,380.28928,0.74568325,842.25745,200.71004,0.7183067
13,863.07904,893.04987,0.8149161,850.70404,726.78015,0.8523564,820.86725,458.36246,0.6747909,849.7569,380.30063,0.738021,842.2322,200.82045,0.7114397
14,863.14355,893.1569,0.7865059,850.75726,726.78674,0.8526341,821.19446,458.42676,0.65788233,849.6737,380.3725,0.737692,842.20685,200.76509,0.7117028
15,863.1841,893.14886,0.78422856,850.7593,726.76794,0.85368115,820.80554,458.3127,0.6911025,849.69464,380.36072,0.7501788,842.2061,200.82599,0.713979
16,863.214,893.1464,0.79102325,850.8015,726.7987,0.8457698,809.87024,83.51468,0.663465,849.7232,380.33792,0.74294865,842.13293,200.82593,0.7202263
17,863.12885,892.9503,0.7957399,850.6795,726.73914,0.8575684,851.81213,526.24677,0.6530576,849.6212,380.21887,0.73535204,842.0604,200.70474,0.7255467
