timestamp,euler1,euler2
092901205853,"(0.8619384765625, 0.10498046875, 0.49603271484375, -0.0059814453125)","(0.0, 0.0, 0.0, 0.0)"
092901218054,"(0.8619384765625, 0.10528564453125, 0.49591064453125, -0.00616455078125)","(0.0, 0.0, 0.0, 0.0)"
092901232898,"(0.86212158203125, 0.1053466796875, 0.49554443359375, -0.00628662109375)","(0.0, 0.0, 0.0, 0.0)"
092901243967,"(0.8621826171875, 0.105224609375, 0.49554443359375, -0.0059814453125)","(0.0078125, 0.0, 0.0, 0.0)"
092901254411,"(0.87005615234375, 0.10516357421875, 0.495361328125, -0.00665283203125)","(0.0, 0.0, 0.0, 0.0)"
092901263204,"(0.8702392578125, 0.10504150390625, 0.49505615234375, -0.0069580078125)","(1.0, 0.0001220703125, 0.0003662109375, -0.00048828125)"
092901272736,"(0.870361328125, 0.10479736328125, 0.4949951171875, -0.0069580078125)","(1.0, 0.0, 0.0, -0.00030517578125)"
092901282182,"(0.8702392578125, 0.10467529296875, 0.49517822265625, -0.00732421875)","(1.0, 0.0, -6.103515625e-05, -0.000244140625)"
092901293052,"(0.87017822265625, 0.10491943359375, 0.4952392578125, -0.007080078125)","(1.0, 0.0001220703125, -6.103515625e-05, -0.00067138671875)"
092901303179,"(0.8702392578125, 0.1051025390625, 0.4951171875, -0.0069580078125)","(1.0, 0.00018310546875, -0.0001220703125, -0.000732421875)"
092901313403,"(0.869873046875, 0.1053466796875, 0.49560546875, -0.007568359375)","(0.7982177734375, -0.108642578125, 0.59246826171875, -0.00054931640625)"
092901323205,"(0.8699951171875, 0.1051025390625, 0.4954833984375, -0.0079345703125)","(0.79803466796875, -0.1085205078125, 0.5927734375, -0.00067138671875)"
092901333011,"(0.8701171875, 0.1048583984375, 0.495361328125, -0.0078125)","(0.7979736328125, -0.10882568359375, 0.5927734375, -0.00067138671875)"
092901342908,"(0.8701171875, 0.1051025390625, 0.495361328125, -0.00732421875)","(0.79791259765625, -0.1092529296875, 0.5927734375, -0.0006103515625)"
092901352444,"(0.86993408203125, 0.1051025390625, 0.49566650390625, -0.00738525390625)","(0.80572509765625, -0.1092529296875, 0.5927734375, -0.0003662109375)"
092901361280,"(0.86993408203125, 0.1051025390625, 0.49566650390625, -0.00738525390625)","(0.8056640625, -0.10894775390625, 0.5928955078125, -0.000244140625)"
092901367221,"(0.87017822265625, 0.10491943359375, 0.4952392578125, -0.00714111328125)","(0.7978515625, -0.10894775390625, 0.5928955078125, -0.000244140625)"
092901374791,"(0.8702392578125, 0.10498046875, 0.49517822265625, -0.00701904296875)","(0.8056640625, -0.10870361328125, 0.59295654296875, -0.00018310546875)"
092901383148,"(0.8702392578125, 0.10504150390625, 0.4951171875, -0.0067138671875)","(0.8055419921875, -0.10845947265625, 0.5931396484375, -0.000244140625)"
092901389634,"(0.8702392578125, 0.10504150390625, 0.4951171875, -0.0067138671875)","(0.80572509765625, -0.1082763671875, 0.59295654296875, -0.0001220703125)"
092901397160,"(0.87017822265625, 0.1051025390625, 0.4952392578125, -0.006591796875)","(0.80572509765625, -0.1080322265625, 0.593017578125, 0.00048828125)"
092901406061,"(0.87030029296875, 0.10491943359375, 0.49505615234375, -0.0067138671875)","(0.80572509765625, -0.1080322265625, 0.593017578125, 0.00048828125)"
092901413531,"(0.87017822265625, 0.1053466796875, 0.49517822265625, -0.00604248046875)","(0.8056640625, -0.1082763671875, 0.59307861328125, 0.00091552734375)"
092901420540,"(0.86236572265625, 0.1053466796875, 0.49517822265625, -0.00604248046875)","(0.8055419921875, -0.1083984375, 0.5931396484375, 0.000732421875)"
092901427301,"(0.870361328125, 0.1048583984375, 0.4949951171875, -0.0062255859375)","(0.7977294921875, -0.1083984375, 0.5931396484375, 0.000732421875)"
092901435319,"(0.8704833984375, 0.10479736328125, 0.49481201171875, -0.00604248046875)","(0.8055419921875, -0.108642578125, 0.5931396484375, 0.00091552734375)"
092901443422,"(0.8702392578125, 0.1053466796875, 0.4951171875, -0.00653076171875)","(0.805419921875, -0.10845947265625, 0.59332275390625, 0.00115966796875)"
092901450173,"(0.8702392578125, 0.1053466796875, 0.4951171875, -0.00653076171875)","(0.8056640625, -0.108154296875, 0.59307861328125, 0.001708984375)"
092901457718,"(0.8702392578125, 0.1055908203125, 0.49505615234375, -0.00665283203125)","(0.8056640625, -0.108154296875, 0.59307861328125, 0.001708984375)"
092901465191,"(0.87030029296875, 0.10601806640625, 0.494873046875, -0.00628662109375)","(0.8057861328125, -0.1082763671875, 0.5928955078125, 0.0018310546875)"
092901473285,"(0.8702392578125, 0.10595703125, 0.49493408203125, -0.006103515625)","(0.8057861328125, -0.108642578125, 0.59283447265625, 0.0018310546875)"
092901478953,"(0.8702392578125, 0.10595703125, 0.49493408203125, -0.006103515625)","(0.80584716796875, -0.1083984375, 0.5927734375, 0.00164794921875)"
092901486924,"(0.870361328125, 0.1055908203125, 0.49481201171875, -0.00628662109375)","(0.80584716796875, -0.1083984375, 0.5927734375, 0.00164794921875)"
092901495497,"(0.87060546875, 0.10528564453125, 0.49444580078125, -0.00616455078125)","(0.80609130859375, -0.10809326171875, 0.592529296875, 0.0018310546875)"
092901501478,"(0.87060546875, 0.10528564453125, 0.49444580078125, -0.00616455078125)","(0.80609130859375, -0.10784912109375, 0.592529296875, 0.00164794921875)"
092901508638,"(0.87054443359375, 0.10516357421875, 0.4945068359375, -0.006103515625)","(0.79827880859375, -0.10784912109375, 0.592529296875, 0.00164794921875)"
