timestamp,raw,volts,angle
093214285256,2933,0.5499375,-133.02471510316448
093214308334,2980,0.55875,-132.48211912299985
093214333155,2972,0.55725,-132.57447588558108
093214354449,2918,0.547125,-133.19788403300424
093214378158,3003,0.5630625,-132.21659343057888
093214402235,2936,0.5505,-132.9900813171965
093214427026,2971,0.5570625,-132.58602048090373
093214447351,2962,0.5553750000000001,-132.68992183880758
093214468893,2923,0.5480625,-133.14016105639098
093214493339,3001,0.5626875,-132.23968262122418
093214516653,3002,0.562875,-132.22813802590153
093214538483,2943,0.5518125,-132.90926914993796
093214560745,2947,0.5525625,-132.86309076864734
093214582670,2974,0.557625,-132.55138669493576
093214603173,2917,0.5469375,-133.2094286283269
093214625234,2920,0.5475,-133.17479484235895
093214646891,2993,0.5611875000000001,-132.33203938380538
093214667655,2943,0.5518125,-132.90926914993796
093214689676,2953,0.5536875,-132.79382319671146
093214712967,2932,0.54975,-133.03625969848713
093214733300,3000,0.5625,-132.25122721654682
093214755131,2920,0.5475,-133.17479484235895
093214777771,2985,0.5596875,-132.42439614638658
093214798764,2955,0.5540625,-132.77073400606614
093214820636,2960,0.555,-132.7130110294529
093214840920,2917,0.5469375,-133.2094286283269
093214861429,2996,0.56175,-132.29740559783744
093214882623,2998,0.562125,-132.27431640719215
093214903880,2938,0.550875,-132.96699212655122
093214926759,2959,0.5548125,-132.72455562477555
093214947376,2978,0.5583750000000001,-132.50520831364514
093214968431,2986,0.559875,-132.41285155106394
093214991144,2901,0.5439375,-133.39414215348933
093215012602,2979,0.5585625,-132.49366371832252
093215035432,2941,0.5514375,-132.93235834058328
093215056761,2944,0.552,-132.8977245546153
093215081382,2987,0.5600625,-132.4013069557413
093215102596,2921,0.5476875,-133.1632502470363
093215124910,2913,0.5461875,-133.2556070096175
093215147056,2969,0.5566875,-132.60910967154902
093215167431,2949,0.5529375,-132.84000157800205
093215188462,2929,0.5491875,-133.0708934844551
093215210612,2928,0.549,-133.08243807977772
093215232132,2998,0.562125,-132.27431640719215
093215252687,2924,0.54825,-133.12861646106833
093215274867,2972,0.55725,-132.57447588558108
093215297556,2956,0.55425,-132.7591894107435
093215321705,2932,0.54975,-133.03625969848713
093215344611,2991,0.5608125,-132.3551285744507
093215366581,2991,0.5608125,-132.3551285744507
093215388642,2933,0.5499375,-133.02471510316448
093215408795,2961,0.5551875000000001,-132.70146643413023
093215431612,2969,0.5566875,-132.60910967154902
093215451547,2983,0.5593125,-132.4474853370319
093215473049,2911,0.5458125,-133.2786962002628
093215496228,2988,0.56025,-132.38976236041864
093215518813,2935,0.5503125,-133.00162591251916
