timestamp,adc_ch0,adc_ch1,adc_ch2,adc_ch3
093322494012,0,0,0,1895701
093322494012,0,0,0,3429628
093322494012,0,0,0,3831370
093322494012,0,0,0,3950664
093322494012,0,0,0,4039410
093322519521,0,0,0,4033266
093322519521,0,0,0,4017735
093322519521,0,0,0,4001181
093322519521,0,0,0,4004936
093322519521,0,0,0,3993501
093322525218,0,0,0,3994866
093322525218,0,0,0,4025757
093322525218,0,0,0,3981043
093322525218,0,0,0,4004765
093322525218,0,0,0,4006130
093322530560,0,0,0,4013639
093322530560,0,0,0,3998621
093322530560,0,0,0,3971485
093322530560,0,0,0,3985651
093322530560,0,0,0,4000498
093322537187,0,0,0,4007154
093322537187,0,0,0,4002717
093322537187,0,0,0,4003570
093322537187,0,0,0,4000328
093322537187,0,0,0,4013810
093322544889,0,0,0,3996573
093322544889,0,0,0,3964147
093322544889,0,0,0,3952200
093322544889,0,0,0,4005960
093322544889,0,0,0,4010738
093322551549,0,0,0,4016199
093322551549,0,0,0,4007666
093322551549,0,0,0,4006130
093322551549,0,0,0,4009032
093322551549,0,0,0,4022685
093322558834,0,0,0,3994866
093322558834,0,0,0,4004765
093322558834,0,0,0,3971656
093322558834,0,0,0,4016029
093322558834,0,0,0,4040775
093322566424,0,0,0,4000669
093322566424,0,0,0,3984285
093322566424,0,0,0,4010226
093322566424,0,0,0,4014834
093322566424,0,0,0,4013639
093322573184,0,0,0,4041287
093322573184,0,0,0,3993501
093322573184,0,0,0,3995378
093322573184,0,0,0,4008690
093322573184,0,0,0,4000669
093322580709,0,0,0,3987869
093322580709,0,0,0,4001522
093322580709,0,0,0,3991624
093322580709,0,0,0,4018930
093322580709,0,0,0,4012445
093322587240,0,0,0,3995549
093322587240,0,0,0,4014151
093322587240,0,0,0,3989405
093322587240,0,0,0,3986845
093322587240,0,0,0,4006472
093322593963,0,0,0,3968926
093322593963,0,0,0,3982920
093322593963,0,0,0,4011079
093322593963,0,0,0,3987187
093322593963,0,0,0,4010909
093322601398,0,0,0,4037703
093322601398,0,0,0,4041799
093322601398,0,0,0,4058524
093322601398,0,0,0,3983432
093322601398,0,0,0,4015517
093322608356,0,0,0,3999645
093322608356,0,0,0,4010056
093322608356,0,0,0,3970120
093322608356,0,0,0,4002888
093322608356,0,0,0,3980019
093322615530,0,0,0,4016029
093322615530,0,0,0,4023367
093322615530,0,0,0,4021490
093322615530,0,0,0,4014834
093322615530,0,0,0,4024562
093322622891,0,0,0,3995378
093322622891,0,0,0,4012103
093322622891,0,0,0,3954760
093322622891,0,0,0,3941107
093322622891,0,0,0,4027122
093322628727,0,0,0,4024221
093322628727,0,0,0,4011933
093322628727,0,0,0,3949470
093322628727,0,0,0,3965854
093322628727,0,0,0,3995037
093322635748,0,0,0,4040434
093322635748,0,0,0,4011762
093322635748,0,0,0,4010056
093322635748,0,0,0,4015005
093322635748,0,0,0,4027805
093322643141,0,0,0,4003400
093322643141,0,0,0,3997597
093322643141,0,0,0,4002034
