scorer,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,791.2851,925.4588,0.6847131,774.6144,758.8955,0.7502337,784.764,559.10565,0.798839,790.58545,410.3963,0.86693674,790.817,231.80594,0.4844393
1,791.0088,925.4732,0.6477142,774.6749,758.81604,0.7674173,784.70154,559.03174,0.8127838,790.9326,410.43927,0.88141304,790.7166,231.86168,0.45552564
2,791.1702,925.4215,0.6399543,774.83075,758.75684,0.7668772,784.766,559.02124,0.82211655,790.9228,410.4765,0.887132,790.69464,231.891,0.47044536
3,791.1385,925.4246,0.6599588,774.8829,758.7162,0.79431194,784.694,559.0166,0.81962365,790.974,410.48685,0.8851708,790.69794,231.84108,0.47307187
4,791.0317,925.46277,0.64979815,774.9409,758.70953,0.79320556,784.6371,559.0504,0.8243618,790.8877,410.51556,0.8775819,790.60895,231.94743,0.45566317
5,790.99884,925.59766,0.65554905,774.9123,758.898,0.8166911,784.94116,559.2704,0.7975348,790.8474,410.61002,0.8824897,790.9111,231.95613,0.5011942
6,790.99194,925.6871,0.65165967,774.8486,759.07513,0.7907076,785.22,559.3988,0.79881036,791.2843,410.73312,0.85918385,790.88104,231.993,0.49977902
7,790.78424,925.7477,0.6750363,774.90094,759.077,0.82462615,855.79663,83.136,0.7878005,791.46295,410.7759,0.85509115,790.94434,232.00368,0.49211204
8,790.81323,925.84546,0.6789267,774.9754,759.12714,0.8170917,785.44855,559.53906,0.77867436,791.76587,410.91287,0.84338725,791.2637,232.03104,0.4999674
9,790.5723,926.02264,0.6827477,775.03656,759.3308,0.7833419,785.38586,559.6322,0.74916625,791.54395,411.1743,0.8649934,791.2958,232.07214,0.48543045
10,790.612,926.0123,0.68056285,775.0892,759.3971,0.79988927,785.5901,559.5972,0.754495,791.6537,411.07126,0.84518164,791.22614,232.11919,0.47885105
11,790.49316,926.02136,0.69145864,775.10706,759.58435,0.80494004,785.7516,559.61426,0.7485819,791.51013,411.14716,0.87745315,791.1456,232.12251,0.46320143
12,790.5817,925.9586,0.6960662,775.10974,759.69305,0.8087883,785.7602,559.59174,0.7432968,791.53094,411.30106,0.8941102,791.07275,232.11797,0.47837734
13,790.7064,926.0303,0.67139745,775.047,759.6164,0.80496776,855.6727,83.4439,0.7757667,791.4895,411.1992,0.8772973,791.1246,232.08243,0.50595826
14,790.72906,926.05725,0.6707746,774.96515,759.5502,0.80162346,785.45135,559.5888,0.7342719,791.4264,411.0233,0.8678731,791.1927,232.00452,0.5022993
15,790.84216,926.08905,0.6507224,774.93536,759.4122,0.78955936,785.6198,559.66034,0.7218967,791.3793,410.90338,0.87515736,791.18036,232.02008,0.5188144
16,790.8898,926.2193,0.632037,774.9691,759.34296,0.7936731,785.49554,559.7247,0.723638,791.43604,410.85797,0.8781612,791.14923,232.00365,0.51641613
17,790.9583,926.15643,0.6583105,775.0442,759.504,0.7923156,785.4359,559.74786,0.7315601,791.4117,410.9656,0.8805277,791.22546,231.97598,0.5096617
