timestamp,adc_ch0,adc_ch1,adc_ch2,adc_ch3
093423082323,0,0,0,1875221
093423082323,0,0,0,3417340
093423082323,0,0,0,3835466
093423082323,0,0,0,3965683
093423082323,0,0,0,4033948
093423101338,0,0,0,3987528
093423101338,0,0,0,3967902
093423101338,0,0,0,4002546
093423101338,0,0,0,4017906
093423101338,0,0,0,3981213
093423109249,0,0,0,3983944
093423109249,0,0,0,4019613
093423109249,0,0,0,3989917
093423109249,0,0,0,3980189
093423109249,0,0,0,3997256
093423116276,0,0,0,4003400
093423116276,0,0,0,3987016
093423116276,0,0,0,4013810
093423116276,0,0,0,3998621
093423116276,0,0,0,4028487
093423122330,0,0,0,3975069
093423122330,0,0,0,3995208
093423122330,0,0,0,3991282
093423122330,0,0,0,4001693
093423122330,0,0,0,3982408
093423130267,0,0,0,4005448
093423130267,0,0,0,4002376
093423130267,0,0,0,4025245
093423130267,0,0,0,4033948
093423130267,0,0,0,4026439
093423136928,0,0,0,4028487
093423136928,0,0,0,3997426
093423136928,0,0,0,4006813
093423136928,0,0,0,3978995
093423136928,0,0,0,4026098
093423144151,0,0,0,4026951
093423144151,0,0,0,3999304
093423144151,0,0,0,3988040
093423144151,0,0,0,3994184
093423144151,0,0,0,3988893
093423151366,0,0,0,3995890
093423151366,0,0,0,3999304
093423151366,0,0,0,3995208
093423151366,0,0,0,3994354
093423151366,0,0,0,4004082
093423158420,0,0,0,4031047
093423158420,0,0,0,4007154
093423158420,0,0,0,3987869
093423158420,0,0,0,4040775
093423158420,0,0,0,4001352
093423166161,0,0,0,3997426
093423166161,0,0,0,4011079
093423166161,0,0,0,4017565
093423166161,0,0,0,3994354
093423166161,0,0,0,4015858
093423172641,0,0,0,4051527
093423172641,0,0,0,4007325
093423172641,0,0,0,4013298
093423172641,0,0,0,4008008
093423172641,0,0,0,4031047
093423179516,0,0,0,4056988
093423179516,0,0,0,4014322
093423179516,0,0,0,4013127
093423179516,0,0,0,4006301
093423179516,0,0,0,3967902
093423187703,0,0,0,4017906
093423187703,0,0,0,4027463
093423187703,0,0,0,4046236
093423187703,0,0,0,4027805
093423187703,0,0,0,4015517
093423193732,0,0,0,4062449
093423193732,0,0,0,4025074
093423193732,0,0,0,4022685
093423193732,0,0,0,4046578
093423193732,0,0,0,3995720
093423200423,0,0,0,3985992
093423200423,0,0,0,3968072
093423200423,0,0,0,4037191
093423200423,0,0,0,4014834
093423200423,0,0,0,4007496
093423207825,0,0,0,4011762
093423207825,0,0,0,4046919
093423207825,0,0,0,4044188
093423207825,0,0,0,4045554
093423207825,0,0,0,4063985
093423215157,0,0,0,4011933
093423215157,0,0,0,4003058
093423215157,0,0,0,4021149
093423215157,0,0,0,4034119
093423215157,0,0,0,3999816
093423221929,0,0,0,4015858
093423221929,0,0,0,4065692
093423221929,0,0,0,4029853
093423221929,0,0,0,3993842
093423221929,0,0,0,3977971
093423229233,0,0,0,4026610
093423229233,0,0,0,4041970
093423229233,0,0,0,4043676
093423229233,0,0,0,4008008
093423229233,0,0,0,3999304
093423236642,0,0,0,3991624
093423236642,0,0,0,4031047
093423236642,0,0,0,3993672
093423236642,0,0,0,4011079
093423236642,0,0,0,3993842
093423243664,0,0,0,3996573
093423243664,0,0,0,3994013
093423243664,0,0,0,4025245
093423243664,0,0,0,3994866
093423243664,0,0,0,3995890
093423250473,0,0,0,3979848
093423250473,0,0,0,4001864
093423250473,0,0,0,4007666
093423250473,0,0,0,4020125
093423250473,0,0,0,4026951
093423257626,0,0,0,4031047
093423257626,0,0,0,4019613
093423257626,0,0,0,3998621
093423257626,0,0,0,4036850
093423257626,0,0,0,4004082
093423264926,0,0,0,4002888
093423264926,0,0,0,4032242
093423264926,0,0,0,4020978
093423264926,0,0,0,4036338
093423264926,0,0,0,4040092
093423272280,0,0,0,4025245
093423272280,0,0,0,3972509
093423272280,0,0,0,4001522
093423272280,0,0,0,4005448
093423272280,0,0,0,4006984
093423279225,0,0,0,4052039
093423279225,0,0,0,4015005
093423279225,0,0,0,3982237
093423279225,0,0,0,3995720
093423279225,0,0,0,4008520
093423286602,0,0,0,4052209
093423286602,0,0,0,4026781
093423286602,0,0,0,4007496
093423286602,0,0,0,4001693
093423286602,0,0,0,4029341
093423294250,0,0,0,4027122
093423294250,0,0,0,4022173
093423294250,0,0,0,4023538
093423294250,0,0,0,4025757
093423294250,0,0,0,4024562
093423301286,0,0,0,4031730
093423301286,0,0,0,4036508
093423301286,0,0,0,4038556
093423301286,0,0,0,4033266
093423301286,0,0,0,4022685
093423307873,0,0,0,4029682
093423307873,0,0,0,4022514
093423307873,0,0,0,4010738
093423307873,0,0,0,3997938
093423307873,0,0,0,4029511
093423315019,0,0,0,4002205
093423315019,0,0,0,3994866
093423315019,0,0,0,4001352
093423315019,0,0,0,4003912
093423315019,0,0,0,4001181
093423322525,0,0,0,4034119
093423322525,0,0,0,3985651
093423322525,0,0,0,4003229
093423322525,0,0,0,3994184
093423322525,0,0,0,3996573
093423329318,0,0,0,3974557
093423329318,0,0,0,4008520
093423329318,0,0,0,3989064
093423329318,0,0,0,3997085
093423329318,0,0,0,3991112
093423336591,0,0,0,3984797
093423336591,0,0,0,4015005
093423336591,0,0,0,3987528
093423336591,0,0,0,4012274
093423336591,0,0,0,3992989
093423344158,0,0,0,3981043
093423344158,0,0,0,4020978
093423344158,0,0,0,3990259
093423344158,0,0,0,4017394
093423344158,0,0,0,4022855
093423350652,0,0,0,3957320
093423350652,0,0,0,3958686
093423350652,0,0,0,3994184
093423350652,0,0,0,4023367
093423350652,0,0,0,4015858
093423357844,0,0,0,4018589
093423357844,0,0,0,4011250
093423357844,0,0,0,4012445
093423357844,0,0,0,4037703
093423357844,0,0,0,4012445
093423365161,0,0,0,4052892
093423365161,0,0,0,4005960
093423365161,0,0,0,4012103
093423365161,0,0,0,4008520
093423365161,0,0,0,3981725
093423372266,0,0,0,3991624
093423372266,0,0,0,4018418
093423372266,0,0,0,4008861
093423372266,0,0,0,4008861
093423372266,0,0,0,4043847
093423379277,0,0,0,4011421
093423379277,0,0,0,4029853
093423379277,0,0,0,4011079
093423379277,0,0,0,4041970
093423379277,0,0,0,4007837
093423386694,0,0,0,3978995
093423386694,0,0,0,3982237
093423386694,0,0,0,3994866
093423386694,0,0,0,4043164
093423386694,0,0,0,4043335
093423394208,0,0,0,4021319
093423394208,0,0,0,4017053
093423394208,0,0,0,4012786
093423394208,0,0,0,4021661
093423394208,0,0,0,3976093
093423401275,0,0,0,4037532
093423401275,0,0,0,4002376
093423401275,0,0,0,4022002
093423401275,0,0,0,4045383
093423401275,0,0,0,4055793
093423408415,0,0,0,4009202
093423408415,0,0,0,4007154
093423408415,0,0,0,4007837
093423408415,0,0,0,4045895
093423408415,0,0,0,4033778
093423415098,0,0,0,4023709
093423415098,0,0,0,4033778
093423415098,0,0,0,4006642
093423415098,0,0,0,4034631
093423415098,0,0,0,3985992
093423422558,0,0,0,4018589
093423422558,0,0,0,4006472
093423422558,0,0,0,4009032
093423422558,0,0,0,4040946
093423422558,0,0,0,4010056
093423429398,0,0,0,4065351
093423429398,0,0,0,4045724
093423429398,0,0,0,4018418
093423429398,0,0,0,3985139
093423429398,0,0,0,4026781
093423436597,0,0,0,4023197
093423436597,0,0,0,4007666
093423436597,0,0,0,3993160
093423436597,0,0,0,3991624
093423436597,0,0,0,4010738
093423443650,0,0,0,4011079
093423443650,0,0,0,4027122
093423443650,0,0,0,4017394
093423443650,0,0,0,4039239
093423443650,0,0,0,3994354
093423450865,0,0,0,3967560
093423450865,0,0,0,3985480
093423450865,0,0,0,4020466
093423450865,0,0,0,4016711
093423450865,0,0,0,4029341
093423458231,0,0,0,4017565
093423458231,0,0,0,4022343
093423458231,0,0,0,4029511
093423458231,0,0,0,4025586
093423458231,0,0,0,4013639
093423465097,0,0,0,4021490
093423465097,0,0,0,4013127
093423465097,0,0,0,4028658
093423465097,0,0,0,3995720
093423465097,0,0,0,3984797
093423472859,0,0,0,4009714
093423472859,0,0,0,4014322
093423472859,0,0,0,4038215
093423472859,0,0,0,4035484
093423472859,0,0,0,4016199
093423479403,0,0,0,4008008
093423479403,0,0,0,4037703
093423479403,0,0,0,4004424
093423479403,0,0,0,4007496
093423479403,0,0,0,4045554
093423486602,0,0,0,4040946
093423486602,0,0,0,3992989
093423486602,0,0,0,3996914
093423486602,0,0,0,3990088
093423486602,0,0,0,3976605
093423493991,0,0,0,3984285
093423493991,0,0,0,3990600
093423493991,0,0,0,3999986
093423493991,0,0,0,3976435
093423493991,0,0,0,4009885
093423501705,0,0,0,4003229
093423501705,0,0,0,3990941
093423501705,0,0,0,3987357
093423501705,0,0,0,4002717
093423501705,0,0,0,4031559
093423507877,0,0,0,4021319
093423507877,0,0,0,4011933
093423507877,0,0,0,4032412
093423507877,0,0,0,4006984
093423507877,0,0,0,4010909
093423515256,0,0,0,4040775
093423515256,0,0,0,4052892
093423515256,0,0,0,4029170
093423515256,0,0,0,4003058
093423515256,0,0,0,4013981
093423522477,0,0,0,4007666
093423522477,0,0,0,4024391
093423522477,0,0,0,4031218
093423522477,0,0,0,4012274
093423522477,0,0,0,4017906
093423529712,0,0,0,4037020
093423529712,0,0,0,4035826
093423529712,0,0,0,4019442
093423529712,0,0,0,3989405
093423529712,0,0,0,3992477
093423536604,0,0,0,4022002
093423536604,0,0,0,3974216
093423536604,0,0,0,3963976
093423536604,0,0,0,3994013
093423536604,0,0,0,3976605
093423543651,0,0,0,4005618
093423543651,0,0,0,3989576
