timestamp,euler1,euler2
124034579640,"(0.888916015625, -0.02935791015625, 0.4571533203125, -0.00250244140625)","(0.0, 0.0, 0.0, 0.0)"
124034587745,"(0.888916015625, -0.02935791015625, 0.4571533203125, -0.00250244140625)","(None, None, None, None)"
124034592058,"(0.88885498046875, -0.02947998046875, 0.457275390625, -0.00238037109375)","(0.0, 0.0, 0.0, 0.0)"
124034601069,"(0.8887939453125, -0.02923583984375, 0.45733642578125, -0.00250244140625)","(0.0, 0.0, 0.0, 0.0)"
124034607611,"(0.8887939453125, -0.02923583984375, 0.45733642578125, -0.00250244140625)","(0.0, 0.0, 0.0, 0.0)"
124034617217,"(0.8887939453125, -0.02911376953125, 0.45733642578125, -0.0023193359375)","(0.0, 0.0, 0.0, 0.0)"
124034626561,"(0.888671875, -0.0291748046875, 0.45758056640625, -0.00244140625)","(0.0, 0.0, 0.0, 0.0)"
124034636239,"(0.88885498046875, -0.029296875, 0.457275390625, -0.00274658203125)","(1.0, 0.00054931640625, 0.001220703125, -0.0015869140625)"
124034643208,"(0.88873291015625, -0.02886962890625, 0.45745849609375, -0.00311279296875)","(None, None, None, None)"
124034647758,"(0.88873291015625, -0.02886962890625, 0.45745849609375, -0.00311279296875)","(1.0, 0.00054931640625, 0.0010986328125, -0.0015869140625)"
124034655140,"(0.88885498046875, -0.02874755859375, 0.45721435546875, -0.0032958984375)","(None, None, None, None)"
124034658636,"(0.88885498046875, -0.02874755859375, 0.45721435546875, -0.0032958984375)","(1.0, 0.00030517578125, 0.00140380859375, -0.0018310546875)"
124034667124,"(0.8887939453125, -0.02862548828125, 0.45733642578125, -0.00335693359375)","(1.0, 0.00042724609375, 0.001708984375, -0.001953125)"
124034674891,"(0.8887939453125, -0.0283203125, 0.45745849609375, -0.0032958984375)","(1.0, 6.103515625e-05, 0.0015869140625, -0.00164794921875)"
124034680762,"(0.88885498046875, -0.0284423828125, 0.457275390625, -0.0035400390625)","(None, None, None, None)"
124034685514,"(0.88885498046875, -0.0284423828125, 0.457275390625, -0.0035400390625)","(1.0, 0.000244140625, 0.0015869140625, -0.00128173828125)"
