scorer,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,980.6181,607.7356,0.7824452,969.5776,432.6127,0.8747158,959.4652,247.30382,0.7967902,948.1475,114.99664,0.77327305,1155.559,453.75198,0.048762448
1,980.66626,607.7562,0.7990668,969.4343,432.82327,0.89670515,959.2577,246.96077,0.80377656,947.90265,114.76333,0.7557522,948.28796,114.86253,0.05421013
2,980.6608,607.735,0.79049826,969.37744,432.84906,0.9167868,959.3234,246.9784,0.8280383,947.9294,114.759544,0.7533957,948.3114,114.85474,0.05488954
3,980.6415,607.72925,0.7924843,969.44305,432.92828,0.9099516,959.371,246.95097,0.82871866,948.00134,114.7649,0.74880207,948.36066,114.84557,0.051738292
4,980.7041,607.71326,0.8069311,969.38745,432.95883,0.9303631,959.2235,246.89815,0.8449153,948.07806,114.8636,0.75637865,948.42004,114.954094,0.0509884
5,981.1197,607.6759,0.83841634,969.44183,432.88068,0.9044486,959.51587,246.92392,0.7902918,948.16223,114.65466,0.7712688,948.48206,114.70966,0.0437146
6,981.04395,607.6652,0.8263811,969.3903,432.8554,0.91775155,959.46277,246.87254,0.7885552,948.14386,114.64098,0.7619798,948.46545,114.72407,0.048680805
7,981.1121,607.64716,0.8305894,969.4633,432.74588,0.8952887,959.4718,246.89604,0.79306966,948.1607,114.62122,0.7622102,948.46857,114.67563,0.04527547
8,981.0877,607.7003,0.833664,969.0341,432.1403,0.86511844,959.40717,246.84846,0.7897417,948.1448,114.5034,0.758226,948.44507,114.53618,0.044278346
9,981.1568,607.6575,0.8254513,969.5095,432.80255,0.8827459,959.5802,246.94608,0.78932774,948.08813,114.77239,0.736571,948.4153,114.83586,0.05379557
10,981.1584,607.72736,0.82759213,969.5542,432.73172,0.90469384,959.6352,246.99922,0.7833764,948.1529,114.82993,0.7476362,948.4897,114.906876,0.049944844
11,981.1594,607.7085,0.8308809,969.5341,432.53464,0.8727257,959.3606,246.98909,0.7953211,948.11383,114.500404,0.754278,948.4175,114.55884,0.052209675
12,980.81665,607.7559,0.80903393,969.58203,432.79782,0.8767266,959.86255,247.26848,0.8224593,948.0639,114.811035,0.72813725,948.408,114.89133,0.05574579
13,981.14056,607.6966,0.8278987,969.66565,432.75235,0.87996703,959.8441,247.29095,0.7902184,948.1681,114.87923,0.7340897,948.5113,114.929,0.052418936
14,981.0505,607.6675,0.8320366,969.5975,432.6393,0.8772571,959.77905,247.26045,0.80376625,948.19336,114.849594,0.7358435,948.50037,114.90592,0.052881077
15,981.4304,607.6735,0.82584757,969.5554,432.69446,0.8957625,959.74274,247.27078,0.8044096,948.2971,114.84602,0.75191724,948.60474,114.89407,0.046001222
16,981.1761,607.7373,0.8217141,969.5725,432.66068,0.84564686,959.82434,247.23413,0.7950497,948.32367,114.93864,0.746598,969.6119,431.6442,0.05336038
17,981.4615,607.50104,0.83009386,969.52057,432.58258,0.86035043,959.4487,247.57568,0.79707587,948.3419,114.63018,0.7489903,969.57336,431.5665,0.049814843
