timestamp,euler1,euler2
135425850722,"(0.82318115234375, 0.0975341796875, 0.559326171875, -0.00469970703125)","(0.0, 0.0, 0.0, 0.0)"
135425862499,"(0.822998046875, 0.097900390625, 0.5595703125, -0.004638671875)","(0.0, 0.0, 0.0, 0.0)"
135425874537,"(0.82293701171875, 0.097900390625, 0.55963134765625, -0.004638671875)","(0.0, 0.0, 0.0, 0.0)"
135425886820,"(0.8232421875, 0.09796142578125, 0.5592041015625, -0.0042724609375)","(0.0, 0.0, 0.0, 0.0)"
135425899757,"(0.8231201171875, 0.0982666015625, 0.55926513671875, -0.00421142578125)","(0.0, 0.0, 0.0, 0.0)"
135425909675,"(0.82342529296875, 0.0980224609375, 0.55889892578125, -0.00469970703125)","(1.0, 0.00054931640625, 0.000732421875, -0.00079345703125)"
135425919281,"(0.82318115234375, 0.098388671875, 0.55914306640625, -0.00494384765625)","(1.0, 0.00091552734375, 0.0009765625, -0.00115966796875)"
135425928922,"(0.82269287109375, 0.09893798828125, 0.559814453125, -0.005615234375)","(1.0, 0.00103759765625, 0.00067138671875, -0.00079345703125)"
135425938330,"(0.82257080078125, 0.09912109375, 0.5599365234375, -0.0059814453125)","(1.0, 0.00103759765625, 0.0006103515625, -0.0006103515625)"
135425947675,"(0.82275390625, 0.09930419921875, 0.5595703125, -0.0059814453125)","(1.0, 0.00103759765625, 0.0006103515625, -0.000732421875)"
135425958343,"(0.82305908203125, 0.099853515625, 0.55914306640625, -0.0062255859375)","(1.0, 0.0015869140625, 0.0008544921875, -0.00067138671875)"
135425968635,"(0.82269287109375, 0.1004638671875, 0.5594482421875, -0.0064697265625)","(0.77001953125, -0.0130615234375, 0.63787841796875, -0.00140380859375)"
135425978466,"(0.82275390625, 0.10052490234375, 0.55938720703125, -0.00677490234375)","(0.77020263671875, -0.01361083984375, 0.63763427734375, -0.00128173828125)"
135425987884,"(0.822998046875, 0.10015869140625, 0.55908203125, -0.0064697265625)","(None, None, None, None)"
135425991603,"(0.822998046875, 0.10015869140625, 0.55908203125, -0.0064697265625)","(None, None, None, None)"
135425994241,"(0.822998046875, 0.10015869140625, 0.55908203125, -0.0064697265625)","(0.7705078125, -0.01409912109375, 0.63726806640625, -0.00115966796875)"
135426000334,"(0.82318115234375, 0.09991455078125, 0.55889892578125, -0.00634765625)","(0.7705078125, -0.01422119140625, 0.63726806640625, -0.00067138671875)"
135426004134,"(0.82318115234375, 0.09991455078125, 0.55889892578125, -0.00634765625)","(None, None, None, None)"
135426006787,"(0.82318115234375, 0.09991455078125, 0.55889892578125, -0.00634765625)","(None, None, None, None)"
135426009324,"(0.82318115234375, 0.09979248046875, 0.5589599609375, -0.0064697265625)","(0.7705078125, -0.01446533203125, 0.63726806640625, -0.00054931640625)"
135426012922,"(0.82318115234375, 0.09979248046875, 0.5589599609375, -0.0064697265625)","(0.7705078125, -0.01446533203125, 0.63726806640625, -0.00054931640625)"
135426018428,"(0.82318115234375, 0.09979248046875, 0.5589599609375, -0.0064697265625)","(0.77008056640625, -0.01446533203125, 0.6378173828125, -0.0009765625)"
135426022257,"(0.82281494140625, 0.10028076171875, 0.55938720703125, -0.006591796875)","(0.77008056640625, -0.01446533203125, 0.6378173828125, -0.0009765625)"
135426027716,"(0.82281494140625, 0.10028076171875, 0.55938720703125, -0.006591796875)","(0.7698974609375, -0.0142822265625, 0.63800048828125, -0.00128173828125)"
135426032144,"(0.8223876953125, 0.10101318359375, 0.55987548828125, -0.0064697265625)","(None, None, None, None)"
135426034859,"(0.8223876953125, 0.10101318359375, 0.55987548828125, -0.0064697265625)","(None, None, None, None)"
135426039229,"(0.8221435546875, 0.10125732421875, 0.5601806640625, -0.006591796875)","(None, None, None, None)"
135426041759,"(0.8221435546875, 0.10125732421875, 0.5601806640625, -0.006591796875)","(0.76983642578125, -0.014404296875, 0.6380615234375, -0.00128173828125)"
135426045575,"(0.8221435546875, 0.10125732421875, 0.5601806640625, -0.006591796875)","(0.7696533203125, -0.014404296875, 0.6383056640625, -0.001220703125)"
135426051316,"(0.82244873046875, 0.10150146484375, 0.5596923828125, -0.00634765625)","(0.7696533203125, -0.014404296875, 0.6383056640625, -0.001220703125)"
135426055520,"(None, None, None, None)","(0.7696533203125, -0.014404296875, 0.6383056640625, -0.001220703125)"
135426059683,"(0.8221435546875, 0.10150146484375, 0.5601806640625, -0.006103515625)","(None, None, None, None)"
135426062024,"(0.8221435546875, 0.10150146484375, 0.5601806640625, -0.006103515625)","(0.76959228515625, -0.0145263671875, 0.638427734375, -0.00128173828125)"
135426066979,"(0.8221435546875, 0.10150146484375, 0.5601806640625, -0.006103515625)","(None, None, None, None)"
135426069645,"(0.8218994140625, 0.1014404296875, 0.56048583984375, -0.00616455078125)","(None, None, None, None)"
135426072022,"(0.8218994140625, 0.1014404296875, 0.56048583984375, -0.00616455078125)","(0.7696533203125, -0.0146484375, 0.6383056640625, -0.00140380859375)"
135426076158,"(0.8218994140625, 0.1014404296875, 0.56048583984375, -0.00616455078125)","(0.76959228515625, -0.01434326171875, 0.63836669921875, -0.0013427734375)"
135426081648,"(0.8218994140625, 0.10107421875, 0.560546875, -0.0062255859375)","(0.76959228515625, -0.01434326171875, 0.63836669921875, -0.0013427734375)"
135426085246,"(0.8218994140625, 0.10107421875, 0.560546875, -0.0062255859375)","(0.76971435546875, -0.014404296875, 0.63824462890625, -0.0009765625)"
135426091904,"(0.82183837890625, 0.10150146484375, 0.560546875, -0.00653076171875)","(0.76971435546875, -0.014404296875, 0.63824462890625, -0.0009765625)"
135426095347,"(0.82183837890625, 0.10150146484375, 0.560546875, -0.00653076171875)","(None, None, None, None)"
135426100163,"(0.8218994140625, 0.10137939453125, 0.56048583984375, -0.00665283203125)","(0.76971435546875, -0.01385498046875, 0.63824462890625, -0.000732421875)"
135426103678,"(0.8218994140625, 0.10137939453125, 0.56048583984375, -0.00665283203125)","(0.76971435546875, -0.01385498046875, 0.63824462890625, -0.000732421875)"
135426109304,"(0.8218994140625, 0.10137939453125, 0.56048583984375, -0.00665283203125)","(None, None, None, None)"
135426111807,"(0.82183837890625, 0.1014404296875, 0.560546875, -0.0062255859375)","(0.7696533203125, -0.01373291015625, 0.6383056640625, -0.00048828125)"
135426115384,"(0.82183837890625, 0.1014404296875, 0.560546875, -0.0062255859375)","(0.7696533203125, -0.01373291015625, 0.6383056640625, -0.00048828125)"
135426121304,"(0.821533203125, 0.10113525390625, 0.56109619140625, -0.00640869140625)","(0.76953125, -0.0135498046875, 0.63848876953125, -0.00048828125)"
135426124751,"(0.821533203125, 0.10113525390625, 0.56109619140625, -0.00640869140625)","(0.76953125, -0.0135498046875, 0.63848876953125, -0.00048828125)"
135426131092,"(0.8212890625, 0.100830078125, 0.56146240234375, -0.00640869140625)","(0.7696533203125, -0.01324462890625, 0.6383056640625, -0.000244140625)"
135426134588,"(0.8212890625, 0.100830078125, 0.56146240234375, -0.00640869140625)","(0.7696533203125, -0.01324462890625, 0.6383056640625, -0.000244140625)"
135426141769,"(0.8212890625, 0.10089111328125, 0.56146240234375, -0.00677490234375)","(0.76983642578125, -0.0135498046875, 0.6380615234375, 0.00018310546875)"
135426145241,"(0.8212890625, 0.10089111328125, 0.56146240234375, -0.00677490234375)","(None, None, None, None)"
135426150159,"(0.8212890625, 0.10089111328125, 0.56146240234375, -0.006591796875)","(None, None, None, None)"
135426152808,"(0.8212890625, 0.10089111328125, 0.56146240234375, -0.006591796875)","(0.7696533203125, -0.01373291015625, 0.63836669921875, 0.00030517578125)"
135426157231,"(0.8212890625, 0.10089111328125, 0.56146240234375, -0.006591796875)","(None, None, None, None)"
135426160077,"(0.82135009765625, 0.10107421875, 0.56134033203125, -0.00653076171875)","(None, None, None, None)"
135426162700,"(0.82135009765625, -1.89892578125, 0.56134033203125, -0.00653076171875)","(0.7694091796875, -0.01373291015625, 0.63861083984375, 0.00030517578125)"
