timestamp,euler1,euler2
092832347043,"(0.86737060546875, 0.0911865234375, 0.4892578125, -0.0020751953125)","(0.0, 0.0, 0.0, 0.0)"
092832362441,"(0.86737060546875, 0.09136962890625, 0.48919677734375, -0.0025634765625)","(0.0, 0.0, 0.0, 0.0)"
092832374094,"(0.8675537109375, 0.09112548828125, 0.48895263671875, -0.00274658203125)","(0.0, 0.0, 0.0, 0.0)"
092832385749,"(0.86749267578125, 0.0909423828125, 0.489013671875, -0.00286865234375)","(0.0, 0.0, 0.0, 0.0)"
092832397261,"(0.8675537109375, 0.0906982421875, 0.48895263671875, -0.003173828125)","(1.0, -0.000732421875, -0.00054931640625, 0.00054931640625)"
092832406686,"(0.8673095703125, 0.0906982421875, 0.4893798828125, -0.00335693359375)","(1.0, -0.000732421875, -0.00054931640625, 0.00054931640625)"
092832416271,"(0.8673095703125, 0.09063720703125, 0.4893798828125, -0.00347900390625)","(1.0, -0.00054931640625, -0.000244140625, 0.0006103515625)"
092832427147,"(0.86737060546875, 0.09039306640625, 0.48931884765625, -0.00372314453125)","(1.0078125, -0.00054931640625, -0.0001220703125, 0.0006103515625)"
092832436476,"(0.867431640625, 0.090576171875, 0.4892578125, -0.00384521484375)","(1.0078125, -0.00054931640625, -0.0001220703125, 0.0006103515625)"
092832445922,"(0.867431640625, 0.09088134765625, 0.48919677734375, -0.00360107421875)","(1.0078125, -0.00054931640625, -0.000244140625, 0.0008544921875)"
092832454761,"(0.8677978515625, 0.09075927734375, 0.48858642578125, -0.00360107421875)","(0.8018798828125, -0.10638427734375, 0.58795166015625, 0.00079345703125)"
092832463008,"(0.8680419921875, 0.09063720703125, 0.48809814453125, -0.0037841796875)","(0.80963134765625, -0.1060791015625, 0.588134765625, 0.0008544921875)"
092832469171,"(0.8680419921875, 0.09063720703125, 0.48809814453125, -0.0037841796875)","(0.80950927734375, -0.10614013671875, 0.58819580078125, 0.000732421875)"
092832477508,"(0.8681640625, 0.09051513671875, 0.4879150390625, -0.00396728515625)","(0.80938720703125, -0.10601806640625, 0.58837890625, 0.00128173828125)"
092832487378,"(0.8682861328125, 0.09088134765625, 0.4876708984375, -0.0037841796875)","(0.80157470703125, -0.10601806640625, 0.58837890625, 0.00128173828125)"
092832496139,"(0.86822509765625, 0.09088134765625, 0.48779296875, -0.00390625)","(0.80926513671875, -0.10595703125, 0.588623046875, 0.00140380859375)"
092832504381,"(0.86822509765625, 0.0904541015625, 0.48779296875, -0.00408935546875)","(0.80926513671875, -0.10577392578125, 0.588623046875, 0.00152587890625)"
092832512542,"(0.86834716796875, 0.0899658203125, 0.48773193359375, -0.00445556640625)","(0.80902099609375, -0.1055908203125, 0.5889892578125, 0.0013427734375)"
092832519485,"(0.86834716796875, 0.0899658203125, 0.48773193359375, -0.00445556640625)","(0.80902099609375, -0.105712890625, 0.5889892578125, 0.00103759765625)"
092832527559,"(0.867919921875, 0.09033203125, 0.48834228515625, -0.00457763671875)","(0.808837890625, -0.10577392578125, 0.5892333984375, 0.00103759765625)"
092832537155,"(0.86810302734375, 0.0902099609375, 0.48809814453125, -0.0050048828125)","(0.801025390625, -0.10577392578125, 0.5892333984375, 0.00103759765625)"
092832546823,"(0.86810302734375, 0.09033203125, 0.488037109375, -0.00506591796875)","(0.80865478515625, -0.1058349609375, 0.5894775390625, 0.00091552734375)"
092832555359,"(0.8681640625, 0.09051513671875, 0.4879150390625, -0.00531005859375)","(0.80853271484375, -0.10595703125, 0.58953857421875, 0.00091552734375)"
092832563851,"(0.8680419921875, 0.09051513671875, 0.48809814453125, -0.005126953125)","(0.808349609375, -0.10595703125, 0.58984375, 0.0006103515625)"
092832570180,"(0.8680419921875, 0.09051513671875, 0.48809814453125, -0.005126953125)","(0.80816650390625, -0.10595703125, 0.590087890625, 6.103515625e-05)"
092832578085,"(0.86798095703125, 0.0904541015625, 0.48822021484375, -0.00494384765625)","(0.80816650390625, -0.106201171875, 0.590087890625, 6.103515625e-05)"
092832587521,"(0.86822509765625, 0.0904541015625, 0.48779296875, -0.0050048828125)","(0.80816650390625, -0.106201171875, 0.590087890625, 6.103515625e-05)"
092832597255,"(0.86834716796875, 0.09033203125, 0.4876708984375, -0.00494384765625)","(0.80810546875, -0.10614013671875, 0.59014892578125, -0.0001220703125)"
092832605013,"(0.86846923828125, 0.090087890625, 0.48748779296875, -0.004638671875)","(0.8082275390625, -0.10614013671875, 0.59002685546875, -0.00030517578125)"
092832613100,"(0.868408203125, 0.0899658203125, 0.48760986328125, -0.004150390625)","(0.808349609375, -0.10614013671875, 0.58984375, -0.000244140625)"
092832620237,"(0.868408203125, 0.0899658203125, 0.48760986328125, -0.004150390625)","(0.80816650390625, -0.10626220703125, 0.59002685546875, -0.00018310546875)"
092832628753,"(0.86822509765625, 0.09014892578125, 0.48785400390625, -0.00408935546875)","(0.80816650390625, -0.10614013671875, 0.590087890625, -0.00018310546875)"
092832638260,"(0.86834716796875, 0.09039306640625, 0.4876708984375, -0.00384521484375)","(0.80816650390625, -0.10614013671875, 0.590087890625, -0.00018310546875)"
092832647295,"(0.8682861328125, 0.09063720703125, 0.4876708984375, -0.0035400390625)","(0.8082275390625, -0.10577392578125, 0.590087890625, -0.00042724609375)"
