scorer,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,981.1476,652.62463,0.9533637,941.6288,483.10986,0.96235603,933.6979,301.0604,0.6687726,942.743,176.86221,0.94880563,981.2461,14.782942,1.0
1,981.1071,652.6497,0.94863594,941.6154,483.1752,0.969256,933.5874,301.07892,0.6897567,942.6119,176.9599,0.922838,981.18024,14.828496,1.0
2,981.1096,652.6435,0.95282567,941.68384,483.16818,0.9727442,933.556,300.70758,0.64467454,942.64484,176.87695,0.91887134,981.1736,14.802286,1.0
3,981.11743,652.94946,0.9472611,941.7158,483.14984,0.97207046,933.4891,300.78513,0.64596933,942.61835,176.91573,0.93127483,981.16077,14.811878,1.0
4,981.12964,652.6186,0.9457226,941.7439,483.14105,0.9761367,933.4336,300.78967,0.6560329,942.61426,177.15724,0.9361102,981.1775,14.803866,1.0
5,981.0995,652.6424,0.9498779,941.66907,483.1775,0.9760227,933.48346,300.72772,0.6301594,942.62085,177.03807,0.9303359,981.2558,14.836937,1.0
6,981.07715,652.6804,0.9510385,941.66705,483.2326,0.9823773,933.3598,300.72037,0.63329923,942.6507,177.05447,0.92679054,981.2562,14.838085,1.0
7,981.1201,652.6332,0.9467727,941.6651,483.1055,0.9864237,933.2619,300.67984,0.6401061,942.70294,177.31075,0.9319506,981.15265,14.85788,1.0
8,981.0262,652.7916,0.9587886,941.6119,483.06403,0.98180085,933.1734,300.73993,0.64178115,942.66956,177.29596,0.93696886,981.1711,14.842457,1.0
9,980.7346,652.78284,0.96438295,941.70807,482.91046,0.98848224,933.62445,300.82803,0.64055943,942.7852,177.22127,0.9337858,981.22,14.645215,1.0
10,980.683,652.7838,0.9736817,941.7248,482.89703,0.9841368,933.6622,300.71304,0.62785566,942.78796,177.19374,0.9400473,981.2211,14.654002,1.0
11,980.5424,652.8033,0.96317476,941.7381,482.86023,0.9839186,933.4535,300.69415,0.61311,942.9081,177.14088,0.9368556,981.1643,14.556903,1.0
12,980.47687,652.8773,0.96351093,941.73724,482.82318,0.9765177,933.8534,300.68185,0.6291327,943.0109,177.03406,0.92028815,981.0228,14.565307,1.0
13,980.33356,653.0473,0.9415164,941.80835,482.57794,0.9854469,933.8852,300.57852,0.6403563,943.15894,177.0592,0.9471975,980.83765,14.58517,1.0
14,980.40125,653.0295,0.96481895,941.8458,482.55426,0.98673683,933.805,300.7147,0.6362567,943.245,177.19077,0.9578191,980.74866,14.669449,1.0
15,980.3935,653.3671,0.9465425,941.8809,482.75574,0.98083663,934.0424,301.0023,0.6435545,943.35046,177.53389,0.96526414,980.61816,15.036437,1.0
16,980.36584,653.20795,0.9371979,941.93274,482.9236,0.97276014,934.1319,301.0886,0.65565836,943.4816,177.69473,0.95981735,980.67737,15.073388,1.0
17,980.26465,653.19855,0.92617786,941.9075,482.9563,0.9810697,934.2147,300.93463,0.637368,943.327,177.65503,0.95967233,980.4208,15.0498705,1.0
