timestamp,euler1,euler2
124936427792,"(0.90899658203125, -0.04510498046875, 0.41436767578125, -0.0018310546875)","(0.0, 0.0, 0.0, 0.0)"
124936439300,"(0.90887451171875, -0.04461669921875, 0.4146728515625, -0.0020751953125)","(0.0, 0.0, 0.0, 0.0)"
124936451102,"(0.908935546875, -0.04449462890625, 0.41455078125, -0.00213623046875)","(0.0, 0.0, 0.0, 0.0)"
124936461782,"(0.90887451171875, -0.044189453125, 0.4146728515625, -0.00244140625)","(0.0, 0.0, 0.0, 0.0)"
124936473544,"(0.9090576171875, -0.0440673828125, 0.414306640625, -0.00323486328125)","(0.0, 0.0, 0.0, 0.0)"
124936485514,"(0.90911865234375, -0.04400634765625, 0.4141845703125, -0.00323486328125)","(1.0, 0.00042724609375, 0.000244140625, -0.00146484375)"
124936496082,"(0.9168701171875, -0.04388427734375, 0.414306640625, -0.0032958984375)","(1.0078125, 0.000732421875, 0.0006103515625, -0.00177001953125)"
124936504476,"(0.91693115234375, -0.043701171875, 0.4141845703125, -0.003173828125)","(1.0078125, 0.00054931640625, 0.00030517578125, -0.0015869140625)"
124936512841,"(0.91693115234375, -0.043701171875, 0.4141845703125, -0.003173828125)","(1.0078125, 0.0006103515625, 0.00018310546875, -0.001708984375)"
124936520842,"(0.9169921875, -0.04376220703125, 0.4140625, -0.00335693359375)","(1.0078125, 0.00079345703125, 0.000732421875, -0.0023193359375)"
124936528639,"(0.91705322265625, -0.04412841796875, 0.4139404296875, -0.00335693359375)","(1.0078125, 0.00079345703125, 0.000732421875, -0.0023193359375)"
124936536520,"(0.9169921875, -0.04449462890625, 0.4140625, -0.00360107421875)","(1.0078125, 0.00115966796875, 0.0009765625, -0.0025634765625)"
124936544110,"(0.9169921875, -0.04449462890625, 0.4140625, -0.00360107421875)","(0.77978515625, -0.01947021484375, 0.6353759765625, -0.00299072265625)"
124936550049,"(0.9169921875, -0.0447998046875, 0.4139404296875, -0.00360107421875)","(0.77978515625, -0.01947021484375, 0.6353759765625, -0.00299072265625)"
124936557799,"(0.91693115234375, -0.04498291015625, 0.4140625, -0.003662109375)","(0.77972412109375, -0.01947021484375, 0.63543701171875, -0.00335693359375)"
124936565999,"(0.916748046875, -0.04510498046875, 0.41448974609375, -0.00384521484375)","(0.77960205078125, -0.01959228515625, 0.63555908203125, -0.00341796875)"
124936575849,"(0.9166259765625, -0.044921875, 0.41473388671875, -0.00439453125)","(0.779052734375, -0.01959228515625, 0.63616943359375, -0.0040283203125)"
124936583804,"(0.9166259765625, -0.044921875, 0.41473388671875, -0.00439453125)","(0.77899169921875, -0.01934814453125, 0.63629150390625, -0.00421142578125)"
124936590134,"(0.91668701171875, -0.044677734375, 0.4146728515625, -0.00457763671875)","(0.77899169921875, -0.01934814453125, 0.63629150390625, -0.00421142578125)"
124936597965,"(0.908935546875, -0.04443359375, 0.41455078125, -0.00482177734375)","(0.7711181640625, -0.01922607421875, 0.63641357421875, -0.00439453125)"
124936604247,"(0.908935546875, -0.04443359375, 0.41455078125, -0.00482177734375)","(0.77069091796875, -0.019287109375, 0.63690185546875, -0.00457763671875)"
124936611127,"(0.9085693359375, -0.04412841796875, 0.415283203125, -0.00482177734375)","(0.7703857421875, -0.0191650390625, 0.63726806640625, -0.00439453125)"
124936619524,"(0.908447265625, -0.04364013671875, 0.4156494140625, -0.00506591796875)","(0.7703857421875, -0.0191650390625, 0.63726806640625, -0.00439453125)"
124936626210,"(0.90869140625, -0.04351806640625, 0.4151611328125, -0.00506591796875)","(0.770263671875, -0.01934814453125, 0.63739013671875, -0.00433349609375)"
124936632582,"(0.90869140625, -0.04351806640625, 0.4151611328125, -0.00506591796875)","(0.770263671875, -0.01934814453125, 0.63739013671875, -0.00433349609375)"
124936638972,"(0.908935546875, -0.0438232421875, 0.41461181640625, -0.00518798828125)","(0.77032470703125, -0.01953125, 0.63739013671875, -0.00457763671875)"
124936646726,"(0.90899658203125, -0.04364013671875, 0.41448974609375, -0.00506591796875)","(0.77032470703125, -0.01953125, 0.63739013671875, -0.00482177734375)"
124936653040,"(0.90899658203125, -0.04364013671875, 0.41448974609375, -0.00506591796875)","(0.77020263671875, -0.01953125, 0.637451171875, -0.0050048828125)"
124936660596,"(0.9091796875, -0.0428466796875, 0.41412353515625, -0.00494384765625)","(0.77020263671875, -0.01953125, 0.637451171875, -0.0050048828125)"
124936669243,"(0.90924072265625, -0.04302978515625, 0.41400146484375, -0.00494384765625)","(0.770263671875, -0.01953125, 0.637451171875, -0.0050048828125)"
124936675871,"(0.90924072265625, -0.04302978515625, 0.41400146484375, -0.00494384765625)","(0.7703857421875, -0.019287109375, 0.6373291015625, -0.0048828125)"
124936682184,"(0.90936279296875, -0.0430908203125, 0.413818359375, -0.00482177734375)","(0.7703857421875, -0.019287109375, 0.6373291015625, -0.0048828125)"
124936689395,"(0.90948486328125, -0.04302978515625, 0.41351318359375, -0.0052490234375)","(0.7703857421875, -0.01947021484375, 0.63726806640625, -0.00506591796875)"
124936696552,"(0.90948486328125, -0.04302978515625, 0.41351318359375, -0.0052490234375)","(None, None, None, None)"
124936699570,"(0.909423828125, -0.04248046875, 0.41357421875, -0.00555419921875)","(0.77008056640625, -0.01959228515625, 0.63763427734375, -0.00537109375)"
124936703023,"(0.909423828125, -0.04248046875, 0.41357421875, -0.00555419921875)","(None, None, None, None)"
124936706409,"(0.90948486328125, -0.042236328125, 0.41357421875, -0.00579833984375)","(0.76983642578125, -0.019775390625, 0.63787841796875, -0.00537109375)"
124936710871,"(0.90948486328125, -0.042236328125, 0.41357421875, -0.00579833984375)","(0.76983642578125, -0.019775390625, 0.63787841796875, -0.00537109375)"
124936714874,"(0.90948486328125, -0.042236328125, 0.41357421875, -0.00579833984375)","(None, None, None, None)"
124936719643,"(0.9097900390625, -0.04205322265625, 0.41290283203125, -0.00555419921875)","(0.7694091796875, -0.01971435546875, 0.638427734375, -0.00604248046875)"
124936723103,"(0.9097900390625, -0.04205322265625, 0.41290283203125, -0.00555419921875)","(0.7694091796875, -0.01971435546875, 0.638427734375, -0.00604248046875)"
124936729643,"(0.90997314453125, -0.0419921875, 0.4124755859375, -0.0052490234375)","(None, None, None, None)"
124936732268,"(None, None, None, None)","(0.76904296875, -0.019775390625, 0.63885498046875, -0.006591796875)"
124936735500,"(0.90997314453125, -0.0419921875, 0.4124755859375, -0.0052490234375)","(0.76904296875, -0.019775390625, 0.63885498046875, -0.006591796875)"
124936740237,"(0.91009521484375, -0.0421142578125, 0.41217041015625, -0.00506591796875)","(None, None, None, None)"
124936742516,"(0.91009521484375, -0.0421142578125, 0.41217041015625, -0.00506591796875)","(None, None, None, None)"
124936745072,"(0.91009521484375, -0.0421142578125, 0.41217041015625, -0.00506591796875)","(0.7689208984375, -0.02001953125, 0.63897705078125, -0.0064697265625)"
124936749843,"(0.9100341796875, -0.04180908203125, 0.412353515625, -0.00439453125)","(None, None, None, None)"
124936752318,"(0.9100341796875, -0.04180908203125, 0.412353515625, -0.00439453125)","(None, None, None, None)"
124936755000,"(0.9100341796875, -0.04180908203125, 0.412353515625, -0.00439453125)","(0.76861572265625, -0.0196533203125, 0.63934326171875, -0.006591796875)"
124936760828,"(0.909912109375, -0.04248046875, 0.41253662109375, -0.0048828125)","(0.76861572265625, -0.0196533203125, 0.63934326171875, -0.006591796875)"
124936764227,"(None, None, None, None)","(0.76861572265625, -0.0196533203125, 0.63934326171875, -0.006591796875)"
124936768710,"(0.90966796875, -0.042724609375, 0.41302490234375, -0.00518798828125)","(0.76861572265625, -0.0198974609375, 0.63934326171875, -0.00665283203125)"
124936772446,"(0.90966796875, -0.042724609375, 0.41302490234375, -0.00518798828125)","(0.76861572265625, -0.0198974609375, 0.63934326171875, -0.00665283203125)"
124936776574,"(None, None, None, None)","(None, None, None, None)"
124936777963,"(0.90972900390625, -0.04254150390625, 0.41302490234375, -0.00457763671875)","(0.76861572265625, -0.01995849609375, 0.63934326171875, -0.00634765625)"
124936782438,"(0.90972900390625, -0.04254150390625, 0.41302490234375, -0.00457763671875)","(0.76861572265625, -0.01995849609375, 0.63934326171875, -0.00634765625)"
124936785925,"(0.90972900390625, -0.04254150390625, 0.41302490234375, -0.00457763671875)","(None, None, None, None)"
124936788214,"(0.90972900390625, -0.04266357421875, 0.4129638671875, -0.00506591796875)","(None, None, None, None)"
124936791076,"(0.90972900390625, -0.04266357421875, 0.4129638671875, -0.00506591796875)","(0.76837158203125, -0.01983642578125, 0.63970947265625, -0.00628662109375)"
124936794442,"(0.90972900390625, -0.04266357421875, 0.4129638671875, -0.00506591796875)","(0.76837158203125, -0.01983642578125, 0.63970947265625, -0.00628662109375)"
124936799734,"(0.9097900390625, -0.04254150390625, 0.412841796875, -0.0052490234375)","(None, None, None, None)"
124936802306,"(0.9097900390625, -0.04254150390625, 0.412841796875, -0.0052490234375)","(0.7681884765625, -0.02020263671875, 0.63983154296875, -0.00640869140625)"
124936807009,"(0.9097900390625, -0.04254150390625, 0.412841796875, -0.0052490234375)","(None, None, None, None)"
124936810635,"(0.90960693359375, -0.0428466796875, 0.4132080078125, -0.00482177734375)","(0.76837158203125, -0.02056884765625, 0.6396484375, -0.0064697265625)"
124936814368,"(0.90960693359375, -0.0428466796875, 0.4132080078125, -0.00482177734375)","(0.76837158203125, -0.02056884765625, 0.6396484375, -0.0064697265625)"
124936821130,"(0.90960693359375, -0.043212890625, 0.4132080078125, -0.00494384765625)","(0.76806640625, -0.02008056640625, 0.6400146484375, -0.00653076171875)"
124936824952,"(0.90960693359375, -0.043212890625, 0.4132080078125, -0.00494384765625)","(None, None, None, None)"
124936829020,"(0.9095458984375, -0.0428466796875, 0.41339111328125, -0.00457763671875)","(0.767822265625, -0.019775390625, 0.64031982421875, -0.0067138671875)"
124936832469,"(0.9095458984375, -0.0428466796875, 0.41339111328125, -0.00457763671875)","(0.767822265625, -0.019775390625, 0.64031982421875, -0.0067138671875)"
124936836195,"(0.9095458984375, -0.0428466796875, 0.41339111328125, -0.00457763671875)","(0.767822265625, -0.019775390625, 0.64031982421875, -0.0067138671875)"
124936839557,"(0.90948486328125, -0.0430908203125, 0.4134521484375, -0.00457763671875)","(None, None, None, None)"
124936842284,"(0.90948486328125, -0.0430908203125, 0.4212646484375, -0.00457763671875)","(0.76763916015625, -0.01995849609375, 0.64056396484375, -0.00628662109375)"
124936845660,"(0.90948486328125, -0.0430908203125, 0.4134521484375, -0.00457763671875)","(0.76763916015625, -0.01995849609375, 0.64056396484375, -0.00628662109375)"
124936850911,"(0.909423828125, -0.04339599609375, 0.41357421875, -0.00482177734375)","(None, None, None, None)"
124936853504,"(0.909423828125, -0.04339599609375, 0.41357421875, -0.00482177734375)","(None, None, None, None)"
124936856212,"(0.909423828125, -0.04339599609375, 0.41357421875, -0.00482177734375)","(None, None, None, None)"
124936860514,"(0.90936279296875, -0.04364013671875, 0.41363525390625, -0.00537109375)","(0.767822265625, -0.01995849609375, 0.64031982421875, -0.00653076171875)"
124936864449,"(0.90936279296875, -0.04364013671875, 0.41363525390625, -0.00537109375)","(0.767822265625, -0.01995849609375, 0.64031982421875, -0.00653076171875)"
124936871483,"(0.90936279296875, -0.0435791015625, 0.41363525390625, -0.00518798828125)","(0.76806640625, -0.019775390625, 0.6400146484375, -0.00634765625)"
124936875236,"(0.90936279296875, -0.0435791015625, 0.41363525390625, -0.00518798828125)","(0.76806640625, -0.019775390625, 0.6400146484375, -0.00634765625)"
124936880467,"(0.9093017578125, -0.0433349609375, 0.413818359375, -0.005615234375)","(0.768310546875, -0.01983642578125, 0.63970947265625, -0.0064697265625)"
124936884324,"(None, None, None, None)","(None, None, None, None)"
124936885432,"(0.9093017578125, -0.0433349609375, 0.413818359375, -0.005615234375)","(0.768310546875, -0.01983642578125, 0.63970947265625, -0.0064697265625)"
124936888846,"(0.9093017578125, -0.0439453125, 0.413818359375, -0.00555419921875)","(0.768310546875, -0.0198974609375, 0.63970947265625, -0.00634765625)"
124936892856,"(0.9093017578125, -0.0439453125, 0.413818359375, -0.00555419921875)","(0.768310546875, -0.0198974609375, 0.63970947265625, -0.00634765625)"
124936897117,"(0.9093017578125, -0.0439453125, 0.413818359375, -0.00555419921875)","(None, None, None, None)"
124936899679,"(0.9093017578125, -0.04425048828125, 0.41375732421875, -0.0052490234375)","(0.768310546875, -0.0198974609375, 0.6397705078125, -0.00604248046875)"
124936903622,"(0.9093017578125, -0.04425048828125, 0.41375732421875, -0.0052490234375)","(0.768310546875, -0.0198974609375, 0.6397705078125, -0.00604248046875)"
124936907861,"(0.9093017578125, -0.04425048828125, 0.41375732421875, -0.0052490234375)","(None, None, None, None)"
124936911403,"(0.9093017578125, -0.0439453125, 0.41375732421875, -0.00518798828125)","(None, None, None, None)"
124936913967,"(0.9093017578125, -0.0439453125, 0.41375732421875, -0.00518798828125)","(0.76849365234375, -0.02008056640625, 0.6395263671875, -0.0057373046875)"
124936920683,"(0.90936279296875, -0.043701171875, 0.41363525390625, -0.0048828125)","(0.76873779296875, -0.0201416015625, 0.63922119140625, -0.00543212890625)"
124936924594,"(0.90936279296875, -0.043701171875, 0.41363525390625, -0.0048828125)","(None, None, None, None)"
124936928677,"(0.909423828125, -0.04388427734375, 0.4134521484375, -0.00469970703125)","(None, None, None, None)"
124936932080,"(0.909423828125, -0.04388427734375, 0.4134521484375, -0.00469970703125)","(0.7689208984375, -0.01983642578125, 0.63897705078125, -0.00604248046875)"
124936935850,"(0.909423828125, -0.04388427734375, 0.4134521484375, -0.00469970703125)","(None, None, None, None)"
124936938045,"(0.909423828125, -0.04388427734375, 0.4134521484375, -0.00469970703125)","(0.7689208984375, -0.01983642578125, 0.63897705078125, -0.00604248046875)"
124936941720,"(0.90936279296875, -0.0438232421875, 0.4136962890625, -0.004638671875)","(0.76898193359375, -0.01971435546875, 0.638916015625, -0.005859375)"
124936945547,"(0.90936279296875, -0.0438232421875, 0.4136962890625, -0.004638671875)","(None, None, None, None)"
124936948282,"(0.90936279296875, -0.0438232421875, 0.4136962890625, -0.004638671875)","(None, None, None, None)"
124936951036,"(0.9093017578125, -0.0443115234375, 0.4136962890625, -0.0047607421875)","(None, None, None, None)"
124936953251,"(0.9093017578125, -0.0443115234375, 0.4136962890625, -0.0047607421875)","(None, None, None, None)"
124936955929,"(0.9093017578125, -0.0443115234375, 0.4136962890625, -0.0047607421875)","(None, None, None, None)"
124936958494,"(0.90936279296875, -0.044189453125, 0.4136962890625, -0.00482177734375)","(None, None, None, None)"
124936961921,"(0.90936279296875, -0.044189453125, 0.4136962890625, -0.00482177734375)","(0.76849365234375, -0.01995849609375, 0.6395263671875, -0.00579833984375)"
124936965737,"(0.90936279296875, -0.044189453125, 0.4136962890625, -0.00482177734375)","(0.76849365234375, -0.01995849609375, 0.6395263671875, -0.00579833984375)"
124936972940,"(0.90936279296875, -0.04425048828125, 0.41363525390625, -0.00531005859375)","(None, None, None, None)"
124936975582,"(0.90936279296875, -0.04425048828125, 0.41363525390625, -0.00531005859375)","(None, None, None, None)"
124936979608,"(0.90924072265625, -0.043701171875, 0.4139404296875, -0.00531005859375)","(0.76806640625, -0.01971435546875, 0.6400146484375, -0.00604248046875)"
124936983563,"(0.90924072265625, -0.043701171875, 0.4139404296875, -0.00531005859375)","(0.76806640625, -0.01971435546875, 0.6400146484375, -0.00604248046875)"
124936987348,"(0.90924072265625, -0.043701171875, 0.4139404296875, -0.00531005859375)","(0.76806640625, -0.01971435546875, 0.6400146484375, -0.00604248046875)"
124936990854,"(0.9090576171875, -0.0430908203125, 0.41436767578125, -0.00518798828125)","(None, None, None, None)"
124936993063,"(0.9090576171875, -0.0430908203125, 0.41436767578125, -0.00518798828125)","(None, None, None, None)"
124936995668,"(0.9090576171875, -0.0430908203125, 0.41436767578125, -0.00518798828125)","(0.76824951171875, 1.98004150390625, 0.63983154296875, -0.00616455078125)"
124936999411,"(0.908935546875, -0.04266357421875, 0.4146728515625, -0.00518798828125)","(0.76824951171875, -0.01995849609375, 0.63983154296875, -0.00616455078125)"
124937003827,"(0.908935546875, -0.04266357421875, 0.4146728515625, -0.00518798828125)","(None, None, None, None)"
124937006429,"(0.908935546875, -0.04266357421875, 0.4146728515625, -0.00518798828125)","(0.7681884765625, -0.01971435546875, 0.639892578125, -0.0062255859375)"
124937013026,"(0.9088134765625, -0.04266357421875, 0.41497802734375, -0.00543212890625)","(None, None, None, None)"
124937015590,"(0.9088134765625, -0.04266357421875, 0.41497802734375, -0.00543212890625)","(0.76812744140625, -0.01934814453125, 0.6400146484375, -0.005859375)"
124937022574,"(0.90875244140625, -0.04248046875, 0.4151611328125, -0.005859375)","(0.76788330078125, -0.01922607421875, 0.64031982421875, -0.006103515625)"
124937026630,"(0.90875244140625, -0.04248046875, 0.4151611328125, -0.005859375)","(0.76788330078125, -0.01922607421875, 0.64031982421875, -0.006103515625)"
124937031766,"(0.90869140625, -0.0418701171875, 0.415283203125, -0.00592041015625)","(None, None, None, None)"
124937034125,"(None, None, None, None)","(0.76776123046875, -0.01953125, 0.640380859375, -0.00628662109375)"
124937036715,"(0.90869140625, -0.0418701171875, 0.415283203125, -0.00592041015625)","(None, None, None, None)"
124937038937,"(0.90869140625, -0.0418701171875, 0.415283203125, -0.00592041015625)","(0.76776123046875, -0.01953125, 0.640380859375, -0.00628662109375)"
124937042686,"(0.9088134765625, -0.0423583984375, 0.41497802734375, -0.0057373046875)","(0.767822265625, -0.019775390625, 0.640380859375, -0.00665283203125)"
124937048612,"(0.9088134765625, -0.0423583984375, 0.41497802734375, -0.0057373046875)","(0.767822265625, -0.019775390625, 0.640380859375, -0.00665283203125)"
124937054010,"(0.90899658203125, -0.04290771484375, 0.41448974609375, -0.0057373046875)","(0.767578125, -0.01959228515625, 0.64056396484375, -0.00677490234375)"
124937057947,"(0.90899658203125, -0.04290771484375, 0.41448974609375, -0.0057373046875)","(0.767578125, -0.01959228515625, 0.64056396484375, -0.00677490234375)"
124937064208,"(0.9090576171875, -0.0435791015625, 0.41436767578125, -0.0057373046875)","(0.7677001953125, -0.0196533203125, 0.6405029296875, -0.00726318359375)"
124937070966,"(0.9090576171875, -0.043701171875, 0.41436767578125, -0.00567626953125)","(0.7679443359375, -0.0194091796875, 0.64019775390625, -0.00726318359375)"
124937075197,"(0.9090576171875, -0.043701171875, 0.41436767578125, -0.00567626953125)","(None, None, None, None)"
124937079512,"(0.90899658203125, -0.0440673828125, 0.41436767578125, -0.0059814453125)","(None, None, None, None)"
124937082745,"(0.90899658203125, -0.0440673828125, 0.41436767578125, -0.0059814453125)","(None, None, None, None)"
124937085125,"(0.90899658203125, -0.0440673828125, 0.41436767578125, -0.0059814453125)","(0.76812744140625, -0.01953125, 0.63995361328125, -0.00762939453125)"
124937089412,"(0.90899658203125, -0.0440673828125, 0.41436767578125, -0.0059814453125)","(0.76812744140625, -0.01953125, 0.63995361328125, -0.00762939453125)"
124937093228,"(0.908935546875, -0.0438232421875, 0.41461181640625, -0.00543212890625)","(0.76788330078125, -0.019775390625, 0.6402587890625, -0.00775146484375)"
124937096701,"(0.908935546875, -0.0438232421875, 0.41461181640625, -0.00543212890625)","(None, None, None, None)"
124937099427,"(0.908935546875, -0.0438232421875, 0.41461181640625, -0.00543212890625)","(0.76788330078125, -0.019775390625, 0.6402587890625, -0.00775146484375)"
124937104591,"(0.908935546875, -0.04388427734375, 0.41461181640625, -0.00537109375)","(0.76776123046875, -0.0201416015625, 0.64031982421875, -0.00787353515625)"
124937111231,"(0.90911865234375, -0.0440673828125, 0.41424560546875, -0.0048828125)","(0.767822265625, -0.02020263671875, 0.64031982421875, -0.00775146484375)"
124937115338,"(0.90911865234375, -0.0440673828125, 0.41424560546875, -0.0048828125)","(0.767822265625, -0.02020263671875, 0.64031982421875, -0.00775146484375)"
124937122815,"(0.9093017578125, -0.04400634765625, 0.413818359375, -0.0047607421875)","(0.767578125, -0.02032470703125, 0.640625, -0.00775146484375)"
124937126370,"(0.9093017578125, -0.04400634765625, 0.413818359375, -0.0047607421875)","(None, None, None, None)"
124937130990,"(0.9093017578125, -0.0439453125, 0.413818359375, -0.00482177734375)","(0.767578125, -0.02032470703125, 0.640625, -0.00775146484375)"
124937134723,"(0.9093017578125, -0.0439453125, 0.421630859375, -0.00482177734375)","(0.76739501953125, -0.02032470703125, 0.64080810546875, -0.00738525390625)"
124937138128,"(0.9093017578125, -0.0439453125, 0.413818359375, -0.00482177734375)","(0.76739501953125, -0.02032470703125, 0.64080810546875, -0.00738525390625)"
124937143366,"(0.9093017578125, -0.04388427734375, 0.413818359375, -0.00482177734375)","(None, None, None, None)"
124937146439,"(0.9093017578125, -0.04388427734375, 0.413818359375, -0.00482177734375)","(0.767333984375, -0.020263671875, 0.640869140625, -0.00738525390625)"
124937153645,"(0.9091796875, -0.0439453125, 0.4140625, -0.00482177734375)","(0.7674560546875, -0.0203857421875, 0.6407470703125, -0.00787353515625)"
124937157879,"(0.9091796875, -0.0439453125, 0.4140625, -0.00482177734375)","(None, None, None, None)"
124937162767,"(0.90911865234375, -0.04400634765625, 0.4141845703125, -0.00469970703125)","(0.76763916015625, -0.02020263671875, 0.6405029296875, -0.007568359375)"
