scorer,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,982.39453,601.20026,0.79612637,951.816,429.50046,0.93840855,957.3129,248.11333,0.89570326,981.4414,131.67876,1.0,609.5712,17.703907,0.20531924
1,982.31396,601.37787,0.79483837,951.841,429.5808,0.9392026,957.11835,248.18826,0.9139926,981.3747,131.7407,1.0,609.61914,17.551943,0.195269
2,982.37634,601.3726,0.7699099,951.77185,429.67993,0.93070525,957.1184,248.4511,0.9404641,981.3321,131.68259,1.0,609.5758,17.44292,0.16661827
3,982.34393,601.4566,0.76668227,951.7114,429.69763,0.92660743,957.1551,248.42735,0.9381813,981.30255,131.65717,1.0,609.51776,17.39434,0.16933565
4,982.2883,601.4995,0.75868905,951.70447,429.69397,0.9377718,957.19916,248.369,0.93183964,981.32007,131.66225,1.0,609.53754,17.411596,0.17033206
5,982.31854,601.4743,0.77533984,951.70636,429.74747,0.92148995,957.0517,248.43246,0.9164704,981.3222,131.64415,1.0,609.416,17.277496,0.16192695
6,982.34326,601.3862,0.7713209,951.6914,429.77792,0.92609304,957.1303,248.49525,0.9402295,981.36975,131.85258,1.0,609.4817,17.321053,0.133414
7,982.2906,601.2606,0.7632792,951.67114,429.6109,0.92526484,957.08655,248.52327,0.94146925,981.42975,131.59592,1.0,609.3522,17.218403,0.13520233
8,982.3249,601.0529,0.76643056,951.65796,429.54886,0.9178508,957.00244,248.46724,0.9348291,981.4348,131.25992,1.0,609.36804,17.105104,0.11422963
9,982.25964,601.3469,0.7683266,951.77356,429.7903,0.91608346,957.0275,248.56586,0.907096,981.35834,131.77301,1.0,609.4316,17.33098,0.10584528
10,982.27234,601.3146,0.7804015,951.74243,429.7634,0.9110232,956.8772,248.8014,0.92697716,981.33813,131.7757,1.0,609.5071,17.263142,0.122863464
11,982.2733,601.3173,0.77674216,951.7627,429.68768,0.919991,956.9521,248.74619,0.93442136,981.3505,131.8218,1.0,609.3896,17.260149,0.11329166
12,982.20984,601.45746,0.7880113,951.8027,429.85986,0.9003319,957.01337,248.65971,0.9160807,981.2271,132.05185,1.0,609.4186,17.418308,0.119189195
13,982.21136,601.46576,0.79437536,951.8098,429.8285,0.90742666,957.345,248.4824,0.9215356,981.3944,131.8269,1.0,609.48804,17.422993,0.12562992
14,982.1965,601.47406,0.7885408,951.81244,429.71722,0.92006195,957.581,248.29448,0.91901404,981.5533,131.40474,1.0,609.4956,17.43289,0.13944694
15,982.24084,601.4968,0.78285146,951.82086,429.71622,0.9182206,957.6364,248.2599,0.92374855,981.52966,131.6233,1.0,609.48157,17.343912,0.12911859
16,982.21204,601.46606,0.7852116,951.8345,429.70398,0.91252196,957.68726,248.20134,0.8926819,981.48883,131.8285,1.0,609.65967,17.497847,0.16916223
17,982.2223,601.4717,0.79414207,951.85803,429.76825,0.92387915,957.7039,248.39784,0.9217589,981.5303,131.79271,1.0,609.6049,17.722918,0.19139527
