timestamp,euler1,euler2
135355337296,"(0.8194580078125, 0.0985107421875, 0.564453125, -0.01409912109375)","(0.0, 0.0, 0.0, 0.0)"
135355347290,"(0.819580078125, 0.098388671875, 0.56427001953125, -0.01416015625)","(0.0078125, 0.0, 0.0, 0.0)"
135355357196,"(0.82763671875, 0.09832763671875, 0.56390380859375, -0.01422119140625)","(0.0078125, 0.0, 0.0, 0.0)"
135355365588,"(0.82794189453125, 0.0982666015625, 0.56353759765625, -0.01434326171875)","(0.0, 0.0, 0.0, 0.0)"
135355375826,"(0.82806396484375, 0.09808349609375, 0.5633544921875, -0.0140380859375)","(0.0, 0.0, 0.0, 0.0)"
135355385655,"(0.8204345703125, 0.097900390625, 0.5631103515625, -0.0140380859375)","(0.0, 0.0, 0.0, 0.0)"
135355395203,"(0.82049560546875, 0.09796142578125, 0.56304931640625, -0.01416015625)","(1.0, 0.000732421875, 0.0009765625, -0.00103759765625)"
135355405708,"(0.82806396484375, 0.09820556640625, 0.56329345703125, -0.01434326171875)","(1.0, 0.0006103515625, 0.00140380859375, -0.001220703125)"
135355414628,"(0.82037353515625, 0.09844970703125, 0.5631103515625, -0.01446533203125)","(1.0078125, 0.00091552734375, 0.002197265625, -0.0020751953125)"
135355424169,"(0.82806396484375, 0.09869384765625, 0.563232421875, -0.01458740234375)","(1.0078125, 0.00103759765625, 0.00250244140625, -0.00225830078125)"
135355432878,"(0.82025146484375, 0.09869384765625, 0.563232421875, -0.01458740234375)","(1.0078125, 0.00115966796875, 0.0028076171875, -0.00244140625)"
135355443049,"(0.82794189453125, 0.0989990234375, 0.5633544921875, -0.01513671875)","(0.7755126953125, -0.0145263671875, 0.64068603515625, -0.0029296875)"
135355451102,"(0.82049560546875, 0.0992431640625, 0.56280517578125, -0.01507568359375)","(None, None, None, None)"
135355455337,"(0.82049560546875, 0.0992431640625, 0.56280517578125, -0.01507568359375)","(None, None, None, None)"
135355457819,"(0.820556640625, 0.09991455078125, 0.5626220703125, -0.01507568359375)","(0.7674560546875, -0.01434326171875, 0.64093017578125, -0.00347900390625)"
135355462744,"(0.820556640625, 0.09991455078125, 0.5626220703125, -0.01507568359375)","(None, None, None, None)"
135355466657,"(0.820556640625, 0.10028076171875, 0.56243896484375, -0.01544189453125)","(None, None, None, None)"
135355469329,"(0.820556640625, 0.10028076171875, 0.56243896484375, -0.01544189453125)","(None, None, None, None)"
135355472021,"(0.820556640625, 0.10028076171875, 0.56243896484375, -0.01544189453125)","(0.7674560546875, -0.01409912109375, 0.64093017578125, -0.00347900390625)"
135355478020,"(0.8204345703125, 0.10064697265625, 0.56256103515625, -0.0155029296875)","(None, None, None, None)"
135355480577,"(0.8204345703125, 0.10064697265625, 0.56256103515625, -0.0155029296875)","(None, None, None, None)"
135355483909,"(0.8204345703125, 0.10064697265625, 0.56256103515625, -0.0155029296875)","(0.76763916015625, -0.01385498046875, 0.6407470703125, -0.00347900390625)"
135355488884,"(0.82049560546875, 0.10089111328125, 0.56243896484375, -0.015869140625)","(None, None, None, None)"
135355491824,"(0.82049560546875, 0.10089111328125, 0.56243896484375, -0.015869140625)","(0.76763916015625, -0.01385498046875, 0.6407470703125, -0.00347900390625)"
135355496919,"(0.82086181640625, 0.1004638671875, 0.56201171875, -0.01629638671875)","(0.76776123046875, -0.01422119140625, 0.64056396484375, -0.003662109375)"
135355500400,"(0.82086181640625, 0.1004638671875, 0.56201171875, -0.01629638671875)","(None, None, None, None)"
135355503218,"(0.82086181640625, 0.1004638671875, 0.56201171875, -0.01629638671875)","(None, None, None, None)"
135355505838,"(0.82086181640625, 0.1004638671875, 0.56201171875, -0.01629638671875)","(None, None, None, None)"
135355508375,"(0.8211669921875, 0.0999755859375, 0.56158447265625, -0.01666259765625)","(0.76776123046875, 1.98541259765625, 0.64056396484375, -0.00360107421875)"
135355512889,"(0.8211669921875, 0.0999755859375, 0.56158447265625, -0.01666259765625)","(0.7679443359375, -0.0147705078125, 0.64031982421875, -0.00341796875)"
135355518265,"(0.82135009765625, 0.099365234375, 0.56146240234375, -0.01708984375)","(0.7679443359375, -0.0147705078125, 0.64031982421875, -0.00341796875)"
135355523232,"(0.82135009765625, 0.099365234375, 0.56146240234375, -0.01708984375)","(None, None, None, None)"
135355527691,"(0.8211669921875, 0.10015869140625, 0.56158447265625, -0.01678466796875)","(0.76800537109375, -0.0150146484375, 0.6402587890625, -0.00372314453125)"
135355531518,"(0.8211669921875, 0.10015869140625, 0.56158447265625, -0.01678466796875)","(0.76800537109375, -0.0150146484375, 0.6402587890625, -0.00372314453125)"
135355537761,"(0.821044921875, 0.10076904296875, 0.5616455078125, -0.01715087890625)","(None, None, None, None)"
