timestamp,euler1,euler2
135500520340,"(0.82818603515625, 0.09881591796875, 0.5516357421875, -0.00885009765625)","(0.0, 0.0, 0.0, 0.0)"
135500533423,"(0.82806396484375, 0.09918212890625, 0.55169677734375, -0.00921630859375)","(0.0, 0.0, 0.0, 0.0)"
135500544043,"(0.828125, 0.09954833984375, 0.551513671875, -0.0091552734375)","(0.0, 0.0, 0.0, 0.0)"
135500556643,"(0.8284912109375, 0.09930419921875, 0.551025390625, -0.009521484375)","(0.0, 0.0, 0.0, 0.0)"
135500567752,"(0.82867431640625, 0.0992431640625, 0.55078125, -0.00909423828125)","(0.0, 0.0, 0.0, 0.0)"
135500578417,"(0.82867431640625, 0.09918212890625, 0.55078125, -0.00921630859375)","(1.0, -0.00103759765625, -0.000244140625, -0.000732421875)"
135500588679,"(0.82861328125, 0.09979248046875, 0.55078125, -0.00897216796875)","(1.0, -0.00128173828125, -6.103515625e-05, -0.000732421875)"
135500598475,"(0.8289794921875, 0.0994873046875, 0.55029296875, -0.00909423828125)","(1.0, -0.00115966796875, 0.00030517578125, -0.0010986328125)"
135500609025,"(0.828857421875, 0.10003662109375, 0.55035400390625, -0.0089111328125)","(1.0, -0.0010986328125, 0.000244140625, -0.0009765625)"
135500619462,"(0.82891845703125, 0.10028076171875, 0.5501708984375, -0.00872802734375)","(1.0, -0.00103759765625, 0.000732421875, -0.00091552734375)"
135500629724,"(0.828857421875, 0.10052490234375, 0.55029296875, -0.009033203125)","(0.77001953125, -0.02008056640625, 0.6376953125, -0.0003662109375)"
135500639561,"(0.8287353515625, 0.10064697265625, 0.55047607421875, -0.00909423828125)","(0.7698974609375, -0.02020263671875, 0.6378173828125, -0.00048828125)"
135500646676,"(0.8287353515625, 0.10064697265625, 0.55047607421875, -0.00909423828125)","(0.7698974609375, -0.020263671875, 0.6378173828125, -0.00054931640625)"
135500652765,"(0.828857421875, 0.10064697265625, 0.55029296875, -0.00933837890625)","(0.769775390625, -0.0201416015625, 0.63800048828125, -0.0008544921875)"
135500660744,"(0.82879638671875, 0.1007080078125, 0.55035400390625, -0.00946044921875)","(0.769775390625, -0.0201416015625, 0.63800048828125, -0.0008544921875)"
135500668096,"(0.82879638671875, 0.1005859375, 0.5504150390625, -0.009033203125)","(0.76953125, -0.019775390625, 0.6383056640625, -0.0009765625)"
135500673964,"(0.82879638671875, 0.1005859375, 0.5504150390625, -0.009033203125)","(0.76953125, -0.019775390625, 0.6383056640625, -0.0009765625)"
