scorer,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020,DLC_Resnet50_SOR2_10_28Oct29shuffle1_snapshot_020
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,939.0407,613.2139,0.79749113,920.97363,439.70966,0.86642694,910.56177,251.86804,0.732251,905.89545,117.00212,0.7509257,921.7642,438.2108,0.042012826
1,939.09515,613.33,0.7365058,921.18945,438.7098,0.87831885,911.2394,251.85312,0.64600176,906.12396,116.95428,0.7633034,862.67395,266.7773,0.08168929
2,938.9669,613.3559,0.7515424,921.04364,438.42535,0.8858081,911.12836,251.58244,0.6735511,906.387,116.626465,0.76895136,863.6032,265.99384,0.05697236
3,939.1431,613.3386,0.75197685,920.98804,438.74118,0.8758444,910.5574,252.10306,0.7093238,905.40546,117.30783,0.7351659,862.0263,266.90805,0.06848949
4,939.4311,613.2705,0.73977655,920.7293,439.79828,0.8822225,910.52673,252.11833,0.68421006,905.4415,117.45189,0.7385811,862.31287,267.03592,0.065977514
5,939.06537,613.722,0.6859746,920.7037,439.0211,0.8727651,910.7008,252.1624,0.67256963,905.39374,117.40064,0.7159799,861.603,267.3403,0.09523392
6,939.09515,613.72186,0.69250166,920.7105,438.99387,0.86807823,910.5777,252.17549,0.64221466,905.4072,117.44174,0.7247849,861.1454,267.45633,0.10163862
7,939.0856,613.6619,0.69288015,920.708,438.91016,0.8812376,910.7534,252.08638,0.63235945,905.4519,117.57772,0.7212688,861.4474,267.2963,0.09731456
8,939.2577,613.1177,0.69897693,920.61884,438.96158,0.8723507,910.8477,252.02245,0.65588903,905.4797,117.42989,0.7358802,861.7733,267.33588,0.08414274
9,939.19916,613.3294,0.7692984,920.68256,438.92587,0.889865,910.7036,251.9718,0.6170539,905.43115,117.37835,0.750365,861.3546,267.6308,0.0913875
10,939.2203,613.2917,0.7589133,921.0697,438.84238,0.89584106,910.4627,252.1271,0.659842,905.5085,117.40272,0.7453118,861.7681,267.80118,0.08898168
11,939.2056,613.28906,0.7595196,920.9859,438.80423,0.8952779,910.304,252.08598,0.6660731,905.4794,117.38161,0.7429468,861.9173,267.68198,0.068157844
12,939.23285,613.31494,0.7699787,920.8311,438.81445,0.8962759,910.1936,252.05276,0.6745195,905.2274,117.166016,0.7564425,861.84344,267.5747,0.06122702
13,939.0455,613.2308,0.7478884,920.45013,438.72052,0.9167334,910.28265,251.98654,0.6716376,905.20636,117.217896,0.7486093,861.8142,267.5013,0.06222162
14,939.26697,613.20215,0.7887228,920.85864,438.9555,0.9021029,910.2193,251.97456,0.6750159,905.1431,117.37021,0.75425446,861.7136,267.84467,0.06167107
15,939.2286,613.1684,0.7987964,920.85223,439.0508,0.88850504,910.1769,251.96687,0.66853565,904.9895,117.31238,0.75890225,861.7107,267.97113,0.06486656
16,939.3482,613.1375,0.8009774,920.85724,439.1173,0.87833434,910.13635,252.0368,0.6933084,904.70935,117.345634,0.75259876,861.8029,267.90366,0.05949042
17,939.3583,613.2413,0.7901271,920.83594,439.044,0.88193774,910.4346,252.06738,0.69022226,904.71674,117.338646,0.7453888,862.1654,267.51556,0.0536714
