timestamp,euler1,euler2
135636267982,"(0.82080078125, 0.10791015625, 0.560791015625, -0.00933837890625)","(0.0, 0.0, 0.0, 0.0)"
135636280327,"(0.821044921875, 0.10791015625, 0.560546875, -0.00927734375)","(0.0, 0.0, 0.0, 0.0)"
135636291805,"(0.8212890625, 0.1077880859375, 0.56011962890625, -0.00946044921875)","(0.0, 0.0, 0.0, 0.0)"
135636302637,"(0.821533203125, 0.10791015625, 0.559814453125, -0.0096435546875)","(0.0, 0.0, 0.0, 0.0)"
135636313502,"(0.822021484375, 0.108642578125, 0.55889892578125, -0.0096435546875)","(0.0, 0.0, 0.0, 0.0)"
135636324897,"(0.82232666015625, 0.10821533203125, 0.55853271484375, -0.0096435546875)","(1.0078125, 0.001220703125, -0.00030517578125, 0.0003662109375)"
135636334242,"(0.82275390625, 0.10772705078125, 0.55804443359375, -0.009521484375)","(1.0078125, 0.00128173828125, -6.103515625e-05, 0.00030517578125)"
135636342786,"(0.82275390625, 0.10772705078125, 0.55804443359375, -0.009521484375)","(1.0078125, 0.00140380859375, 0.00030517578125, 6.103515625e-05)"
135636350712,"(0.822998046875, 0.10748291015625, 0.5577392578125, -0.0096435546875)","(1.0078125, 0.00140380859375, 0.00042724609375, -0.0001220703125)"
135636359510,"(0.82293701171875, 0.10797119140625, 0.5577392578125, -0.00958251953125)","(1.0078125, 0.00189208984375, 0.00091552734375, -0.00054931640625)"
135636368706,"(0.822998046875, 0.108642578125, 0.5574951171875, -0.0096435546875)","(1.0078125, 0.00189208984375, 0.00091552734375, -0.00054931640625)"
135636377031,"(0.8233642578125, 0.10821533203125, 0.5570068359375, -0.00970458984375)","(0.7646484375, -0.01947021484375, 0.6441650390625, -0.00152587890625)"
135636385727,"(0.82342529296875, 0.10821533203125, 0.55694580078125, -0.010009765625)","(0.7646484375, -0.01947021484375, 0.6441650390625, -0.00152587890625)"
135636392925,"(0.82342529296875, 0.10821533203125, 0.55694580078125, -0.010009765625)","(0.76446533203125, -0.0191650390625, 0.6444091796875, -0.00177001953125)"
135636400822,"(0.82330322265625, 0.1082763671875, 0.55712890625, -0.0103759765625)","(0.76416015625, -0.0194091796875, 0.64471435546875, -0.00225830078125)"
135636409577,"(0.8231201171875, 0.10821533203125, 0.557373046875, -0.01068115234375)","(0.76416015625, -0.0194091796875, 0.64471435546875, -0.00225830078125)"
135636417632,"(0.82275390625, 0.10906982421875, 0.55780029296875, -0.01055908203125)","(0.7642822265625, -0.01959228515625, 0.64453125, -0.002197265625)"
135636426216,"(0.82257080078125, 0.1090087890625, 0.5579833984375, -0.0106201171875)","(0.76397705078125, -0.01995849609375, 0.64495849609375, -0.00213623046875)"
135636434006,"(0.82257080078125, 0.1090087890625, 0.5579833984375, -0.0106201171875)","(0.76361083984375, -0.0201416015625, 0.64532470703125, -0.00201416015625)"
135636440091,"(0.8226318359375, 0.10906982421875, 0.55792236328125, -0.0108642578125)","(0.76361083984375, -0.0201416015625, 0.64532470703125, -0.00201416015625)"
135636448230,"(0.8223876953125, 0.1090087890625, 0.5582275390625, -0.0113525390625)","(0.763427734375, -0.0201416015625, 0.64556884765625, -0.0020751953125)"
135636456909,"(0.82232666015625, 0.10955810546875, 0.5582275390625, -0.0113525390625)","(0.763427734375, -0.02008056640625, 0.64556884765625, -0.00177001953125)"
135636463347,"(0.82232666015625, 0.10955810546875, 0.5582275390625, -0.0113525390625)","(0.76361083984375, -0.02032470703125, 0.64532470703125, -0.0018310546875)"
135636470809,"(0.8221435546875, 0.1099853515625, 0.55841064453125, -0.01153564453125)","(0.76361083984375, -0.02032470703125, 0.64532470703125, -0.0018310546875)"
135636478467,"(0.82232666015625, 0.109375, 0.55828857421875, -0.01177978515625)","(0.76361083984375, -0.02069091796875, 0.64532470703125, -0.00225830078125)"
135636486046,"(0.82208251953125, 0.10992431640625, 0.55853271484375, -0.01177978515625)","(0.76361083984375, -0.02081298828125, 0.64532470703125, -0.00238037109375)"
135636492073,"(0.82208251953125, 0.10992431640625, 0.55853271484375, -0.01177978515625)","(0.76361083984375, -0.02081298828125, 0.64532470703125, -0.00238037109375)"
135636500421,"(0.82183837890625, 0.110107421875, 0.558837890625, -0.0118408203125)","(0.76361083984375, -0.02081298828125, 0.64532470703125, -0.00238037109375)"
135636509604,"(0.82159423828125, 0.11083984375, 0.55908203125, -0.01177978515625)","(0.7635498046875, -0.02105712890625, 0.6453857421875, -0.00244140625)"
135636518090,"(0.82171630859375, 0.11090087890625, 0.55889892578125, -0.011962890625)","(0.7637939453125, -0.02105712890625, 0.6451416015625, -0.00244140625)"
135636524954,"(0.82147216796875, 0.1112060546875, 0.55914306640625, -0.01239013671875)","(0.76385498046875, -0.0211181640625, 0.64501953125, -0.00323486328125)"
135636532485,"(0.82147216796875, 0.1112060546875, 0.55914306640625, -0.01239013671875)","(0.76385498046875, -0.0211181640625, 0.64501953125, -0.00323486328125)"
135636539778,"(0.82135009765625, 0.11126708984375, 0.55926513671875, -0.01312255859375)","(0.76361083984375, -0.02105712890625, 0.64532470703125, -0.00372314453125)"
135636547172,"(0.82177734375, 0.11114501953125, 0.5587158203125, -0.01318359375)","(0.763427734375, -0.02081298828125, 0.64556884765625, -0.003662109375)"
135636554171,"(0.8218994140625, 0.1107177734375, 0.55865478515625, -0.013427734375)","(0.76287841796875, -0.02069091796875, 0.64617919921875, -0.0035400390625)"
135636561739,"(0.8218994140625, 0.1107177734375, 0.55865478515625, -0.013427734375)","(0.7626953125, -0.020751953125, 0.64642333984375, -0.00347900390625)"
135636570443,"(0.8218994140625, 0.11077880859375, 0.55859375, -0.0135498046875)","(0.7626953125, -0.020751953125, 0.64642333984375, -0.00347900390625)"
135636578274,"(0.82220458984375, 0.11041259765625, 0.55816650390625, -0.01348876953125)","(0.7626953125, -0.0208740234375, 0.64642333984375, -0.00323486328125)"
135636584955,"(0.82220458984375, 0.11041259765625, 0.55816650390625, -0.01348876953125)","(0.7626953125, -0.02069091796875, 0.64642333984375, -0.0030517578125)"
135636592125,"(0.822509765625, 0.110107421875, 0.55780029296875, -0.01348876953125)","(0.7626953125, -0.02069091796875, 0.64642333984375, -0.0030517578125)"
135636600240,"(0.82281494140625, 0.10986328125, 0.557373046875, -0.0133056640625)","(0.76263427734375, -0.02032470703125, 0.64654541015625, -0.0029296875)"
135636609679,"(0.8231201171875, 0.10986328125, 0.55694580078125, -0.01336669921875)","(0.76220703125, -0.020263671875, 0.64703369140625, -0.00341796875)"
135636616154,"(0.82342529296875, 0.10943603515625, 0.556640625, -0.01312255859375)","(0.7620849609375, -0.01995849609375, 0.647216796875, -0.00341796875)"
135636623181,"(0.82342529296875, 0.10943603515625, 0.556640625, -0.01312255859375)","(0.7620849609375, -0.01995849609375, 0.647216796875, -0.00341796875)"
135636630082,"(0.82366943359375, 0.10931396484375, 0.5562744140625, -0.012939453125)","(0.761962890625, -0.02008056640625, 0.64727783203125, -0.00347900390625)"
135636637098,"(0.82366943359375, 0.109619140625, 0.55621337890625, -0.01263427734375)","(0.76177978515625, -0.0203857421875, 0.6474609375, -0.00396728515625)"
135636643690,"(0.82366943359375, 0.109619140625, 0.55621337890625, -0.01263427734375)","(0.76190185546875, -0.020751953125, 0.6473388671875, -0.0045166015625)"
135636652222,"(0.82330322265625, 0.1097412109375, 0.5567626953125, -0.0128173828125)","(0.76190185546875, -0.020751953125, 0.6473388671875, -0.0045166015625)"
135636661067,"(0.8232421875, 0.1102294921875, 0.5567626953125, -0.01287841796875)","(0.7620849609375, -0.0211181640625, 0.64715576171875, -0.0045166015625)"
135636668527,"(0.8232421875, 0.11053466796875, 0.556640625, -0.0126953125)","(0.7623291015625, -0.02117919921875, 0.64678955078125, -0.00433349609375)"
135636674888,"(0.8232421875, 0.11053466796875, 0.556640625, -0.0126953125)","(0.7623291015625, -0.02117919921875, 0.64678955078125, -0.00433349609375)"
135636681149,"(0.82318115234375, 0.11114501953125, 0.55670166015625, -0.01239013671875)","(0.76251220703125, -0.0211181640625, 0.6466064453125, -0.00445556640625)"
135636688787,"(0.822998046875, 0.1109619140625, 0.55694580078125, -0.01226806640625)","(0.76251220703125, -0.0208740234375, 0.6466064453125, -0.0047607421875)"
135636694873,"(0.822998046875, 0.1109619140625, 0.55694580078125, -0.01226806640625)","(0.76263427734375, -0.020751953125, 0.646484375, -0.00445556640625)"
135636702484,"(0.82330322265625, 0.11053466796875, 0.55657958984375, -0.01202392578125)","(0.76263427734375, -0.020751953125, 0.646484375, -0.00445556640625)"
135636711613,"(0.8232421875, 0.1104736328125, 0.556640625, -0.0120849609375)","(0.7625732421875, -0.0208740234375, 0.64654541015625, -0.00445556640625)"
135636719513,"(0.82342529296875, 0.111083984375, 0.55633544921875, -0.01190185546875)","(0.7625732421875, -0.02069091796875, 0.64654541015625, -0.0047607421875)"
135636725274,"(0.82342529296875, 0.111083984375, 0.55633544921875, -0.01190185546875)","(0.7625732421875, -0.02069091796875, 0.64654541015625, -0.0047607421875)"
135636731936,"(0.82342529296875, 0.11151123046875, 0.55621337890625, -0.01190185546875)","(0.7628173828125, -0.02056884765625, 0.646240234375, -0.00506591796875)"
135636739432,"(0.82366943359375, 0.111328125, 0.55596923828125, -0.0113525390625)","(0.76318359375, -0.02056884765625, 0.64581298828125, -0.0052490234375)"
135636746353,"(0.82366943359375, 0.111328125, 0.55596923828125, -0.0113525390625)","(0.762939453125, -0.0208740234375, 0.6461181640625, -0.00567626953125)"
135636754656,"(0.8238525390625, 0.11138916015625, 0.5556640625, -0.01055908203125)","(0.7633056640625, -0.02099609375, 0.64569091796875, -0.00543212890625)"
135636763835,"(0.82366943359375, 0.1121826171875, 0.55572509765625, -0.01025390625)","(0.7633056640625, -0.02099609375, 0.64569091796875, -0.00543212890625)"
135636772144,"(0.8238525390625, 0.11224365234375, 0.55548095703125, -0.01019287109375)","(0.763427734375, -0.02105712890625, 0.6455078125, -0.00518798828125)"
135636778926,"(0.8238525390625, 0.11212158203125, 0.55548095703125, -0.0106201171875)","(0.763427734375, -0.0211181640625, 0.6455078125, -0.00506591796875)"
135636785963,"(0.8238525390625, 0.11212158203125, 0.55548095703125, -0.0106201171875)","(0.763427734375, -0.0211181640625, 0.6455078125, -0.00506591796875)"
135636793108,"(0.8238525390625, 0.1121826171875, 0.55548095703125, -0.0107421875)","(0.7635498046875, -0.021240234375, 0.6453857421875, -0.00555419921875)"
135636802578,"(0.823486328125, 0.11260986328125, 0.555908203125, -0.01068115234375)","(0.763671875, -0.02117919921875, 0.64520263671875, -0.00604248046875)"
135636812783,"(0.8232421875, 0.113037109375, 0.5562744140625, -0.0107421875)","(0.76385498046875, -0.0211181640625, 0.64495849609375, -0.00592041015625)"
135636821775,"(0.823486328125, 0.11224365234375, 0.5560302734375, -0.01104736328125)","(0.7640380859375, -0.0211181640625, 0.644775390625, -0.00592041015625)"
135636828420,"(0.82391357421875, 0.11163330078125, 0.55548095703125, -0.01153564453125)","(0.7637939453125, -0.02142333984375, 0.64508056640625, -0.0059814453125)"
