scorer,DLC_Resnet50_SOR3_10_29Nov3shuffle1_snapshot_090,DLC_Resnet50_SOR3_10_29Nov3shuffle1_snapshot_090,DLC_Resnet50_SOR3_10_29Nov3shuffle1_snapshot_090,DLC_Resnet50_SOR3_10_29Nov3shuffle1_snapshot_090,DLC_Resnet50_SOR3_10_29Nov3shuffle1_snapshot_090,DLC_Resnet50_SOR3_10_29Nov3shuffle1_snapshot_090,DLC_Resnet50_SOR3_10_29Nov3shuffle1_snapshot_090,DLC_Resnet50_SOR3_10_29Nov3shuffle1_snapshot_090,DLC_Resnet50_SOR3_10_29Nov3shuffle1_snapshot_090,DLC_Resnet50_SOR3_10_29Nov3shuffle1_snapshot_090,DLC_Resnet50_SOR3_10_29Nov3shuffle1_snapshot_090,DLC_Resnet50_SOR3_10_29Nov3shuffle1_snapshot_090,DLC_Resnet50_SOR3_10_29Nov3shuffle1_snapshot_090,DLC_Resnet50_SOR3_10_29Nov3shuffle1_snapshot_090,DLC_Resnet50_SOR3_10_29Nov3shuffle1_snapshot_090
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,898.40485,696.93604,0.95492554,872.6324,543.4514,0.85281605,850.3724,384.728,0.89174885,870.8663,236.32219,0.2251881,815.2648,97.722755,0.9277387
1,898.4285,696.70776,0.9547362,872.56323,543.40955,0.8506846,850.32117,384.7888,0.8778433,870.4575,236.87492,0.1838664,815.3468,97.390976,0.9216706
2,898.36005,696.5409,0.9605669,872.6055,543.3699,0.8590733,850.33246,384.8393,0.88744175,870.03186,237.4904,0.0652357,815.34924,97.39487,0.92299086
3,898.3709,696.55426,0.9585455,872.6613,543.3275,0.85952926,850.3307,384.8397,0.88590133,869.4906,237.82274,0.060922284,815.3455,97.37634,0.9190432
4,898.404,696.559,0.96109563,872.66266,543.27325,0.84930855,850.29846,384.84213,0.8834084,897.4827,697.9667,0.05264791,815.33844,97.34667,0.91531086
5,898.4516,696.8466,0.9402515,872.50146,543.3555,0.85921913,850.27673,384.8247,0.8665847,870.7783,237.22688,0.06664741,815.322,97.33291,0.90813303
6,898.5373,697.09576,0.9373762,872.67285,543.3918,0.8572526,850.2597,384.82147,0.8654425,871.10004,237.53694,0.06918087,815.2868,97.480774,0.9235311
7,898.5003,697.06146,0.9494044,872.6597,543.39923,0.8594179,850.242,384.78754,0.86900216,871.36444,237.26025,0.07999203,815.31683,97.44462,0.9144987
8,898.4759,697.0669,0.94652313,872.65283,543.39246,0.8506609,850.2537,384.79877,0.8696142,870.96967,237.4485,0.068941966,815.3032,97.36581,0.9128786
9,898.41876,697.02014,0.944472,872.6462,543.3978,0.85789233,850.2434,384.79794,0.8599051,897.55414,698.17834,0.045986336,815.25684,97.36264,0.9210187
10,898.4158,697.0151,0.94050103,872.649,543.3829,0.8571926,850.254,384.74887,0.86173886,897.55304,698.16095,0.047441415,815.2299,97.39571,0.92402387
11,898.38794,697.02826,0.93227774,872.6822,543.4039,0.85269594,850.27954,384.77972,0.86077285,897.53595,698.17126,0.04631714,815.2423,97.528885,0.9288071
12,898.3691,697.06616,0.9306414,872.7231,543.38885,0.84558594,850.27527,384.76782,0.8599407,897.5303,698.1271,0.04704012,815.24646,97.56386,0.92784715
13,898.33826,696.9658,0.9271999,872.6567,543.365,0.85825837,850.2719,384.79095,0.863193,897.5009,698.11523,0.0584103,815.25385,97.53841,0.9142717
14,898.3463,696.9716,0.9305528,872.62933,543.3729,0.85764825,850.25574,384.7708,0.86419106,897.50037,698.1382,0.05095738,815.18744,97.50903,0.9273128
15,898.3433,696.96857,0.92997414,872.6149,543.3887,0.8600426,850.2548,384.78235,0.8679486,897.5014,698.13086,0.054768592,815.14954,97.53081,0.92736566
16,898.3563,696.92865,0.92434907,872.61395,543.40094,0.85884714,850.2778,384.8056,0.86404806,897.516,698.0532,0.05494398,815.24805,97.51752,0.92692786
17,898.33813,696.9325,0.9211517,872.63434,543.38184,0.86195683,850.2912,384.71457,0.84715915,897.5203,698.0091,0.05394232,815.2903,97.502075,0.93304974
