timestamp,euler1,euler2
215958063434,"(0.93084716796875, 0.0301513671875, 0.36419677734375, -0.0010986328125)","(0.0, 0.0, 0.0, 0.0)"
215958076519,"(0.930908203125, 0.03021240234375, 0.364013671875, -0.0010986328125)","(0.0, 0.0, 0.0, 0.0)"
215958087708,"(0.93096923828125, 0.03131103515625, 0.36376953125, 0.0)","(0.0, 0.0, 0.0, 0.0)"
215958099253,"(0.93115234375, 0.0311279296875, 0.36334228515625, 0.00042724609375)","(0.0, 0.0, 0.0, 0.0)"
215958110157,"(0.9312744140625, 0.03131103515625, 0.3629150390625, 0.00030517578125)","(0.0, 0.0, 0.0, 0.0)"
215958119517,"(0.9315185546875, 0.03033447265625, 0.36236572265625, -0.0001220703125)","(1.0, 0.0, -0.00079345703125, -0.00054931640625)"
215958129027,"(0.93170166015625, 0.03021240234375, 0.3619384765625, -0.00030517578125)","(1.0, 0.0, -0.00079345703125, -0.0006103515625)"
215958139005,"(0.9317626953125, 0.03021240234375, 0.36181640625, 0.00018310546875)","(1.0, -0.00030517578125, -0.000732421875, -0.0006103515625)"
215958148836,"(0.931884765625, 0.02996826171875, 0.361572265625, 0.000244140625)","(1.0, -0.0009765625, -0.00091552734375, -0.00079345703125)"
215958157418,"(0.93182373046875, 0.0301513671875, 0.36175537109375, -0.00018310546875)","(1.0, -0.00140380859375, -0.0010986328125, -0.00030517578125)"
215958165722,"(0.93182373046875, 0.0301513671875, 0.36175537109375, -0.00018310546875)","(1.0, -0.00115966796875, -0.00091552734375, -0.0001220703125)"
215958174334,"(0.931640625, 0.03033447265625, 0.362060546875, -0.00030517578125)","(1.0, -0.00115966796875, -0.00091552734375, -0.0001220703125)"
215958183433,"(0.931640625, 0.030029296875, 0.36212158203125, -0.00054931640625)","(0.75030517578125, -0.0260009765625, 0.6605224609375, 0.0009765625)"
215958193253,"(0.931396484375, 0.0311279296875, 0.36273193359375, -0.0001220703125)","(0.7496337890625, -0.02532958984375, 0.661376953125, -0.0006103515625)"
215958203954,"(0.93145751953125, 0.03125, 0.362548828125, 6.103515625e-05)","(0.74951171875, -0.0252685546875, 0.6614990234375, -0.00030517578125)"
215958213878,"(0.93109130859375, 0.03302001953125, 0.36334228515625, 0.00103759765625)","(0.74951171875, -0.0252685546875, 0.6614990234375, -0.00030517578125)"
215958222096,"(0.93109130859375, 0.03338623046875, 0.36328125, 0.0006103515625)","(0.74951171875, -0.02508544921875, 0.6614990234375, 6.103515625e-05)"
215958231372,"(0.9310302734375, 0.0333251953125, 0.36346435546875, 0.0)","(0.7493896484375, -0.02496337890625, 0.66168212890625, -0.000244140625)"
215958239804,"(0.9307861328125, 0.0335693359375, 0.36407470703125, 0.0006103515625)","(0.7493896484375, -0.02490234375, 0.66168212890625, -0.0001220703125)"
