scorer,DLC_Resnet50_SOR3_10_29Nov3shuffle1_snapshot_090,DLC_Resnet50_SOR3_10_29Nov3shuffle1_snapshot_090,DLC_Resnet50_SOR3_10_29Nov3shuffle1_snapshot_090,DLC_Resnet50_SOR3_10_29Nov3shuffle1_snapshot_090,DLC_Resnet50_SOR3_10_29Nov3shuffle1_snapshot_090,DLC_Resnet50_SOR3_10_29Nov3shuffle1_snapshot_090,DLC_Resnet50_SOR3_10_29Nov3shuffle1_snapshot_090,DLC_Resnet50_SOR3_10_29Nov3shuffle1_snapshot_090,DLC_Resnet50_SOR3_10_29Nov3shuffle1_snapshot_090,DLC_Resnet50_SOR3_10_29Nov3shuffle1_snapshot_090,DLC_Resnet50_SOR3_10_29Nov3shuffle1_snapshot_090,DLC_Resnet50_SOR3_10_29Nov3shuffle1_snapshot_090,DLC_Resnet50_SOR3_10_29Nov3shuffle1_snapshot_090,DLC_Resnet50_SOR3_10_29Nov3shuffle1_snapshot_090,DLC_Resnet50_SOR3_10_29Nov3shuffle1_snapshot_090
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,873.9038,696.2329,0.83630395,853.26825,542.30286,1.0,833.4952,384.72906,0.758842,825.35077,257.15485,0.785267,805.5648,100.97324,1.0
1,874.0161,696.19977,0.8432166,853.27136,542.3093,1.0,833.5484,384.78854,0.7775038,825.40027,257.29013,0.7842909,805.5201,101.3674,1.0
2,874.0705,696.15564,0.8442949,853.3048,542.3964,0.9964123,833.5707,384.61557,0.76660615,825.38116,257.17566,0.78354084,805.5589,101.08044,1.0
3,874.1924,695.8397,0.8436296,853.35754,542.52216,0.9885643,833.56256,384.49924,0.75156444,825.31146,257.1665,0.7763004,805.53107,101.20092,1.0
4,874.1846,695.8264,0.84650904,853.35736,542.53564,0.97409046,833.5629,384.48972,0.7515811,825.34265,257.24084,0.77943164,805.5482,101.19357,1.0
5,874.08984,695.87054,0.83871704,853.36444,542.4317,0.9715094,833.60065,384.47137,0.7526915,825.4067,257.17374,0.7822547,805.5321,101.11682,1.0
6,873.997,695.9905,0.8298957,853.34796,542.3691,0.97269154,833.59717,384.48236,0.75054663,825.50714,256.7862,0.7796619,805.5539,101.03672,1.0
7,873.9903,695.98315,0.8265968,853.31287,542.40265,0.9731668,833.60046,384.4817,0.7517198,825.5454,256.78177,0.78009737,805.5353,101.15358,1.0
8,873.9889,695.9797,0.8257205,853.36346,542.30566,0.96909195,833.5996,384.4992,0.74882084,825.62933,256.76505,0.7806357,805.5552,100.84713,1.0
9,873.992,695.91504,0.83105975,853.38727,542.4309,0.9787462,833.57855,384.51443,0.7548586,825.5512,256.79108,0.7874252,805.53894,100.9844,1.0
10,874.0248,695.89624,0.8338148,853.3215,542.3983,0.970048,833.59753,384.5215,0.7553257,825.5371,256.78564,0.7847543,805.5402,101.03553,1.0
11,874.03845,695.9087,0.83376104,853.3449,542.4073,0.9761163,833.58844,384.53818,0.75728834,825.4992,256.79996,0.7864243,805.47894,101.101395,1.0
12,873.9366,695.9098,0.8262308,853.3895,542.4329,0.9810217,833.6071,384.52045,0.75345427,825.49347,256.7966,0.78473204,805.48645,101.11083,1.0
13,874.10767,695.89105,0.84499335,853.3601,542.415,0.9793567,833.60675,384.53787,0.75799775,825.52734,256.7858,0.7862764,805.4838,101.10543,1.0
14,874.1339,695.91583,0.84759516,853.345,542.4634,0.9819533,833.6078,384.51523,0.7523234,825.5476,256.78064,0.786585,805.49304,101.10989,1.0
15,874.156,695.83215,0.8602926,853.34595,542.45685,0.9873891,833.6107,384.51758,0.7515139,825.54584,256.77997,0.7909533,805.4841,101.10151,1.0
16,874.222,695.87885,0.84936774,853.3172,542.4792,0.98358977,833.60315,384.51535,0.75303876,825.6224,256.77014,0.78212506,805.46735,101.05874,1.0
17,874.2571,695.85596,0.8436078,853.3125,542.63513,0.9837771,833.59576,384.87326,0.741165,825.4871,257.21054,0.7897953,805.4664,101.28072,1.0
