timestamp,euler1,euler2
220238933504,"(0.9190673828125, 0.0599365234375, 0.38946533203125, -0.0018310546875)","(0.0, 0.0, 0.0, 0.0)"
220238948148,"(0.9190673828125, 0.060302734375, 0.38946533203125, -0.002197265625)","(0.0, 0.0, 0.0, 0.0)"
220238959823,"(0.91912841796875, 0.05999755859375, 0.38934326171875, -0.002685546875)","(0.0, 0.0, 0.0, 0.0)"
220238970530,"(0.91925048828125, 0.05963134765625, 0.38916015625, -0.0028076171875)","(0.0, 0.0, 0.0, 0.0)"
220238981031,"(0.91937255859375, 0.0592041015625, 0.388916015625, -0.003173828125)","(0.0, 0.0, 0.0, 0.0)"
220238990584,"(0.91937255859375, 0.059326171875, 0.38885498046875, -0.00323486328125)","(1.0, 0.0006103515625, 0.00067138671875, -0.00091552734375)"
220239000699,"(0.91949462890625, 0.05950927734375, 0.38861083984375, -0.00311279296875)","(1.0, 0.00079345703125, 0.00067138671875, -0.00140380859375)"
220239011345,"(0.9195556640625, 0.05975341796875, 0.38836669921875, -0.00311279296875)","(1.0, 0.0008544921875, 0.0009765625, -0.00164794921875)"
220239022463,"(0.9195556640625, 0.060302734375, 0.38836669921875, -0.0025634765625)","(1.0, 0.00164794921875, 0.00164794921875, -0.00238037109375)"
220239033458,"(0.91949462890625, 0.0609130859375, 0.388427734375, -0.00213623046875)","(1.0, 0.00164794921875, 0.00164794921875, -0.00238037109375)"
220239043018,"(0.91949462890625, 0.06121826171875, 0.3883056640625, -0.0018310546875)","(1.0, 0.00201416015625, 0.001953125, -0.00311279296875)"
220239052735,"(0.91961669921875, 0.061279296875, -1.61199951171875, -0.00189208984375)","(0.80157470703125, -0.58538818359375, 0.1214599609375, -0.0045166015625)"
220239062611,"(0.919677734375, 0.06121826171875, 0.38787841796875, -0.0020751953125)","(0.802001953125, -0.5848388671875, 0.121337890625, -0.0054931640625)"
220239073525,"(0.9197998046875, 0.06121826171875, 0.3875732421875, -0.00225830078125)","(0.80328369140625, -0.58319091796875, 0.12078857421875, -0.00628662109375)"
220239083851,"(0.91986083984375, 0.0616455078125, 0.3873291015625, -0.0020751953125)","(0.80328369140625, -0.58319091796875, 0.12078857421875, -0.00628662109375)"
220239092665,"(0.919921875, 0.0625, 0.3870849609375, -0.00201416015625)","(0.80364990234375, -0.582763671875, 0.12017822265625, -0.006103515625)"
220239102289,"(0.92010498046875, 0.0628662109375, 0.38665771484375, -0.001708984375)","(0.80401611328125, -0.58233642578125, 0.1199951171875, -0.00616455078125)"
