scorer,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1000.77167,666.6382,0.73017853,910.09467,524.01013,0.7539269,877.27686,338.20358,0.77348953,868.6291,192.55975,1.0,487.4672,1188.471,0.2648911
1,1000.82587,666.6448,0.7146431,910.0794,523.942,0.7570832,877.1206,337.26132,0.82352746,868.66394,192.51976,1.0,487.6415,1188.316,0.2767928
2,1000.8445,666.6563,0.71653634,910.07196,523.961,0.76056516,877.42773,337.03683,0.81544805,868.7373,192.42033,0.9732568,487.57037,1188.3799,0.27170032
3,1000.80945,666.61676,0.72468984,910.04877,523.98224,0.76211584,877.398,337.04172,0.81403065,868.75464,192.46227,0.9808736,487.60516,1188.3589,0.27183834
4,1000.7628,666.6272,0.7220209,910.01215,523.94116,0.76417243,877.39136,336.91684,0.8095694,868.8311,192.34367,0.98610264,487.6598,1188.3795,0.268504
5,1000.9031,666.7505,0.6895675,910.0233,523.9596,0.76833075,877.3277,337.38797,0.8378324,868.751,192.47424,0.99032706,489.01572,1188.5935,0.28410482
6,1000.9932,666.84283,0.68045884,910.0611,523.9402,0.7589613,877.52045,337.30753,0.77335286,868.73785,192.44878,1.0,488.99994,1188.5793,0.28942862
7,1001.0568,666.91016,0.6799183,910.04865,523.9504,0.7352606,877.73615,336.7976,0.7849516,868.7743,192.5343,0.9882435,488.95868,1188.5863,0.29698408
8,1001.31146,667.07166,0.6727085,910.12933,523.92535,0.7235222,877.76056,337.39587,0.7831477,868.77014,192.56844,1.0,488.94708,1188.5907,0.29631668
9,1001.17224,667.12976,0.6672651,910.04694,524.03564,0.7579571,877.82104,336.73294,0.7009656,868.6763,192.59949,1.0,489.04483,1188.6168,0.29725906
10,1001.0909,667.0184,0.6778209,910.06805,524.0902,0.7619598,877.4677,337.1772,0.79801744,868.645,192.59381,1.0,489.04672,1188.5735,0.30266103
11,1001.0275,666.9775,0.6732917,910.06165,524.19714,0.77836275,877.4035,337.06946,0.7630913,868.5712,192.73103,1.0,488.99557,1188.4745,0.3138572
12,1001.0226,666.9306,0.6467601,909.9907,524.3949,0.79293346,877.6626,337.14047,0.7884168,868.5751,192.91238,1.0,489.1111,1188.6072,0.29854447
13,1001.03735,666.92773,0.6536936,909.9766,524.34814,0.787323,877.37714,336.94907,0.81854755,868.55927,192.93265,1.0,489.07413,1188.6558,0.29799625
14,1000.9673,666.8981,0.6345795,909.968,524.32245,0.79323727,877.5761,336.11023,0.7557369,868.5092,192.87135,1.0,487.81485,1188.2926,0.29686004
15,1000.9724,666.88165,0.6448329,910.012,524.27344,0.79183483,877.3688,336.33905,0.76889104,868.5566,192.91394,1.0,487.80984,1188.3267,0.2922195
16,1000.8604,666.8172,0.6437301,909.9093,524.23694,0.7881286,877.6219,336.2856,0.6554716,868.53314,192.88527,1.0,487.63217,1188.5073,0.26197284
17,1000.9847,666.8803,0.63769853,909.8829,524.18964,0.78360987,877.5425,336.3422,0.7481939,868.45825,192.96036,1.0,487.43567,1188.5306,0.23928595
