scorer,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1046.0322,715.20764,0.40207848,1004.0303,467.02545,0.78140116,964.24554,283.65198,0.8140643,943.11487,143.7918,1.0,943.0131,143.97662,0.20745948
1,1030.3363,631.6379,0.5415094,1004.2744,466.44254,0.73858076,964.38257,283.37024,0.7758502,943.4118,143.45764,1.0,943.27423,143.69145,0.17882478
2,1030.302,631.69507,0.5575427,1004.33435,466.48233,0.7288406,964.4011,283.40207,0.7640881,943.48914,143.50023,1.0,942.92505,143.81546,0.16878802
3,1045.9862,715.8054,0.4629785,1004.32623,466.48364,0.74962384,964.25946,283.37988,0.6633978,943.67883,143.09514,1.0,943.13385,143.34094,0.16395766
4,1046.3748,715.7186,0.5336615,1004.31476,466.02634,0.75346243,964.2655,283.01126,0.71993196,943.83636,142.9468,1.0,943.60834,143.23048,0.166897
5,1046.0065,715.99347,0.51700675,1004.33673,466.34546,0.72304815,964.1073,283.33893,0.75130177,943.4939,143.07658,1.0,944.2454,144.00005,0.13337411
6,1045.9656,715.94653,0.5596058,1004.549,466.4316,0.7274217,964.08496,283.49957,0.7346246,943.09283,143.3136,1.0,942.85004,143.47043,0.17347941
7,1046.1421,715.6004,0.55987245,1004.79034,466.28284,0.76146555,964.1869,283.63492,0.77665204,943.1462,143.26776,1.0,942.88684,143.3925,0.1960016
8,1045.9844,715.71234,0.5865278,1004.5628,466.4884,0.7147099,964.17163,283.46658,0.81715345,943.09204,143.20464,1.0,942.8538,143.35367,0.18569307
9,1046.3706,716.54095,0.6381879,1004.683,466.60812,0.70414263,964.1085,283.51978,0.7532729,943.09235,143.34058,1.0,942.899,143.45126,0.19186899
10,1046.1627,716.17114,0.60712045,1004.7157,466.774,0.695498,963.97455,284.22217,0.7795868,943.1373,143.3142,1.0,942.9277,143.4941,0.19850466
11,1046.3701,716.5017,0.6161265,1004.8409,467.0166,0.6954408,964.06903,284.07108,0.8047433,942.8178,143.49615,1.0,942.763,143.58772,0.19780426
12,1047.0619,716.48474,0.57005185,1004.77997,467.10226,0.70600647,963.99774,284.0587,0.7736776,942.6262,143.8163,1.0,942.6262,143.89056,0.20413712
13,1046.9185,716.8347,0.5730728,1004.82245,467.23947,0.68819314,964.133,284.1557,0.79768205,942.61633,143.91493,1.0,943.72363,144.64781,0.16407737
14,1046.8728,717.1894,0.57825637,1004.9097,467.33194,0.7038259,964.19855,284.0293,0.79808813,942.615,143.87721,1.0,943.7077,144.59042,0.17030597
15,1047.2683,715.1926,0.59879994,1005.1845,467.88007,0.7127301,964.1965,284.56824,0.804984,942.1821,144.25452,1.0,942.162,144.33887,0.21977612
16,1047.1782,715.79865,0.59510416,1005.2517,468.08884,0.71777874,964.16895,284.73492,0.74841696,941.9712,144.77795,1.0,941.96405,144.86057,0.19881287
17,1047.1699,715.46606,0.65235525,1005.27374,468.0237,0.6979208,964.1415,284.6488,0.78587765,942.13116,144.71603,1.0,941.97565,144.69992,0.24478467
