scorer,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020,DLC_Resnet50_SOR7-11-16Nov18shuffle1_snapshot_020
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radial-styloid-process,radial-styloid-process,radial-styloid-process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,920.89246,683.69604,0.60471654,907.98267,518.56793,0.88163966,887.52155,328.91742,0.62733215,875.6963,185.03058,1.0,988.25214,484.77524,0.3234929
1,920.762,683.3294,0.6357636,907.92163,518.1289,0.8670746,887.5774,329.06723,0.69710004,876.0117,184.65125,1.0,988.285,483.72574,0.30923036
2,920.4115,683.11536,0.66390276,907.58124,518.7081,0.8548231,887.34186,328.9928,0.72025335,875.68915,184.93991,1.0,988.80194,485.27322,0.31491658
3,920.374,683.1162,0.6803433,907.6367,518.5819,0.88530177,887.3932,328.95877,0.73925567,875.79724,184.71033,1.0,988.62396,484.03653,0.32488492
4,920.3289,683.0792,0.6678411,907.7303,518.31177,0.8897108,887.4258,328.78986,0.69261086,875.8628,184.6947,1.0,988.4661,484.068,0.2429675
5,920.34796,683.1966,0.65497315,907.7244,518.43036,0.8845369,887.89966,329.02722,0.74344605,875.9653,185.02588,1.0,988.54,484.90353,0.21974222
6,920.3036,683.19354,0.66278523,907.68427,518.3798,0.88345087,887.7221,329.12314,0.7071835,875.83167,185.01326,1.0,988.4413,484.11737,0.2428831
7,920.3368,683.19525,0.66086316,907.6278,518.3555,0.8809648,887.77765,329.0587,0.71823883,875.9308,184.96346,1.0,988.2791,483.7051,0.31241345
8,920.4209,683.26526,0.65854424,907.6757,518.3477,0.864994,887.7211,328.96472,0.6964342,875.7586,185.04454,1.0,988.401,484.95844,0.19929877
9,920.2517,683.22614,0.62980115,907.6901,518.45984,0.91538113,887.76733,328.78235,0.69051206,875.87396,184.77171,1.0,875.90326,186.72346,0.19605495
10,920.217,683.2634,0.6247984,907.6455,518.54285,0.90824294,887.69037,328.92886,0.70448226,875.8968,184.75317,1.0,875.8627,186.47499,0.19154657
11,920.16547,683.1483,0.6550561,907.48376,518.34235,0.9130102,887.33185,328.69214,0.68678594,875.5248,184.70894,1.0,888.4952,328.04858,0.19163565
12,920.1937,683.15894,0.6068469,907.4185,518.5809,0.90872526,887.14966,329.28833,0.7495305,875.52075,184.69334,1.0,875.4219,186.56253,0.18886015
13,920.21155,683.1685,0.6309938,907.41327,518.62305,0.8815308,887.21313,329.4243,0.7633087,875.4232,184.71379,1.0,875.336,186.6759,0.18377142
14,920.1924,683.1859,0.6303974,907.4073,518.6341,0.88404906,887.4413,329.14502,0.7882689,875.217,184.4859,1.0,875.1158,186.2876,0.1880659
15,920.189,683.1528,0.63347036,907.4349,518.61804,0.89418447,887.3416,329.19247,0.80410373,875.1303,184.55188,1.0,875.00903,186.19304,0.20204204
16,920.1843,683.21136,0.6196351,907.3868,518.6274,0.8962337,887.43604,328.89313,0.7891777,875.098,184.56937,1.0,874.99274,186.32304,0.1859125
17,920.072,683.2279,0.61708397,907.37134,518.73376,0.8689146,887.49304,328.8217,0.7712777,875.1277,184.6257,1.0,874.9711,186.20406,0.20157379
